Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,25.134264,[ 2 11] ; [74 17],[9.5 3.5] ; [66.5 24.5],1
r3,1,0.000116,14.857143,[10  3] ; [90  1],[12.5  0.5] ; [87.5  3.5],1
v4,1,0.011914,6.323585,[10  3] ; [87  4],[12.125  0.875] ; [84.875  6.125],0
r2,1,0.01475,5.946119,[10  2] ; [89  2],[11.53398058  0.46601942] ; [87.46601942  3.53398058],0
d4,1,0.018299,5.567311,[7 6] ; [75 16],[10.25  2.75] ; [71.75 19.25],0
a7,1,0.020808,5.342795,[6 7] ; [69 21],[9.46601942 3.53398058] ; [65.53398058 24.46601942],0
p10,1,0.027348,4.868721,[7 6] ; [73 17],[10.09708738  2.90291262] ; [69.90291262 20.09708738],0
b1,1,0.035684,4.412121,[9 4] ; [35 56],[5.5 7.5] ; [38.5 52.5],0
s5,1,0.042443,4.11745,[ 1 10] ; [34 50],[4.05263158 6.94736842] ; [30.94736842 53.05263158],0
d3,1,0.164193,1.935178,[6 6] ; [63 27],[8.11764706 3.88235294] ; [60.88235294 29.11764706],0
s6,1,0.185927,1.749602,[7 6] ; [64 25],[9.04901961 3.95098039] ; [61.95098039 27.04901961],0
n5,1,0.216008,1.530698,[11  2] ; [61 29],[9.08737864 3.91262136] ; [62.91262136 27.08737864],0
u1,1,0.252085,1.311712,[ 2 11] ; [28 63],[3.75 9.25] ; [26.25 64.75],0
v2,1,0.289173,1.123467,[9 3] ; [52 36],[7.32 4.68] ; [53.68 34.32],0
n4,1,0.291401,1.113136,[12  1] ; [73 18],[10.625  2.375] ; [74.375 16.625],0
p7,1,0.29383,1.101988,[7 6] ; [61 28],[8.66666667 4.33333333] ; [59.33333333 29.66666667],0
b3,1,0.296951,1.087838,[2 4] ; [35 28],[3.2173913 2.7826087] ; [33.7826087 29.2173913],0
b2,1,0.296951,1.087838,[2 4] ; [35 28],[3.2173913 2.7826087] ; [33.7826087 29.2173913],0
p11,1,0.307893,1.039692,[7 6] ; [62 29],[8.625 4.375] ; [60.375 30.625],0
d5,1,0.359846,0.838432,[12  1] ; [74 16],[10.85436893  2.14563107] ; [75.14563107 14.85436893],0
d1,1,0.368005,0.81039,[6 7] ; [54 37],[7.5 5.5] ; [52.5 38.5],0
a2,1,0.388257,0.744395,[ 3 10] ; [32 59],[4.375 8.625] ; [30.625 60.375],0
v1,1,0.40484,0.693904,[5 7] ; [49 41],[6.35294118 5.64705882] ; [47.64705882 42.35294118],0
n6,1,0.411201,0.675325,[10  3] ; [78 13],[11.  2.] ; [77. 14.],0
p4,1,0.441496,0.59239,[7 6] ; [59 32],[8.25 4.75] ; [57.75 33.25],0
d2,1,0.502711,0.449208,[6 7] ; [51 40],[7.125 5.875] ; [49.875 41.125],0
v3,1,0.532863,0.388929,[5 8] ; [26 61],[4.03 8.97] ; [26.97 60.03],0
p3,1,0.552003,0.353741,[5 8] ; [43 48],[6. 7.] ; [42. 49.],0
s2,1,0.562434,0.335508,[7 6] ; [56 34],[7.95145631 5.04854369] ; [55.04854369 34.95145631],0
a1,1,0.603245,0.27013,[ 1 12] ; [ 4 87],[ 0.625 12.375] ; [ 4.375 86.625],0
a3,1,0.738208,0.111708,[10  3] ; [66 25],[9.5 3.5] ; [66.5 24.5],0
a6,1,0.738208,0.111708,[9 4] ; [67 24],[9.5 3.5] ; [66.5 24.5],0
s8,1,0.738252,0.111669,[6 7] ; [46 44],[6.5631068 6.4368932] ; [45.4368932 44.5631068],0
a4,1,0.788796,0.071757,[7 6] ; [52 38],[7.44660194 5.55339806] ; [51.55339806 38.44660194],0
s3,1,0.788796,0.071757,[7 6] ; [52 38],[7.44660194 5.55339806] ; [51.55339806 38.44660194],0
a5,1,0.804175,0.061478,[9 4] ; [66 25],[9.375 3.625] ; [65.625 25.375],0
b4,1,0.822432,0.050363,[7 6] ; [52 39],[7.375 5.625] ; [51.625 39.375],0
n3,1,0.840344,0.040584,[4 1] ; [22  7],[3.82352941 1.17647059] ; [22.17647059  6.82352941],0
s7,1,0.842884,0.039286,[6 3] ; [57 33],[5.72727273 3.27272727] ; [57.27272727 32.72727273],0
p9,1,0.915984,0.011129,[11  2] ; [78 13],[11.125  1.875] ; [77.875 13.125],0
p2,1,0.920164,0.010045,[11  2] ; [76 15],[10.875  2.125] ; [76.125 14.875],0
n2,1,0.929939,0.00773,[3 2] ; [18 11],[3.08823529 1.91176471] ; [17.91176471 11.08823529],0
b5,1,0.936531,0.006341,[9 4] ; [62 29],[8.875 4.125] ; [62.125 28.875],0
s4,1,0.974458,0.001025,[ 2 11] ; [14 75],[ 2.03921569 10.96078431] ; [13.96078431 75.03921569],0
n1,1,0.97598,0.000907,[2 3] ; [11 17],[1.96969697 3.03030303] ; [11.03030303 16.96969697],0
