Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.019918,5.419084,[ 9 24] ; [28 25],[14.19767442 18.80232558] ; [22.80232558 30.19767442],0
s2,1,0.024766,5.040144,[ 6 27] ; [22 31],[10.74418605 22.25581395] ; [17.25581395 35.74418605],0
p11,1,0.02492,5.029467,[13 20] ; [34 19],[18.03488372 14.96511628] ; [28.96511628 24.03488372],0
v2,1,0.025578,4.984312,[ 9 24] ; [26 24],[13.91566265 19.08433735] ; [21.08433735 28.91566265],0
s3,1,0.028273,4.811321,[ 8 24] ; [26 27],[12.8 19.2] ; [21.2 31.8],0
d4,1,0.06093,3.51189,[20 13] ; [42 11],[23.79069767  9.20930233] ; [38.20930233 14.79069767],0
r1,1,0.070557,3.270008,[12 21] ; [10 43],[ 8.44186047 24.55813953] ; [13.55813953 39.44186047],0
p3,1,0.073687,3.198923,[ 6 26] ; [19 32],[ 9.63855422 22.36144578] ; [15.36144578 35.63855422],0
p2,1,0.102772,2.661988,[20 12] ; [41 11],[23.23809524  8.76190476] ; [37.76190476 14.23809524],0
b3,1,0.115864,2.472357,[ 9 11] ; [ 6 20],[ 6.52173913 13.47826087] ; [ 8.47826087 17.52173913],0
b2,1,0.115864,2.472357,[ 9 11] ; [ 6 20],[ 6.52173913 13.47826087] ; [ 8.47826087 17.52173913],0
u1,1,0.122898,2.379994,[ 3 30] ; [ 1 52],[ 1.53488372 31.46511628] ; [ 2.46511628 50.53488372],0
a4,1,0.144371,2.130741,[13 20] ; [13 40],[ 9.97674419 23.02325581] ; [16.02325581 36.97674419],0
n5,1,0.146011,2.113442,[23 10] ; [28 24],[19.8 13.2] ; [31.2 20.8],0
n2,1,0.173249,1.854605,[11  8] ; [20  6],[13.08888889  5.91111111] ; [17.91111111  8.08888889],0
b1,1,0.186592,1.744322,[21 12] ; [26 27],[18.03488372 14.96511628] ; [28.96511628 24.03488372],0
d1,1,0.205931,1.599804,[11 22] ; [25 28],[13.81395349 19.18604651] ; [22.18604651 30.81395349],0
u3,1,0.221272,1.496104,[8 6] ; [ 8 14],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
p7,1,0.23638,1.402057,[10 19] ; [25 27],[12.5308642 16.4691358] ; [22.4691358 29.5308642],0
n6,1,0.246968,1.340377,[19 14] ; [37 16],[21.48837209 11.51162791] ; [34.51162791 18.48837209],0
a2,1,0.26258,1.255101,[ 5 28] ; [ 4 49],[ 3.45348837 29.54651163] ; [ 5.54651163 47.45348837],0
p5,1,0.26641,1.235141,[ 4 28] ; [ 3 50],[ 2.63529412 29.36470588] ; [ 4.36470588 48.63529412],0
u2,1,0.269887,1.217321,[9 5] ; [10 12],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
p9,1,0.274529,1.193976,[18 13] ; [37 16],[20.29761905 10.70238095] ; [34.70238095 18.29761905],0
d2,1,0.286537,1.135824,[15 18] ; [18 35],[12.6627907 20.3372093] ; [20.3372093 32.6627907],0
a6,1,0.314089,1.013401,[15 18] ; [30 23],[17.26744186 15.73255814] ; [27.73255814 25.26744186],0
v1,1,0.332417,0.939457,[10 23] ; [20 29],[12.07317073 20.92682927] ; [17.92682927 31.07317073],0
d3,1,0.362061,0.83073,[17 16] ; [32 20],[19.02352941 13.97647059] ; [29.97647059 22.02352941],0
p4,1,0.371493,0.798665,[11 21] ; [23 29],[12.95238095 19.04761905] ; [21.04761905 30.95238095],0
a5,1,0.403358,0.698291,[18 15] ; [24 29],[16.11627907 16.88372093] ; [25.88372093 27.11627907],0
s7,1,0.419323,0.652211,[10 21] ; [21 30],[11.7195122 19.2804878] ; [19.2804878 31.7195122],0
a7,1,0.46291,0.53885,[16 17] ; [30 23],[17.65116279 15.34883721] ; [28.34883721 24.65116279],0
n1,1,0.477769,0.503951,[ 7 12] ; [ 7 19],[ 5.91111111 13.08888889] ; [ 8.08888889 17.91111111],0
r2,1,0.517904,0.418065,[22  9] ; [32 18],[20.66666667 10.33333333] ; [33.33333333 16.66666667],0
n4,1,0.52645,0.401239,[17 16] ; [31 22],[18.41860465 14.58139535] ; [29.58139535 23.41860465],0
n3,1,0.550179,0.356997,[10  9] ; [16 10],[10.97777778  8.02222222] ; [15.02222222 10.97777778],0
s8,1,0.584948,0.298304,[ 7 26] ; [14 39],[ 8.05813953 24.94186047] ; [12.94186047 40.05813953],0
p8,1,0.632158,0.229146,[11 22] ; [20 32],[12.03529412 20.96470588] ; [18.96470588 33.03529412],0
s5,1,0.661809,0.191333,[ 4 28] ; [ 8 42],[ 4.68292683 27.31707317] ; [ 7.31707317 42.68292683],0
b5,1,0.719341,0.129125,[18 15] ; [31 22],[18.80232558 14.19767442] ; [30.19767442 22.80232558],0
v3,1,0.723344,0.125311,[ 7 26] ; [13 40],[ 7.6744186 25.3255814] ; [12.3255814 40.6744186],0
p12,1,0.753511,0.098604,[ 1 32] ; [ 1 50],[ 0.78571429 32.21428571] ; [ 1.21428571 49.78571429],0
a1,1,0.799033,0.06482,[ 3 30] ; [ 4 49],[ 2.68604651 30.31395349] ; [ 4.31395349 48.68604651],0
s1,1,0.855047,0.033373,[ 1 32] ; [ 2 51],[ 1.15116279 31.84883721] ; [ 1.84883721 51.15116279],0
p1,1,0.855047,0.033373,[ 1 32] ; [ 2 51],[ 1.15116279 31.84883721] ; [ 1.84883721 51.15116279],0
p6,1,0.856952,0.032492,[ 8 25] ; [13 37],[ 8.34939759 24.65060241] ; [12.65060241 37.34939759],0
b4,1,0.876755,0.024051,[18 15] ; [28 25],[17.65116279 15.34883721] ; [28.34883721 24.65116279],0
p10,1,0.955967,0.003049,[20 13] ; [30 20],[19.87951807 13.12048193] ; [30.12048193 19.87951807],0
s4,1,0.95956,0.002571,[ 7 26] ; [11 42],[ 6.90697674 26.09302326] ; [11.09302326 41.90697674],0
d5,1,0.991041,0.000126,[23 10] ; [37 16],[23.02325581  9.97674419] ; [36.97674419 16.02325581],0
a3,1,0.991544,0.000112,[19 14] ; [30 22],[19.02352941 13.97647059] ; [29.97647059 22.02352941],0
