Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,46.013367,[ 13 115] ; [25 16],[28.78106509 99.21893491] ; [ 9.21893491 31.78106509],1
s6,1,7.5e-05,15.669428,[45 82] ; [29 12],[55.94047619 71.05952381] ; [18.05952381 22.94047619],1
s2,1,0.001824,9.719112,[32 95] ; [21 20],[40.06547619 86.93452381] ; [12.93452381 28.06547619],0
v1,1,0.001935,9.609814,[41 85] ; [24 16],[49.3373494 76.6626506] ; [15.6626506 24.3373494],0
a2,1,0.002197,9.37745,[  9 119] ; [10 31],[ 14.39053254 113.60946746] ; [ 4.60946746 36.39053254],0
p3,1,0.002586,9.078613,[28 99] ; [19 22],[35.5297619 91.4702381] ; [11.4702381 29.5297619],0
p4,1,0.005018,7.872846,[43 84] ; [24 17],[50.64880952 76.35119048] ; [16.35119048 24.64880952],0
p10,1,0.010147,6.608818,[73 54] ; [32  8],[79.8502994 47.1497006] ; [25.1497006 14.8502994],0
d2,1,0.01752,5.643568,[34 94] ; [19 22],[40.14201183 87.85798817] ; [12.85798817 28.14201183],0
s3,1,0.018265,5.570549,[42 85] ; [22 19],[48.38095238 78.61904762] ; [15.61904762 25.38095238],0
p7,1,0.033661,4.51186,[59 66] ; [26 13],[64.78658537 60.21341463] ; [20.21341463 18.78658537],0
p5,1,0.035546,4.418737,[  3 124] ; [ 4 36],[  5.32335329 121.67664671] ; [ 1.67664671 38.32335329],0
p9,1,0.040054,4.215615,[83 44] ; [33  7],[88.21556886 38.78443114] ; [27.78443114 12.21556886],0
a8,1,0.04558,3.997036,[  5 116] ; [ 5 33],[  7.61006289 113.38993711] ; [ 2.38993711 35.61006289],0
a3,1,0.047243,3.936702,[68 60] ; [29 12],[73.46745562 54.53254438] ; [23.53254438 17.46745562],0
u3,1,0.055747,3.6596,[31 27] ; [10  2],[33.97142857 24.02857143] ; [7.02857143 4.97142857],0
a7,1,0.060868,3.513578,[86 41] ; [34  7],[90.71428571 36.28571429] ; [29.28571429 11.71428571],0
a5,1,0.065235,3.399036,[60 68] ; [26 15],[65.13609467 62.86390533] ; [20.86390533 20.13609467],0
u2,1,0.071653,3.244735,[31 28] ; [9 2],[33.71428571 25.28571429] ; [6.28571429 4.71428571],0
u1,1,0.089892,2.876309,[  6 122] ; [ 5 36],[  8.33136095 119.66863905] ; [ 2.66863905 38.33136095],0
r1,1,0.104403,2.636958,[79 49] ; [31 10],[83.31360947 44.68639053] ; [26.68639053 14.31360947],0
r4,1,0.157357,1.999447,[92 36] ; [34  7],[95.43195266 32.56804734] ; [30.56804734 10.43195266],0
p2,1,0.164944,1.928304,[88 39] ; [33  8],[91.4702381 35.5297619] ; [29.5297619 11.4702381],0
n5,1,0.171024,1.873944,[45 82] ; [19 21],[48.67065868 78.32934132] ; [15.32934132 24.67065868],0
s4,1,0.20114,1.634077,[ 20 108] ; [10 31],[ 22.72189349 105.27810651] ; [ 7.27810651 33.72189349],0
a6,1,0.222937,1.485362,[77 51] ; [29 12],[80.28402367 47.71597633] ; [25.71597633 15.28402367],0
n6,1,0.253134,1.305926,[74 53] ; [28 13],[77.10714286 49.89285714] ; [24.89285714 16.10714286],0
v3,1,0.266236,1.236036,[26 98] ; [11 26],[28.49689441 95.50310559] ; [ 8.50310559 28.49689441],0
a4,1,0.290021,1.119524,[30 98] ; [13 28],[32.56804734 95.43195266] ; [10.43195266 30.56804734],0
r2,1,0.296574,1.089535,[107  21] ; [37  4],[109.06508876  18.93491124] ; [34.93491124  6.06508876],0
b2,1,0.302655,1.06246,[13 45] ; [ 8 16],[14.85365854 43.14634146] ; [ 6.14634146 17.85365854],0
b3,1,0.302655,1.06246,[13 45] ; [ 8 16],[14.85365854 43.14634146] ; [ 6.14634146 17.85365854],0
