Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000148,14.396793,[ 8 41] ; [10  5],[13.78125 35.21875] ; [ 4.21875 10.78125],1
p4,1,0.000482,12.184148,[14 34] ; [12  3],[19.80952381 28.19047619] ; [6.19047619 8.80952381],1
p7,1,0.001499,10.08,[16 32] ; [12  3],[21.33333333 26.66666667] ; [6.66666667 8.33333333],0
d5,1,0.001876,9.666668,[20 29] ; [13  2],[25.265625 23.734375] ; [7.734375 7.265625],0
p3,1,0.006043,7.537514,[11 38] ; [9 6],[15.3125 33.6875] ; [ 4.6875 10.3125],0
s5,1,0.006109,7.517995,[ 7 40] ; [7 7],[10.78688525 36.21311475] ; [ 3.21311475 10.78688525],0
s6,1,0.009891,6.654375,[17 31] ; [11  4],[21.33333333 26.66666667] ; [6.66666667 8.33333333],0
s4,1,0.015215,5.891353,[ 8 41] ; [7 8],[11.484375 37.515625] ; [ 3.515625 11.484375],0
p2,1,0.07306,3.21289,[23 26] ; [11  4],[26.03125 22.96875] ; [7.96875 7.03125],0
a8,1,0.08263,3.012402,[ 1 45] ; [ 2 13],[ 2.26229508 43.73770492] ; [ 0.73770492 14.26229508],0
a3,1,0.106412,2.606712,[28 21] ; [ 5 10],[25.265625 23.734375] ; [7.734375 7.265625],0
p1,1,0.106646,2.603237,[ 3 46] ; [ 3 12],[ 4.59375 44.40625] ; [ 1.40625 13.59375],0
r3,1,0.145339,2.120503,[33 16] ; [13  2],[35.21875 13.78125] ; [10.78125  4.21875],0
s8,1,0.178085,1.813532,[11 38] ; [6 9],[13.015625 35.984375] ; [ 3.984375 11.015625],0
b1,1,0.180361,1.794646,[30 19] ; [12  3],[32.15625 16.84375] ; [9.84375 5.15625],0
p11,1,0.180976,1.789588,[23 26] ; [10  5],[25.265625 23.734375] ; [7.734375 7.265625],0
v4,1,0.191028,1.70967,[32 14] ; [13  2],[33.93442623 12.06557377] ; [11.06557377  3.93442623],0
a5,1,0.229701,1.44271,[25 24] ; [ 5 10],[22.96875 26.03125] ; [7.03125 7.96875],0
r2,1,0.252634,1.30868,[38  9] ; [10  5],[36.38709677 10.61290323] ; [11.61290323  3.38709677],0
s7,1,0.264389,1.245629,[13 31] ; [6 7],[14.66666667 29.33333333] ; [4.33333333 8.66666667],0
b4,1,0.286808,1.134546,[25 24] ; [10  5],[26.796875 22.203125] ; [8.203125 6.796875],0
u2,1,0.313694,1.015057,[13  8] ; [8 2],[14.22580645  6.77419355] ; [6.77419355 3.22580645],0
d1,1,0.317758,0.998153,[13 36] ; [6 9],[14.546875 34.453125] ; [ 4.453125 10.546875],0
n3,1,0.360789,0.835146,[15  7] ; [4 4],[13.93333333  8.06666667] ; [5.06666667 2.93333333],0
p9,1,0.37365,0.791489,[22 25] ; [9 6],[23.5 23.5] ; [7.5 7.5],0
p5,1,0.376822,0.781045,[ 1 47] ; [ 1 14],[ 1.52380952 46.47619048] ; [ 0.47619048 14.52380952],0
v2,1,0.384409,0.756554,[15 29] ; [7 8],[16.40677966 27.59322034] ; [5.59322034 9.40677966],0
a6,1,0.392427,0.73141,[19 30] ; [ 4 11],[17.609375 31.390625] ; [5.390625 9.609375],0
n1,1,0.408961,0.681818,[10 12] ; [5 3],[11. 11.] ; [4. 4.],0
n2,1,0.428539,0.626779,[17  6] ; [7 1],[17.80645161  5.19354839] ; [6.19354839 1.80645161],0
p10,1,0.465109,0.533572,[20 27] ; [8 7],[21.22580645 25.77419355] ; [6.77419355 8.22580645],0
b5,1,0.475729,0.508637,[21 28] ; [8 7],[22.203125 26.796875] ; [6.796875 8.203125],0
d3,1,0.498047,0.459096,[15 34] ; [6 9],[16.078125 32.921875] ; [ 4.921875 10.078125],0
r4,1,0.511083,0.431849,[28 21] ; [10  5],[29.09375 19.90625] ; [8.90625 6.09375],0
s3,1,0.732678,0.116667,[28 20] ; [8 7],[27.42857143 20.57142857] ; [8.57142857 6.42857143],0
n5,1,0.732678,0.116667,[20 28] ; [7 8],[20.57142857 27.42857143] ; [6.42857143 8.57142857],0
v1,1,0.794679,0.067725,[21 28] ; [7 8],[21.4375 27.5625] ; [6.5625 8.4375],0
r1,1,0.794679,0.067725,[28 21] ; [8 7],[27.5625 21.4375] ; [8.4375 6.5625],0
d2,1,0.794679,0.067725,[21 28] ; [7 8],[21.4375 27.5625] ; [6.5625 8.4375],0
d4,1,0.797817,0.065625,[27 21] ; [9 6],[27.42857143 20.57142857] ; [8.57142857 6.42857143],0
s2,1,0.819202,0.052245,[18 31] ; [6 9],[18.375 30.625] ; [5.625 9.375],0
b2,1,0.887001,0.020192,[12 20] ; [4 6],[12.19047619 19.80952381] ; [3.80952381 6.19047619],0
b3,1,0.887001,0.020192,[12 20] ; [4 6],[12.19047619 19.80952381] ; [3.80952381 6.19047619],0
u3,1,0.901312,0.015377,[11 10] ; [5 5],[10.83870968 10.16129032] ; [5.16129032 4.83870968],0
v3,1,0.919159,0.010301,[10 34] ; [ 3 11],[ 9.86206897 34.13793103] ; [ 3.13793103 10.86206897],0
a4,1,0.96084,0.002411,[16 33] ; [ 5 10],[16.078125 32.921875] ; [ 4.921875 10.078125],0
n4,1,0.985257,0.000341,[26 23] ; [8 7],[26.03125 22.96875] ; [7.96875 7.03125],0
