Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001655,9.897979,[19 14] ; [30 78],[11.46808511 21.53191489] ; [37.53191489 70.46808511],0
r2,1,0.025258,5.006135,[32  2] ; [83 25],[27.53521127  6.46478873] ; [87.46478873 20.53521127],0
n4,1,0.035555,4.418307,[26  8] ; [62 48],[20.77777778 13.22222222] ; [67.22222222 42.77777778],0
s8,1,0.07596,3.149295,[ 7 27] ; [10 98],[ 4.07042254 29.92957746] ; [12.92957746 95.07042254],0
n2,1,0.076465,3.13848,[9 2] ; [28 25],[6.359375 4.640625] ; [30.640625 22.359375],0
b3,1,0.083657,2.99239,[ 3 17] ; [25 46],[ 6.15384615 13.84615385] ; [21.84615385 49.15384615],0
b2,1,0.083657,2.99239,[ 3 17] ; [25 46],[ 6.15384615 13.84615385] ; [21.84615385 49.15384615],0
d3,1,0.086501,2.93832,[23 11] ; [56 54],[18.65277778 15.34722222] ; [60.34722222 49.65277778],0
v4,1,0.088999,2.892391,[30  4] ; [81 28],[26.39160839  7.60839161] ; [84.60839161 24.39160839],0
u1,1,0.126753,2.331823,[ 1 33] ; [13 97],[ 3.30555556 30.69444444] ; [10.69444444 99.30555556],0
b4,1,0.13939,2.184679,[24 10] ; [62 48],[20.30555556 13.69444444] ; [65.69444444 44.30555556],0
v1,1,0.140645,2.170887,[14 20] ; [30 78],[10.53521127 23.46478873] ; [33.46478873 74.53521127],0
n6,1,0.154084,2.03135,[24 10] ; [62 47],[20.44755245 13.55244755] ; [65.55244755 43.44755245],0
s6,1,0.167196,1.907907,[13 21] ; [28 80],[ 9.81690141 24.18309859] ; [31.18309859 76.81690141],0
s3,1,0.195959,1.672237,[11 22] ; [24 84],[ 8.19148936 24.80851064] ; [26.80851064 81.19148936],0
s7,1,0.233999,1.416386,[ 7 26] ; [13 89],[ 4.88888889 28.11111111] ; [15.11111111 86.88888889],0
n3,1,0.237147,1.397473,[8 2] ; [32 21],[6.34920635 3.65079365] ; [33.65079365 19.34920635],0
d5,1,0.24755,1.337075,[25  9] ; [69 41],[22.19444444 11.80555556] ; [71.80555556 38.19444444],0
a6,1,0.281039,1.162058,[23 11] ; [63 47],[20.30555556 13.69444444] ; [65.69444444 44.30555556],0
r3,1,0.389388,0.740853,[27  6] ; [82 28],[25.15384615  7.84615385] ; [83.84615385 26.15384615],0
b5,1,0.402223,0.701669,[24 10] ; [69 41],[21.95833333 12.04166667] ; [71.04166667 38.95833333],0
a1,1,0.407512,0.686048,[ 4 30] ; [  8 102],[ 2.83333333 31.16666667] ; [  9.16666667 100.83333333],0
a5,1,0.444711,0.584096,[16 18] ; [60 50],[17.94444444 16.05555556] ; [58.05555556 51.94444444],0
r4,1,0.456776,0.553783,[24 10] ; [70 40],[22.19444444 11.80555556] ; [71.80555556 38.19444444],0
s1,1,0.459088,0.548116,[ 1 32] ; [  7 102],[ 1.85915493 31.14084507] ; [  6.14084507 102.85915493],0
u3,1,0.468261,0.526077,[7 7] ; [20 31],[5.81538462 8.18461538] ; [21.18461538 29.81538462],0
p8,1,0.472632,0.515817,[10 23] ; [26 82],[ 8.42553191 24.57446809] ; [27.57446809 80.42553191],0
p1,1,0.486592,0.484054,[ 3 31] ; [  6 103],[ 2.13986014 31.86013986] ; [  6.86013986 102.13986014],0
a7,1,0.489936,0.476667,[22 11] ; [66 44],[20.30769231 12.69230769] ; [67.69230769 42.30769231],0
s4,1,0.545555,0.36534,[ 2 32] ; [10 99],[ 2.85314685 31.14685315] ; [ 9.14685315 99.85314685],0
b1,1,0.627571,0.235369,[18 16] ; [53 57],[16.76388889 17.23611111] ; [54.23611111 55.76388889],0
a2,1,0.66046,0.192965,[ 7 27] ; [19 91],[ 6.13888889 27.86111111] ; [19.86111111 90.13888889],0
s5,1,0.67762,0.172818,[ 3 29] ; [13 95],[ 3.65714286 28.34285714] ; [12.34285714 95.65714286],0
u2,1,0.688052,0.161203,[6 7] ; [20 30],[5.36507937 7.63492063] ; [20.63492063 29.36507937],0
p6,1,0.68962,0.159497,[ 7 25] ; [20 87],[ 6.21582734 25.78417266] ; [20.78417266 86.21582734],0
d4,1,0.696888,0.151729,[23 10] ; [72 37],[22.07746479 10.92253521] ; [72.92253521 36.07746479],0
a8,1,0.702568,0.145814,[ 4 28] ; [10 89],[ 3.41984733 28.58015267] ; [10.58015267 88.41984733],0
a3,1,0.706217,0.142085,[20 14] ; [59 48],[19.04964539 14.95035461] ; [59.95035461 47.04964539],0
p4,1,0.715949,0.132407,[11 22] ; [33 77],[10.15384615 22.84615385] ; [33.84615385 76.15384615],0
p9,1,0.728076,0.120885,[12 22] ; [34 72],[11.17142857 22.82857143] ; [34.82857143 71.17142857],0
n1,1,0.752462,0.099474,[4 5] ; [21 33],[3.57142857 5.42857143] ; [21.42857143 32.57142857],0
r1,1,0.824591,0.049126,[21 13] ; [65 44],[20.44755245 13.55244755] ; [65.55244755 43.44755245],0
p7,1,0.902704,0.014944,[14 20] ; [44 66],[13.69444444 20.30555556] ; [44.30555556 65.69444444],0
p11,1,0.908793,0.013124,[16 18] ; [53 57],[16.29166667 17.70833333] ; [52.70833333 57.29166667],0
a4,1,0.945604,0.004655,[13 21] ; [42 66],[13.16901408 20.83098592] ; [41.83098592 66.16901408],0
p5,1,0.953498,0.003401,[ 1 33] ; [  3 106],[ 0.95104895 33.04895105] ; [  3.04895105 105.95104895],0
d2,1,0.95963,0.002562,[15 18] ; [49 60],[14.87323944 18.12676056] ; [49.12676056 59.87323944],0
p2,1,0.965003,0.001925,[19 15] ; [61 49],[18.88888889 15.11111111] ; [61.11111111 48.88888889],0
p3,1,0.969113,0.001499,[ 8 26] ; [26 83],[ 8.08391608 25.91608392] ; [25.91608392 83.08391608],0
d1,1,0.977895,0.000768,[14 20] ; [45 65],[13.93055556 20.06944444] ; [45.06944444 64.93055556],0
n5,1,0.982579,0.000477,[18 16] ; [58 52],[17.94444444 16.05555556] ; [58.05555556 51.94444444],0
