Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,66.913725,[104  28] ; [ 1 33],[83.4939759 48.5060241] ; [21.5060241 12.4939759],1
p11,1,0.0,44.577935,[95 37] ; [ 3 31],[77.92771084 54.07228916] ; [20.07228916 13.92771084],1
v4,1,0.0,25.796592,[114  17] ; [16 18],[103.21212121  27.78787879] ; [26.78787879  7.21212121],1
p2,1,1e-06,23.451701,[88 44] ; [ 7 27],[75.54216867 56.45783133] ; [19.45783133 14.54216867],1
n6,1,0.000115,14.865771,[93 38] ; [12 22],[83.36363636 47.63636364] ; [21.63636364 12.36363636],1
p10,1,0.000154,14.319572,[83 47] ; [ 9 24],[73.37423313 56.62576687] ; [18.62576687 14.37423313],1
a7,1,0.000159,14.265789,[96 36] ; [13 21],[86.6746988 45.3253012] ; [22.3253012 11.6746988],1
p9,1,0.000224,13.616597,[88 41] ; [10 21],[79.0125 49.9875] ; [18.9875 12.0125],1
a1,1,0.000242,13.470487,[  4 128] ; [ 7 27],[  8.74698795 123.25301205] ; [ 2.25301205 31.74698795],1
v2,1,0.00027,13.270047,[55 72] ; [ 3 30],[46.0375 80.9625] ; [11.9625 21.0375],1
r1,1,0.000388,12.58839,[87 45] ; [11 23],[77.92771084 54.07228916] ; [20.07228916 13.92771084],1
d4,1,0.001066,10.709791,[106  26] ; [18 16],[98.60240964 33.39759036] ; [25.39759036  8.60240964],0
b5,1,0.00411,8.234353,[79 53] ; [11 23],[71.56626506 60.43373494] ; [18.43373494 15.56626506],0
n3,1,0.011602,6.370704,[26 15] ; [ 5 13],[21.54237288 19.45762712] ; [9.45762712 8.54237288],0
u2,1,0.014389,5.989744,[23 24] ; [ 2 13],[18.9516129 28.0483871] ; [6.0483871 8.9516129],0
d5,1,0.01577,5.828315,[98 34] ; [18 16],[92.24096386 39.75903614] ; [23.75903614 10.24096386],0
u3,1,0.024509,5.058216,[25 22] ; [ 3 12],[21.22580645 25.77419355] ; [6.77419355 8.22580645],0
r2,1,0.035903,4.401694,[114  17] ; [23  9],[110.10429448  20.89570552] ; [26.89570552  5.10429448],0
p8,1,0.039498,4.239324,[33 98] ; [ 3 31],[ 28.58181818 102.41818182] ; [ 7.41818182 26.58181818],0
p4,1,0.041747,4.145443,[38 94] ; [ 4 30],[33.39759036 98.60240964] ; [ 8.60240964 25.39759036],0
b1,1,0.050465,3.825934,[53 79] ; [20 14],[58.04819277 73.95180723] ; [14.95180723 19.04819277],0
v1,1,0.053811,3.718556,[45 84] ; [ 6 28],[40.36196319 88.63803681] ; [10.63803681 23.36196319],0
