Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,91.509331,[228  56] ; [171 221],[167.62721893 116.37278107] ; [231.37278107 160.62721893],1
v1,1,0.0,29.617103,[194  91] ; [189 212],[159.1180758 125.8819242] ; [223.8819242 177.1180758],1
p12,1,4.7e-05,16.566002,[ 38 245] ; [ 19 384],[ 23.51457726 259.48542274] ; [ 33.48542274 369.51457726],1
p5,1,6.2e-05,16.038467,[ 49 235] ; [ 30 376],[ 32.51594203 251.48405797] ; [ 46.48405797 359.51594203],1
s8,1,0.00012,14.792219,[153 129] ; [160 246],[128.29360465 153.70639535] ; [184.70639535 221.29360465],1
s7,1,0.000196,13.870596,[159 108] ; [176 217],[135.52272727 131.47727273] ; [199.47727273 193.52272727],1
p3,1,0.000277,13.216983,[166 117] ; [181 225],[142.52685051 140.47314949] ; [204.47314949 201.52685051],1
n5,1,0.000578,11.84529,[237  50] ; [287 116],[217.95362319  69.04637681] ; [306.04637681  96.95362319],1
a1,1,0.000622,11.710057,[ 22 266] ; [  9 399],[ 12.82758621 275.17241379] ; [ 18.17241379 389.82758621],1
n4,1,0.003635,8.457488,[242  45] ; [306 101],[226.62247839  60.37752161] ; [321.37752161  85.62247839],0
s2,1,0.00719,7.224831,[165 118] ; [194 211],[147.67005814 135.32994186] ; [211.32994186 193.67005814],0
p4,1,0.010891,6.483056,[184  98] ; [225 180],[167.88646288 114.11353712] ; [241.11353712 163.88646288],0
p10,1,0.012861,6.188083,[240  42] ; [313  91],[227.32653061  54.67346939] ; [325.67346939  78.32653061],0
s4,1,0.016216,5.7793,[ 36 247] ; [ 79 322],[ 47.58040936 235.41959064] ; [ 67.41959064 333.58040936],0
a5,1,0.018764,5.523371,[233  54] ; [300 108],[220.10215827  66.89784173] ; [312.89784173  95.10215827],0
n6,1,0.020509,5.368015,[253  33] ; [333  73],[242.19075145  43.80924855] ; [343.80924855  62.19075145],0
p1,1,0.024145,5.084211,[ 33 252] ; [ 27 378],[ 24.7826087 260.2173913] ; [ 35.2173913 369.7826087],0
a3,1,0.025463,4.992094,[222  63] ; [286 121],[209.21965318  75.78034682] ; [298.78034682 108.21965318],0
s5,1,0.030756,4.66654,[115 164] ; [130 263],[101.71875 177.28125] ; [143.28125 249.71875],0
v4,1,0.034592,4.465177,[283   4] ; [389  17],[278.3030303   8.6969697] ; [393.6969697  12.3030303],0
p8,1,0.039465,4.240758,[164 117] ; [202 199],[150.80058651 130.19941349] ; [215.19941349 185.80058651],0
p7,1,0.054049,3.711185,[190  86] ; [244 152],[178.25  97.75] ; [255.75 140.25],0
u1,1,0.064486,3.418086,[ 68 220] ; [ 73 335],[ 58.34482759 229.65517241] ; [ 82.65517241 325.34482759],0
u4,1,0.136283,2.219434,[  8 280] ; [  5 403],[  5.37931034 282.62068966] ; [  7.62068966 400.37931034],0
d1,1,0.141153,2.165342,[186 102] ; [241 167],[176.68965517 111.31034483] ; [250.31034483 157.68965517],0
p9,1,0.144751,2.126716,[240  41] ; [327  76],[232.93421053  48.06578947] ; [334.06578947  68.93421053],0
a2,1,0.170037,1.882613,[ 84 204] ; [100 308],[ 76.13793103 211.86206897] ; [107.86206897 300.13793103],0
n2,1,0.185952,1.7494,[40 10] ; [72 31],[36.60130719 13.39869281] ; [75.39869281 27.60130719],0
b4,1,0.201581,1.630884,[177 111] ; [231 177],[168.82758621 119.17241379] ; [239.17241379 168.82758621],0
p11,1,0.211773,1.559266,[233  55] ; [314  94],[226.34482759  61.65517241] ; [320.65517241  87.34482759],0
u2,1,0.247455,1.337617,[41 25] ; [64 56],[37.25806452 28.74193548] ; [67.74193548 52.25806452],0
d2,1,0.263697,1.249241,[152 133] ; [200 208],[144.76190476 140.23809524] ; [207.23809524 200.76190476],0
d3,1,0.321338,0.983493,[209  77] ; [284 124],[203.16714697  82.83285303] ; [289.83285303 118.16714697],0
a4,1,0.332519,0.939061,[141 145] ; [185 221],[134.73410405 151.26589595] ; [191.26589595 214.73410405],0
s3,1,0.338202,0.917237,[168 110] ; [231 176],[161.92992701 116.07007299] ; [237.07007299 169.92992701],0
n1,1,0.359824,0.838507,[17 31] ; [45 59],[19.57894737 28.42105263] ; [42.42105263 61.57894737],0
a6,1,0.369337,0.805894,[206  79] ; [282 126],[200.69264069  84.30735931] ; [287.30735931 120.69264069],0
r4,1,0.513604,0.426719,[280   8] ; [393  15],[278.48275862   9.51724138] ; [394.51724138  13.48275862],0
r3,1,0.516673,0.420529,[278   8] ; [391  15],[276.49421965   9.50578035] ; [392.50578035  13.49421965],0
a8,1,0.602783,0.270818,[ 38 214] ; [ 51 324],[ 35.77033493 216.22966507] ; [ 53.22966507 321.77033493],0
b5,1,0.603787,0.269322,[168 120] ; [246 162],[171.31034483 116.68965517] ; [242.68965517 165.31034483],0
n3,1,0.625638,0.238023,[38 12] ; [73 28],[36.75496689 13.24503311] ; [74.24503311 26.75496689],0
s6,1,0.63045,0.231451,[199  83] ; [274 124],[196.15588235  85.84411765] ; [276.84411765 121.15588235],0
b2,1,0.654427,0.200364,[ 71 111] ; [ 90 154],[ 68.78403756 113.21596244] ; [ 92.21596244 151.78403756],0
b3,1,0.654427,0.200364,[ 71 111] ; [ 90 154],[ 68.78403756 113.21596244] ; [ 92.21596244 151.78403756],0
s1,1,0.677943,0.172451,[ 10 272] ; [ 12 391],[  9.05693431 272.94306569] ; [ 12.94306569 390.05693431],0
p2,1,0.718139,0.130283,[238  46] ; [336  70],[236.25507246  47.74492754] ; [337.74492754  68.25507246],0
b1,1,0.887239,0.020107,[110 178] ; [158 250],[110.89655172 177.10344828] ; [157.10344828 250.89655172],0
p6,1,0.955593,0.003101,[105 176] ; [149 252],[104.65395894 176.34604106] ; [149.34604106 251.65395894],0
a7,1,0.970657,0.001353,[212  73] ; [304 104],[212.20779221  72.79220779] ; [303.79220779 104.20779221],0
u3,1,0.971328,0.001292,[41 24] ; [76 45],[40.88709677 24.11290323] ; [76.11290323 44.88709677],0
d5,1,0.98804,0.000225,[234  52] ; [334  74],[234.07492795  51.92507205] ; [333.92507205  74.07492795],0
d4,1,0.99467,4.5e-05,[238  46] ; [341  66],[237.96816208  46.03183792] ; [341.03183792  65.96816208],0
