Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.001013,10.803538,[13  2] ; [ 7 15],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
r1,1,0.008221,6.984647,[11  5] ; [ 6 17],[6.97435897 9.02564103] ; [10.02564103 12.97435897],0
a7,1,0.01823,5.573952,[11  5] ; [ 7 16],[7.38461538 8.61538462] ; [10.61538462 12.38461538],0
a8,1,0.064527,3.417027,[ 5 10] ; [ 2 20],[ 2.83783784 12.16216216] ; [ 4.16216216 17.83783784],0
d5,1,0.069086,3.304595,[14  2] ; [14  9],[11.48717949  4.51282051] ; [16.51282051  6.48717949],0
p8,1,0.07197,3.237498,[7 9] ; [ 4 19],[ 4.51282051 11.48717949] ; [ 6.48717949 16.51282051],0
p2,1,0.089695,2.879844,[12  4] ; [11 12],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
p7,1,0.106927,2.599059,[9 7] ; [ 7 16],[6.56410256 9.43589744] ; [ 9.43589744 13.56410256],0
s3,1,0.111126,2.538131,[10  6] ; [ 8 14],[7.57894737 8.42105263] ; [10.42105263 11.57894737],0
d3,1,0.119422,2.424884,[11  5] ; [10 13],[8.61538462 7.38461538] ; [12.38461538 10.61538462],0
b3,1,0.142772,2.147821,[4 5] ; [ 3 14],[2.42307692 6.57692308] ; [ 4.57692308 12.42307692],0
b2,1,0.142772,2.147821,[4 5] ; [ 3 14],[2.42307692 6.57692308] ; [ 4.57692308 12.42307692],0
d2,1,0.18876,1.727273,[10  6] ; [ 9 13],[8. 8.] ; [11. 11.],0
s6,1,0.219408,1.508236,[9 5] ; [10 13],[7.18918919 6.81081081] ; [11.81081081 11.18918919],0
s8,1,0.249745,1.324728,[7 9] ; [ 6 17],[ 5.33333333 10.66666667] ; [ 7.66666667 15.33333333],0
p9,1,0.259653,1.270604,[12  4] ; [12  9],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
u3,1,0.263552,1.25,[3 3] ; [2 7],[2. 4.] ; [3. 6.],0
d4,1,0.27377,1.197761,[13  3] ; [15  8],[11.48717949  4.51282051] ; [16.51282051  6.48717949],0
v1,1,0.307431,1.041678,[ 4 12] ; [ 9 13],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
p10,1,0.307431,1.041678,[12  4] ; [13  9],[10.52631579  5.47368421] ; [14.47368421  7.52631579],0
s2,1,0.307431,1.041678,[ 4 12] ; [ 9 13],[ 5.47368421 10.52631579] ; [ 7.52631579 14.47368421],0
n5,1,0.3123,1.020924,[11  5] ; [19  4],[12.30769231  3.69230769] ; [17.69230769  5.30769231],0
d1,1,0.341947,0.903119,[8 8] ; [ 8 15],[6.56410256 9.43589744] ; [ 9.43589744 13.56410256],0
a5,1,0.341947,0.903119,[8 8] ; [15  8],[9.43589744 6.56410256] ; [13.56410256  9.43589744],0
p6,1,0.349515,0.875218,[ 5 11] ; [ 4 18],[ 3.78947368 12.21052632] ; [ 5.21052632 16.78947368],0
n1,1,0.386916,0.748611,[2 1] ; [3 5],[1.36363636 1.63636364] ; [3.63636364 4.36363636],0
b1,1,0.432512,0.616068,[9 7] ; [10 13],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
v2,1,0.432512,0.616068,[9 7] ; [10 13],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
p11,1,0.447493,0.576993,[10  6] ; [17  6],[11.07692308  4.92307692] ; [15.92307692  7.07692308],0
v3,1,0.503445,0.447667,[ 5 11] ; [ 5 18],[ 4.1025641 11.8974359] ; [ 5.8974359 17.1025641],0
n4,1,0.592704,0.286141,[13  3] ; [17  6],[12.30769231  3.69230769] ; [17.69230769  5.30769231],0
p3,1,0.613819,0.254651,[ 5 11] ; [ 9 14],[ 5.74358974 10.25641026] ; [ 8.25641026 14.74358974],0
n2,1,0.621014,0.244444,[2 1] ; [4 4],[1.63636364 1.36363636] ; [4.36363636 3.63636364],0
u2,1,0.633553,0.227273,[2 4] ; [2 7],[1.6 4.4] ; [2.4 6.6],0
a4,1,0.647264,0.209366,[ 4 12] ; [ 7 15],[ 4.63157895 11.36842105] ; [ 6.36842105 15.63157895],0
s4,1,0.677091,0.173419,[ 2 14] ; [ 4 19],[ 2.46153846 13.53846154] ; [ 3.53846154 19.46153846],0
s7,1,0.681393,0.168562,[6 9] ; [ 7 14],[5.41666667 9.58333333] ; [ 7.58333333 13.41666667],0
p5,1,0.700098,0.14837,[ 2 14] ; [ 2 21],[ 1.64102564 14.35897436] ; [ 2.35897436 20.64102564],0
b4,1,0.724507,0.124215,[11  5] ; [17  6],[11.48717949  4.51282051] ; [16.51282051  6.48717949],0
a2,1,0.777998,0.079484,[ 1 15] ; [ 2 21],[ 1.23076923 14.76923077] ; [ 1.76923077 21.23076923],0
p12,1,0.820643,0.051401,[ 1 14] ; [ 2 21],[ 1.18421053 13.81578947] ; [ 1.81578947 21.18421053],0
a6,1,0.893719,0.017849,[8 8] ; [11 12],[7.79487179 8.20512821] ; [11.20512821 11.79487179],0
a3,1,0.918006,0.010598,[10  6] ; [14  9],[9.84615385 6.15384615] ; [14.15384615  8.84615385],0
s5,1,0.982244,0.000495,[ 3 11] ; [ 5 18],[ 3.02702703 10.97297297] ; [ 4.97297297 18.02702703],0
p4,1,0.98657,0.000283,[7 9] ; [10 13],[6.97435897 9.02564103] ; [10.02564103 12.97435897],0
b5,1,0.98657,0.000283,[9 7] ; [13 10],[9.02564103 6.97435897] ; [12.97435897 10.02564103],0
