Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,30.378935,[112  20] ; [15 22],[99.19526627 32.80473373] ; [27.80473373  9.19526627],1
d2,1,1e-06,24.978719,[75 56] ; [ 4 33],[61.60119048 69.39880952] ; [17.39880952 19.60119048],1
d3,1,1e-06,23.599901,[102  30] ; [13 24],[89.82248521 42.17751479] ; [25.17751479 11.82248521],1
a4,1,0.001667,9.884757,[63 69] ; [ 7 30],[54.67455621 77.32544379] ; [15.32544379 21.67455621],0
p1,1,0.008151,6.999953,[  9 123] ; [ 8 29],[ 13.27810651 118.72189349] ; [ 3.72189349 33.27810651],0
a2,1,0.011747,6.348732,[37 95] ; [ 3 34],[ 31.24260355 100.75739645] ; [ 8.75739645 28.24260355],0
s2,1,0.038071,4.301844,[53 79] ; [ 8 29],[47.64497041 84.35502959] ; [13.35502959 23.64497041],0
a5,1,0.039449,4.241406,[98 34] ; [21 16],[92.94674556 39.05325444] ; [26.05325444 10.94674556],0
p2,1,0.044341,4.043512,[104  25] ; [24 13],[99.46987952 29.53012048] ; [28.53012048  8.46987952],0
a3,1,0.053543,3.726879,[96 35] ; [21 16],[91.23214286 39.76785714] ; [25.76785714 11.23214286],0
v2,1,0.064524,3.417098,[98 30] ; [22 14],[93.65853659 34.34146341] ; [26.34146341  9.65853659],0
n6,1,0.094768,2.791457,[112  20] ; [27 10],[108.56804734  23.43195266] ; [30.43195266  6.56804734],0
s1,1,0.096666,2.759711,[  3 126] ; [ 3 34],[  4.6626506 124.3373494] ; [ 1.3373494 35.6626506],0
b3,1,0.123341,2.374372,[27 46] ; [ 4 17],[24.07446809 48.92553191] ; [ 6.92553191 14.07446809],0
b2,1,0.123341,2.374372,[27 46] ; [ 4 17],[24.07446809 48.92553191] ; [ 6.92553191 14.07446809],0
r3,1,0.132693,2.260715,[124   8] ; [32  5],[121.84615385  10.15384615] ; [34.15384615  2.84615385],0
u2,1,0.135244,2.23125,[21 14] ; [ 6 10],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
s7,1,0.227904,1.453893,[40 85] ; [ 7 26],[37.1835443 87.8164557] ; [ 9.8164557 23.1835443],0
n4,1,0.253548,1.303648,[98 33] ; [31  6],[100.58928571  30.41071429] ; [28.41071429  8.58928571],0
u3,1,0.265855,1.238011,[19 16] ; [ 6 10],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
v4,1,0.274107,1.19608,[127   5] ; [34  3],[125.75147929   6.24852071] ; [35.24852071  1.75147929],0
a8,1,0.290367,1.11792,[ 14 103] ; [ 2 33],[ 12.31578947 104.68421053] ; [ 3.68421053 31.31578947],0
a6,1,0.336641,0.923182,[93 39] ; [23 14],[90.6035503 41.3964497] ; [25.3964497 11.6035503],0
b1,1,0.416341,0.66062,[44 88] ; [15 22],[46.08284024 85.91715976] ; [12.91715976 24.08284024],0
p8,1,0.419186,0.652596,[63 65] ; [21 16],[65.16363636 62.83636364] ; [18.83636364 18.16363636],0
b4,1,0.468719,0.524994,[87 45] ; [22 15],[85.13609467 46.86390533] ; [23.86390533 13.13609467],0
p3,1,0.520448,0.413005,[62 67] ; [20 17],[63.72289157 65.27710843] ; [18.27710843 18.72289157],0
s3,1,0.533096,0.388486,[53 75] ; [17 19],[54.63414634 73.36585366] ; [15.36585366 20.63414634],0
p9,1,0.612586,0.256426,[98 29] ; [30  7],[99.12195122 27.87804878] ; [28.87804878  8.12195122],0
b5,1,0.612652,0.256331,[81 51] ; [21 16],[79.66863905 52.33136095] ; [22.33136095 14.66863905],0
p6,1,0.630732,0.231069,[36 91] ; [12 25],[37.17073171 89.82926829] ; [10.82926829 26.17073171],0
v1,1,0.660412,0.193024,[79 51] ; [21 16],[77.84431138 52.15568862] ; [22.15568862 14.84431138],0
n1,1,0.675038,0.175765,[ 7 24] ; [1 2],[ 7.29411765 23.70588235] ; [0.70588235 2.29411765],0
p10,1,0.675169,0.175616,[101  27] ; [28  9],[100.07272727  27.92727273] ; [28.92727273  8.07272727],0
r2,1,0.676255,0.174372,[125   5] ; [35  2],[124.5508982   5.4491018] ; [35.4491018  1.5508982],0
s6,1,0.676277,0.174347,[72 55] ; [19 17],[70.90184049 56.09815951] ; [20.09815951 15.90184049],0
s5,1,0.706577,0.14172,[32 98] ; [ 8 29],[31.13772455 98.86227545] ; [ 8.86227545 28.13772455],0
r4,1,0.736113,0.113572,[115  17] ; [33  4],[115.59763314  16.40236686] ; [32.40236686  4.59763314],0
p5,1,0.744073,0.106579,[ 15 115] ; [ 5 32],[ 15.56886228 114.43113772] ; [ 4.43113772 32.56886228],0
p11,1,0.788403,0.07203,[97 35] ; [28  9],[97.63313609 34.36686391] ; [27.36686391  9.63313609],0
n5,1,0.841002,0.040245,[97 34] ; [28  9],[97.4702381 33.5297619] ; [27.5297619  9.4702381],0
a1,1,0.881331,0.022285,[  8 124] ; [ 2 35],[  7.81065089 124.18934911] ; [ 2.18934911 34.81065089],0
s4,1,0.890539,0.01894,[ 15 114] ; [ 4 33],[ 14.76506024 114.23493976] ; [ 4.23493976 32.76506024],0
p12,1,0.896811,0.01682,[ 13 116] ; [ 4 33],[ 13.21084337 115.78915663] ; [ 3.78915663 33.21084337],0
p7,1,0.905035,0.014233,[79 48] ; [22 14],[78.69325153 48.30674847] ; [22.30674847 13.69325153],0
a7,1,0.915445,0.011273,[101  31] ; [28  9],[100.75739645  31.24260355] ; [28.24260355  8.75739645],0
r1,1,0.963908,0.002048,[103  29] ; [29  8],[103.10059172  28.89940828] ; [28.89940828  8.10059172],0
p4,1,0.964938,0.001932,[71 55] ; [21 16],[71.11656442 54.88343558] ; [20.88343558 16.11656442],0
