Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.013312,6.127218,[ 13 101] ; [ 7 15],[16.76470588 97.23529412] ; [ 3.23529412 18.76470588],0
p4,1,0.033698,4.509954,[23 92] ; [ 9 13],[26.86131387 88.13868613] ; [ 5.13868613 16.86131387],0
b1,1,0.113169,2.509398,[52 63] ; [14  8],[55.40145985 59.59854015] ; [10.59854015 11.40145985],0
p11,1,0.851688,0.034956,[55 60] ; [11 11],[55.40145985 59.59854015] ; [10.59854015 11.40145985],0
