Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6.2e-05,16.036702,[16 47] ; [25 13],[25.57425743 37.42574257] ; [15.42574257 22.57425743],1
p6,1,0.008502,6.924543,[14 49] ; [18 20],[19.96039604 43.03960396] ; [12.03960396 25.96039604],0
d3,1,0.019726,5.435993,[43 20] ; [17 21],[37.42574257 25.57425743] ; [22.57425743 15.42574257],0
p7,1,0.030172,4.699492,[17 43] ; [19 19],[22.04081633 37.95918367] ; [13.95918367 24.04081633],0
r3,1,0.089339,2.886248,[56  8] ; [37  1],[58.35294118  5.64705882] ; [34.64705882  3.35294118],0
p8,1,0.119425,2.42484,[13 51] ; [13 25],[16.31372549 47.68627451] ; [ 9.68627451 28.31372549],0
a5,1,0.149292,2.079467,[40 24] ; [29  9],[43.29411765 20.70588235] ; [25.70588235 12.29411765],0
b3,1,0.151914,2.052923,[11 29] ; [12 15],[13.73134328 26.26865672] ; [ 9.26865672 17.73134328],0
b2,1,0.151914,2.052923,[11 29] ; [12 15],[13.73134328 26.26865672] ; [ 9.26865672 17.73134328],0
a2,1,0.152696,2.045113,[16 48] ; [ 5 33],[13.17647059 50.82352941] ; [ 7.82352941 30.17647059],0
a7,1,0.228474,1.450337,[43 21] ; [21 17],[40.15686275 23.84313725] ; [23.84313725 14.15686275],0
r2,1,0.328636,0.954266,[57  7] ; [36  2],[58.35294118  5.64705882] ; [34.64705882  3.35294118],0
p1,1,0.328636,0.954266,[ 7 57] ; [ 2 36],[ 5.64705882 58.35294118] ; [ 3.35294118 34.64705882],0
b5,1,0.397654,0.715408,[44 20] ; [23 15],[42.03921569 21.96078431] ; [24.96078431 13.03921569],0
b4,1,0.434968,0.609521,[42 22] ; [22 16],[40.15686275 23.84313725] ; [23.84313725 14.15686275],0
d4,1,0.448055,0.575566,[49 14] ; [27 11],[47.40594059 15.59405941] ; [28.59405941  9.40594059],0
r4,1,0.468471,0.52558,[56  8] ; [35  3],[57.09803922  6.90196078] ; [33.90196078  4.09803922],0
n4,1,0.46903,0.52426,[41 23] ; [27 11],[42.66666667 21.33333333] ; [25.33333333 12.66666667],0
n1,1,0.522903,0.408163,[ 9 12] ; [5 4],[ 9.8 11.2] ; [4.2 4.8],0
p5,1,0.538138,0.379002,[ 6 57] ; [ 5 32],[ 6.93 56.07] ; [ 4.07 32.93],0
n6,1,0.570526,0.321803,[51 13] ; [32  6],[52.07843137 11.92156863] ; [30.92156863  7.07843137],0
s5,1,0.577635,0.310073,[24 38] ; [16 20],[25.30612245 36.69387755] ; [14.69387755 21.30612245],0
d5,1,0.59083,0.28905,[45 18] ; [29  9],[46.15841584 16.84158416] ; [27.84158416 10.15841584],0
a3,1,0.614062,0.254302,[40 23] ; [26 12],[41.16831683 21.83168317] ; [24.83168317 13.16831683],0
v4,1,0.617329,0.249639,[57  7] ; [35  3],[57.7254902  6.2745098] ; [34.2745098  3.7254902],0
p11,1,0.624116,0.240125,[39 25] ; [25 13],[40.15686275 23.84313725] ; [23.84313725 14.15686275],0
d2,1,0.625478,0.238243,[30 33] ; [20 18],[31.18811881 31.81188119] ; [18.81188119 19.18811881],0
u1,1,0.627844,0.234996,[11 53] ; [ 8 30],[11.92156863 52.07843137] ; [ 7.07843137 30.92156863],0
u2,1,0.635256,0.225,[14 10] ; [6 6],[13.33333333 10.66666667] ; [6.66666667 5.33333333],0
s7,1,0.710674,0.137604,[34 26] ; [19 17],[33.125 26.875] ; [19.875 16.125],0
a6,1,0.732823,0.116535,[37 26] ; [21 17],[36.17821782 26.82178218] ; [21.82178218 16.17821782],0
s4,1,0.738973,0.111032,[19 44] ; [10 27],[18.27 44.73] ; [10.73 26.27],0
s1,1,0.76238,0.09142,[ 6 56] ; [ 3 35],[ 5.58 56.42] ; [ 3.42 34.58],0
v3,1,0.763865,0.090245,[26 32] ; [15 21],[25.29787234 32.70212766] ; [15.70212766 20.29787234],0
a8,1,0.772161,0.083839,[ 8 53] ; [ 4 32],[ 7.54639175 53.45360825] ; [ 4.45360825 31.54639175],0
p10,1,0.77638,0.080679,[38 25] ; [24 14],[38.67326733 24.32673267] ; [23.32673267 14.67326733],0
b1,1,0.797143,0.066073,[32 32] ; [20 18],[32.62745098 31.37254902] ; [19.37254902 18.62745098],0
s3,1,0.803391,0.061982,[37 24] ; [24 14],[37.58585859 23.41414141] ; [23.41414141 14.58585859],0
u3,1,0.806179,0.060201,[15  9] ; [8 4],[15.33333333  8.66666667] ; [7.66666667 4.33333333],0
a4,1,0.818341,0.052753,[28 35] ; [16 22],[27.44554455 35.55445545] ; [16.55445545 21.44554455],0
s2,1,0.845142,0.03815,[41 22] ; [24 14],[40.54455446 22.45544554] ; [24.45544554 13.54455446],0
p9,1,0.855496,0.033164,[42 21] ; [26 12],[42.41584158 20.58415842] ; [25.58415842 12.41584158],0
n3,1,0.872832,0.02562,[14  8] ; [6 3],[14.19354839  7.80645161] ; [5.80645161 3.19354839],0
v1,1,0.89189,0.018472,[32 32] ; [17 18],[31.67676768 32.32323232] ; [17.32323232 17.67676768],0
u4,1,0.896417,0.016949,[ 3 61] ; [ 2 36],[ 3.1372549 60.8627451] ; [ 1.8627451 36.1372549],0
s8,1,0.916784,0.010917,[33 31] ; [20 18],[33.25490196 30.74509804] ; [19.74509804 18.25490196],0
d1,1,0.916784,0.010917,[33 31] ; [20 18],[33.25490196 30.74509804] ; [19.74509804 18.25490196],0
v2,1,0.943752,0.004978,[34 24] ; [22 16],[33.83333333 24.16666667] ; [22.16666667 15.83333333],0
p12,1,0.948389,0.00419,[ 7 57] ; [ 4 34],[ 6.90196078 57.09803922] ; [ 4.09803922 33.90196078],0
r1,1,0.977343,0.000807,[49 15] ; [29  9],[48.94117647 15.05882353] ; [29.05882353  8.94117647],0
n5,1,0.986503,0.000286,[42 22] ; [25 13],[42.03921569 21.96078431] ; [24.96078431 13.03921569],0
a1,1,0.988083,0.000223,[ 5 59] ; [ 3 35],[ 5.01960784 58.98039216] ; [ 2.98039216 35.01960784],0
