Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,47.827031,[18 62] ; [43  8],[37.2519084 42.7480916] ; [23.7480916 27.2519084],1
s6,1,0.0,27.536994,[27 55] ; [40 10],[41.62121212 40.37878788] ; [25.37878788 24.62121212],1
s7,1,2.3e-05,17.94772,[15 60] ; [27 20],[25.81967213 49.18032787] ; [16.18032787 30.81967213],1
s4,1,0.000115,14.880067,[ 6 76] ; [17 34],[14.18045113 67.81954887] ; [ 8.81954887 42.18045113],1
s8,1,0.000147,14.41082,[16 66] ; [26 25],[25.89473684 56.10526316] ; [16.10526316 34.89473684],1
u3,1,0.002047,9.506631,[12 12] ; [17  1],[16.57142857  7.42857143] ; [12.42857143  5.57142857],0
r3,1,0.00235,9.254121,[65 17] ; [49  1],[70.81818182 11.18181818] ; [43.18181818  6.81818182],0
p10,1,0.005302,7.773279,[40 40] ; [36 12],[47.5 32.5] ; [28.5 19.5],0
v4,1,0.009858,6.660347,[65 16] ; [49  2],[69.95454545 11.04545455] ; [44.04545455  6.95454545],0
s5,1,0.013829,6.05979,[12 67] ; [16 31],[17.55555556 61.44444444] ; [10.44444444 36.55555556],0
n2,1,0.021369,5.296453,[15 14] ; [16  3],[18.72916667 10.27083333] ; [12.27083333  6.72916667],0
r2,1,0.035375,4.426971,[68 13] ; [48  2],[71.72519084  9.27480916] ; [44.27480916  5.72519084],0
p9,1,0.051701,3.785432,[47 34] ; [36 12],[52.11627907 28.88372093] ; [30.88372093 17.11627907],0
v1,1,0.078887,3.087685,[31 50] ; [26 22],[35.79069767 45.20930233] ; [21.20930233 26.79069767],0
d1,1,0.08741,2.92143,[44 38] ; [35 16],[48.70676692 33.29323308] ; [30.29323308 20.70676692],0
n4,1,0.111524,2.532491,[47 35] ; [22 29],[42.54135338 39.45864662] ; [26.45864662 24.54135338],0
p12,1,0.124782,2.356247,[ 1 78] ; [ 3 46],[ 2.46875 76.53125] ; [ 1.53125 47.46875],0
p6,1,0.134004,2.245493,[15 62] ; [15 33],[18.48 58.52] ; [11.52 36.48],0
d4,1,0.135454,2.228858,[66 16] ; [46  5],[69.05263158 12.94736842] ; [42.94736842  8.05263158],0
v2,1,0.147991,2.092839,[38 40] ; [28 17],[41.85365854 36.14634146] ; [24.14634146 20.85365854],0
p4,1,0.161943,1.955989,[32 49] ; [26 24],[35.86259542 45.13740458] ; [22.13740458 27.86259542],0
r4,1,0.165908,1.919536,[57 25] ; [41 10],[60.42105263 21.57894737] ; [37.57894737 13.42105263],0
d3,1,0.179047,1.805513,[53 28] ; [39 12],[56.45454545 24.54545455] ; [35.54545455 15.45454545],0
p3,1,0.212371,1.555189,[25 55] ; [21 29],[28.30769231 51.69230769] ; [17.69230769 32.30769231],0
a4,1,0.282643,1.154337,[35 47] ; [17 34],[32.06015038 49.93984962] ; [19.93984962 31.06015038],0
d2,1,0.321283,0.983717,[41 41] ; [21 30],[38.22556391 43.77443609] ; [23.77443609 27.22556391],0
a3,1,0.338331,0.916747,[58 24] ; [32 19],[55.4887218 26.5112782] ; [34.5112782 16.4887218],0
p2,1,0.351629,0.867569,[53 27] ; [37 13],[55.38461538 24.61538462] ; [34.61538462 15.38461538],0
n1,1,0.398898,0.711646,[ 9 19] ; [ 8 10],[10.34782609 17.65217391] ; [ 6.65217391 11.34782609],0
p11,1,0.420382,0.649248,[44 38] ; [31 20],[46.2406015 35.7593985] ; [28.7593985 22.2406015],0
n3,1,0.435058,0.609282,[16 12] ; [13  6],[17.27659574 10.72340426] ; [11.72340426  7.27659574],0
a5,1,0.467273,0.528418,[58 24] ; [33 18],[56.10526316 25.89473684] ; [34.89473684 16.10526316],0
a2,1,0.468968,0.524407,[17 65] ; [ 8 43],[15.41353383 66.58646617] ; [ 9.58646617 41.41353383],0
b5,1,0.541372,0.373002,[51 31] ; [29 22],[49.32330827 32.67669173] ; [30.67669173 20.32330827],0
p1,1,0.559608,0.340384,[ 7 74] ; [ 3 48],[ 6.13636364 74.86363636] ; [ 3.86363636 47.13636364],0
v3,1,0.560394,0.339023,[19 57] ; [14 33],[20.3902439 55.6097561] ; [12.6097561 34.3902439],0
a1,1,0.584765,0.298595,[ 5 77] ; [ 2 49],[ 4.31578947 77.68421053] ; [ 2.68421053 48.31578947],0
p8,1,0.60553,0.266736,[32 48] ; [17 31],[30.625 49.375] ; [18.375 29.625],0
u1,1,0.61266,0.25632,[ 6 76] ; [ 5 46],[ 6.78195489 75.21804511] ; [ 4.21804511 46.78195489],0
b1,1,0.661297,0.191952,[45 37] ; [26 25],[43.77443609 38.22556391] ; [27.22556391 23.77443609],0
p7,1,0.698063,0.150494,[38 42] ; [24 23],[39.05511811 40.94488189] ; [22.94488189 24.05511811],0
n5,1,0.735136,0.114448,[32 50] ; [21 29],[32.92424242 49.07575758] ; [20.07575758 29.92424242],0
b4,1,0.741815,0.108538,[49 33] ; [29 22],[48.09022556 33.90977444] ; [29.90977444 21.09022556],0
a7,1,0.746572,0.104434,[60 22] ; [36 15],[59.18796992 22.81203008] ; [36.81203008 14.18796992],0
a8,1,0.783842,0.075249,[ 6 72] ; [ 3 44],[ 5.616 72.384] ; [ 3.384 43.616],0
b2,1,0.801098,0.063467,[13 34] ; [ 7 21],[12.53333333 34.46666667] ; [ 7.46666667 20.53333333],0
b3,1,0.801098,0.063467,[13 34] ; [ 7 21],[12.53333333 34.46666667] ; [ 7.46666667 20.53333333],0
s1,1,0.821519,0.050892,[ 4 77] ; [ 2 47],[ 3.73846154 77.26153846] ; [ 2.26153846 46.73846154],0
u2,1,0.83943,0.041056,[18  6] ; [13  5],[17.71428571  6.28571429] ; [13.28571429  4.71428571],0
r1,1,0.916612,0.010962,[60 22] ; [37 13],[60.25757576 21.74242424] ; [36.74242424 13.25757576],0
a6,1,0.940369,0.005596,[59 23] ; [37 14],[59.18796992 22.81203008] ; [36.81203008 14.18796992],0
