Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.4e-05,15.976014,[65 29] ; [20 36],[53.26666667 40.73333333] ; [31.73333333 24.26666667],1
a6,1,0.000338,12.84756,[65 29] ; [22 34],[54.52 39.48] ; [32.48 23.52],1
d4,1,0.000422,12.431269,[74 20] ; [28 27],[64.34899329 29.65100671] ; [37.65100671 17.34899329],1
r3,1,0.00175,9.794461,[81 13] ; [36 20],[73.32 20.68] ; [43.68 12.32],0
b5,1,0.002278,9.311127,[61 33] ; [22 34],[52.01333333 41.98666667] ; [30.98666667 25.01333333],0
a2,1,0.003029,8.78971,[20 74] ; [ 2 54],[13.78666667 80.21333333] ; [ 8.21333333 47.78666667],0
v4,1,0.005002,7.878852,[81 13] ; [36 18],[74.31081081 19.68918919] ; [42.68918919 11.31081081],0
d5,1,0.005539,7.694379,[71 23] ; [30 26],[63.29333333 30.70666667] ; [37.70666667 18.29333333],0
d1,1,0.00706,7.257722,[48 46] ; [16 40],[40.10666667 53.89333333] ; [23.89333333 32.10666667],0
r4,1,0.015781,5.827119,[70 24] ; [31 25],[63.29333333 30.70666667] ; [37.70666667 18.29333333],0
s6,1,0.02896,4.770011,[42 52] ; [15 41],[35.72 58.28] ; [21.28 34.72],0
r1,1,0.03292,4.549955,[71 23] ; [33 23],[65.17333333 28.82666667] ; [38.82666667 17.17333333],0
p2,1,0.03456,4.466764,[57 37] ; [24 32],[50.76 43.24] ; [30.24 25.76],0
u1,1,0.042798,4.103343,[13 81] ; [ 2 54],[ 9.4 84.6] ; [ 5.6 50.4],0
a3,1,0.047874,3.914397,[57 36] ; [25 31],[51.18120805 41.81879195] ; [30.81879195 25.18120805],0
a5,1,0.056984,3.623071,[57 37] ; [25 31],[51.38666667 42.61333333] ; [30.61333333 25.38666667],0
p4,1,0.062151,3.47904,[40 54] ; [15 40],[34.69798658 59.30201342] ; [20.30201342 34.69798658],0
v2,1,0.065775,3.385423,[40 53] ; [15 39],[34.79591837 58.20408163] ; [20.20408163 33.79591837],0
b4,1,0.07247,3.226173,[61 33] ; [28 28],[55.77333333 38.22666667] ; [33.22666667 22.77333333],0
r2,1,0.1149,2.485499,[81 13] ; [41 13],[77.48648649 16.51351351] ; [44.51351351  9.48648649],0
n6,1,0.144989,2.124196,[61 32] ; [30 26],[56.79865772 36.20134228] ; [34.20134228 21.79865772],0
u3,1,0.160937,1.965402,[23 14] ; [14 17],[20.13235294 16.86764706] ; [16.86764706 14.13235294],0
p11,1,0.161941,1.956008,[48 46] ; [22 34],[43.86666667 50.13333333] ; [26.13333333 29.86666667],0
p10,1,0.193399,1.691533,[24 70] ; [ 9 46],[20.81879195 73.18120805] ; [12.18120805 42.81879195],0
p8,1,0.228558,1.449814,[32 61] ; [14 42],[28.7114094 64.2885906] ; [17.2885906 38.7114094],0
p6,1,0.252682,1.308412,[19 74] ; [ 7 47],[16.44897959 76.55102041] ; [ 9.55102041 44.44897959],0
n4,1,0.256468,1.287721,[64 30] ; [33 23],[60.78666667 33.21333333] ; [36.21333333 19.78666667],0
