Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.2e-05,18.03232,[ 9 25] ; [31 10],[18.13333333 15.86666667] ; [21.86666667 19.13333333],1
u3,1,0.01863,5.535948,[8 9] ; [ 2 16],[ 4.85714286 12.14285714] ; [ 5.14285714 12.85714286],0
s5,1,0.051788,3.782602,[ 8 25] ; [ 3 36],[ 5.04166667 27.95833333] ; [ 5.95833333 33.04166667],0
v3,1,0.074901,3.17221,[ 4 29] ; [12 29],[ 7.13513514 25.86486486] ; [ 8.86486486 32.13513514],0
r3,1,0.076539,3.136911,[25  9] ; [22 19],[21.30666667 12.69333333] ; [25.69333333 15.30666667],0
p7,1,0.107441,2.591463,[17 17] ; [13 28],[13.6 20.4] ; [16.4 24.6],0
a1,1,0.137631,2.204252,[ 2 32] ; [ 7 34],[ 4.08 29.92] ; [ 4.92 36.08],0
a6,1,0.145169,2.122297,[15 19] ; [25 16],[18.13333333 15.86666667] ; [21.86666667 19.13333333],0
s6,1,0.189479,1.721664,[14 20] ; [11 30],[11.33333333 22.66666667] ; [13.66666667 27.33333333],0
s4,1,0.202048,1.627511,[ 9 25] ; [ 6 35],[ 6.8 27.2] ; [ 8.2 32.8],0
s2,1,0.203891,1.614279,[10 24] ; [ 7 34],[ 7.70666667 26.29333333] ; [ 9.29333333 31.70666667],0
p4,1,0.208668,1.580642,[15 19] ; [12 28],[12.40540541 21.59459459] ; [14.59459459 25.40540541],0
a8,1,0.21709,1.523505,[ 1 33] ; [ 4 35],[ 2.32876712 31.67123288] ; [ 2.67123288 36.32876712],0
s1,1,0.230585,1.437248,[ 3 31] ; [ 1 39],[ 1.83783784 32.16216216] ; [ 2.16216216 37.83783784],0
d5,1,0.242277,1.367298,[17 17] ; [26 15],[19.49333333 14.50666667] ; [23.50666667 17.49333333],0
p3,1,0.262658,1.254694,[12 21] ; [10 31],[ 9.81081081 23.18918919] ; [12.18918919 28.81081081],0
b4,1,0.301579,1.067201,[15 19] ; [23 18],[17.22666667 16.77333333] ; [20.77333333 20.22666667],0
d4,1,0.306562,1.045429,[23 11] ; [23 18],[20.85333333 13.14666667] ; [25.14666667 15.85333333],0
a4,1,0.312467,1.020221,[ 9 25] ; [15 25],[11.02702703 22.97297297] ; [12.97297297 27.02702703],0
n1,1,0.324534,0.970588,[ 4 12] ; [ 7 10],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
a2,1,0.349492,0.8753,[ 2 32] ; [ 5 36],[ 3.17333333 30.82666667] ; [ 3.82666667 37.17333333],0
v4,1,0.349881,0.873887,[25  9] ; [26 15],[23.12 10.88] ; [27.88 13.12],0
b1,1,0.359734,0.838822,[21 13] ; [21 20],[19.04 14.96] ; [22.96 18.04],0
r2,1,0.397313,0.716444,[20 14] ; [26 12],[21.72222222 12.27777778] ; [24.27777778 13.72222222],0
r4,1,0.412173,0.672525,[13 21] ; [12 29],[11.33333333 22.66666667] ; [13.66666667 27.33333333],0
s7,1,0.425067,0.636263,[ 6 25] ; [11 29],[ 7.42253521 23.57746479] ; [ 9.57746479 30.42253521],0
v2,1,0.463489,0.537455,[10 24] ; [15 25],[11.48648649 22.51351351] ; [13.51351351 26.48648649],0
p1,1,0.495295,0.465003,[ 3 31] ; [ 2 39],[ 2.26666667 31.73333333] ; [ 2.73333333 38.26666667],0
s3,1,0.502504,0.449644,[13 21] ; [12 27],[11.64383562 22.35616438] ; [13.35616438 25.64383562],0
b5,1,0.50742,0.439383,[19 15] ; [26 15],[20.4 13.6] ; [24.6 16.4],0
n3,1,0.532723,0.389194,[9 7] ; [12  6],[9.88235294 6.11764706] ; [11.11764706  6.88235294],0
n6,1,0.563377,0.33389,[19 15] ; [25 15],[20.21621622 13.78378378] ; [23.78378378 16.21621622],0
p9,1,0.579908,0.306383,[10 22] ; [15 25],[11.11111111 20.88888889] ; [13.88888889 26.11111111],0
d2,1,0.613495,0.255117,[15 19] ; [20 20],[16.08108108 17.91891892] ; [18.91891892 21.08108108],0
v1,1,0.659281,0.194398,[ 7 26] ; [10 29],[ 7.79166667 25.20833333] ; [ 9.20833333 29.79166667],0
p8,1,0.662779,0.190165,[ 8 25] ; [ 8 32],[ 7.23287671 25.76712329] ; [ 8.76712329 31.23287671],0
a3,1,0.694188,0.154589,[17 16] ; [23 18],[17.83783784 15.16216216] ; [22.16216216 18.83783784],0
d1,1,0.701414,0.147005,[11 23] ; [15 26],[11.78666667 22.21333333] ; [14.21333333 26.78666667],0
p11,1,0.739522,0.110548,[12 22] ; [16 25],[12.69333333 21.30666667] ; [15.30666667 25.69333333],0
s8,1,0.750161,0.101396,[ 5 29] ; [ 5 36],[ 4.53333333 29.46666667] ; [ 5.46666667 35.53333333],0
n2,1,0.773753,0.082639,[9 7] ; [11  7],[9.41176471 6.58823529] ; [10.58823529  7.41176471],0
p6,1,0.803626,0.06183,[ 7 26] ; [ 9 29],[ 7.43661972 25.56338028] ; [ 8.56338028 29.43661972],0
a7,1,0.81218,0.056461,[14 20] ; [18 23],[14.50666667 19.49333333] ; [17.49333333 23.50666667],0
b3,1,0.906981,0.013653,[ 6 13] ; [ 9 21],[ 5.81632653 13.18367347] ; [ 9.18367347 20.81632653],0
b2,1,0.906981,0.013653,[ 6 13] ; [ 9 21],[ 5.81632653 13.18367347] ; [ 9.18367347 20.81632653],0
p2,1,0.916248,0.011059,[17 17] ; [20 21],[16.77333333 17.22666667] ; [20.22666667 20.77333333],0
d3,1,0.916248,0.011059,[17 17] ; [20 21],[16.77333333 17.22666667] ; [20.22666667 20.77333333],0
a5,1,0.985087,0.000349,[15 19] ; [18 23],[14.96 19.04] ; [18.04 22.96],0
u2,1,1.0,0.0,[ 6 11] ; [ 6 11],[ 6. 11.] ; [ 6. 11.],0
