Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.4e-05,15.708654,[33  6] ; [3 9],[27.52941176 11.47058824] ; [8.47058824 3.52941176],1
a6,1,0.002116,9.445958,[23 16] ; [ 1 11],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
a5,1,0.015961,5.807186,[28 11] ; [4 8],[24.47058824 14.52941176] ; [7.52941176 4.47058824],0
u3,1,0.026494,4.923477,[ 3 10] ; [4 1],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
n2,1,0.027619,4.851675,[18  7] ; [1 4],[15.83333333  9.16666667] ; [3.16666667 1.83333333],0
n6,1,0.047045,3.943767,[25 13] ; [4 8],[22.04 15.96] ; [6.96 5.04],0
d2,1,0.094076,2.803204,[20 18] ; [3 9],[17.48 20.52] ; [5.52 6.48],0
s6,1,0.109493,2.561525,[16 22] ; [ 2 10],[13.68 24.32] ; [4.32 7.68],0
s7,1,0.133953,2.246086,[13 25] ; [1 9],[11.08333333 26.91666667] ; [2.91666667 7.08333333],0
u2,1,0.136641,2.215385,[ 3 10] ; [3 2],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
s8,1,0.144942,2.124692,[11 27] ; [ 1 11],[ 9.12 28.88] ; [2.88 9.12],0
s5,1,0.155861,2.01393,[11 28] ; [ 1 11],[ 9.17647059 29.82352941] ; [2.82352941 9.17647059],0
s3,1,0.173413,1.853186,[15 22] ; [2 9],[13.10416667 23.89583333] ; [3.89583333 7.10416667],0
p3,1,0.179556,1.801295,[11 27] ; [6 6],[12.92 25.08] ; [4.08 7.92],0
r4,1,0.209304,1.576236,[14 25] ; [ 2 10],[12.23529412 26.76470588] ; [3.76470588 8.23529412],0
p4,1,0.209304,1.576236,[14 25] ; [ 2 10],[12.23529412 26.76470588] ; [3.76470588 8.23529412],0
a7,1,0.213862,1.545089,[18 21] ; [8 4],[19.88235294 19.11764706] ; [6.11764706 5.88235294],0
v2,1,0.24647,1.343202,[ 9 29] ; [ 1 11],[ 7.6 30.4] ; [2.4 9.6],0
p6,1,0.260625,1.265432,[ 9 30] ; [ 1 11],[ 7.64705882 31.35294118] ; [2.35294118 9.64705882],0
d4,1,0.276014,1.18661,[19 20] ; [8 4],[20.64705882 18.35294118] ; [6.35294118 5.64705882],0
s4,1,0.310338,1.029237,[ 5 34] ; [3 9],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],0
s2,1,0.338423,0.916394,[12 27] ; [ 2 10],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
b3,1,0.391504,0.734266,[12 18] ; [1 4],[11.14285714 18.85714286] ; [1.85714286 3.14285714],0
b2,1,0.391504,0.734266,[12 18] ; [1 4],[11.14285714 18.85714286] ; [1.85714286 3.14285714],0
v3,1,0.397827,0.714885,[11 27] ; [ 2 10],[ 9.88 28.12] ; [3.12 8.88],0
p2,1,0.411152,0.675467,[17 21] ; [7 5],[18.24 19.76] ; [5.76 6.24],0
p8,1,0.417304,0.657895,[14 24] ; [6 6],[15.2 22.8] ; [4.8 7.2],0
v4,1,0.422534,0.643258,[28 11] ; [10  2],[29.05882353  9.94117647] ; [8.94117647 3.05882353],0
p10,1,0.432948,0.614902,[21 18] ; [8 4],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
d3,1,0.46049,0.544704,[18 21] ; [7 5],[19.11764706 19.88235294] ; [5.88235294 6.11764706],0
a4,1,0.515316,0.423257,[13 24] ; [3 9],[12.08163265 24.91836735] ; [3.91836735 8.08163265],0
a3,1,0.520159,0.413579,[26 12] ; [7 5],[25.08 12.92] ; [7.92 4.08],0
p9,1,0.543891,0.368375,[21 16] ; [8 4],[21.89795918 15.10204082] ; [7.10204082 4.89795918],0
s1,1,0.546708,0.363248,[ 4 35] ; [ 2 10],[ 4.58823529 34.41176471] ; [ 1.41176471 10.58823529],0
b5,1,0.56012,0.339497,[19 20] ; [7 5],[19.88235294 19.11764706] ; [6.11764706 5.88235294],0
r1,1,0.668691,0.183137,[19 20] ; [5 7],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
p7,1,0.676855,0.173688,[11 26] ; [4 7],[11.5625 25.4375] ; [3.4375 7.5625],0
d1,1,0.747977,0.103239,[15 24] ; [4 8],[14.52941176 24.47058824] ; [4.47058824 7.52941176],0
v1,1,0.747977,0.103239,[15 24] ; [4 8],[14.52941176 24.47058824] ; [4.47058824 7.52941176],0
n3,1,0.811414,0.056931,[13 11] ; [3 2],[13.24137931 10.75862069] ; [2.75862069 2.24137931],0
a2,1,0.844686,0.038378,[ 4 35] ; [ 1 11],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
b1,1,0.906366,0.013835,[22 17] ; [7 5],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
p1,1,0.914955,0.011404,[ 6 33] ; [ 2 10],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],0
d5,1,0.968527,0.001557,[23 16] ; [7 5],[22.94117647 16.05882353] ; [7.05882353 4.94117647],0
b4,1,0.968527,0.001557,[23 16] ; [7 5],[22.94117647 16.05882353] ; [7.05882353 4.94117647],0
p11,1,0.968527,0.001557,[16 23] ; [5 7],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
n1,1,1.0,0.0,[15 10] ; [3 2],[15. 10.] ; [3. 2.],0
