Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,32.467235,[19  3] ; [12 52],[ 7.93023256 14.06976744] ; [23.06976744 40.93023256],1
s6,1,0.001766,9.777778,[11 11] ; [11 55],[ 5.5 16.5] ; [16.5 49.5],0
s4,1,0.003057,8.773267,[ 9 13] ; [ 8 58],[ 4.25 17.75] ; [12.75 53.25],0
p6,1,0.005059,7.858076,[ 7 15] ; [ 5 59],[ 3.06976744 18.93023256] ; [ 8.93023256 55.06976744],0
p7,1,0.006975,7.279515,[12  8] ; [17 46],[ 6.98795181 13.01204819] ; [22.01204819 40.98795181],0
s7,1,0.00885,6.852881,[11 10] ; [14 49],[ 6.25 14.75] ; [18.75 44.25],0
s8,1,0.018485,5.54955,[ 7 15] ; [ 7 59],[ 3.5 18.5] ; [10.5 55.5],0
b4,1,0.019068,5.495243,[ 7 15] ; [40 26],[11.75 10.25] ; [35.25 30.75],0
p4,1,0.019434,5.462069,[12 10] ; [18 48],[ 7.5 14.5] ; [22.5 43.5],0
u2,1,0.024497,5.059118,[7 3] ; [10 23],[3.95348837 6.04651163] ; [13.04651163 19.95348837],0
p3,1,0.030052,4.706344,[10 12] ; [14 51],[ 6.06896552 15.93103448] ; [17.93103448 47.06896552],0
p2,1,0.035681,4.412269,[16  5] ; [32 32],[11.85882353  9.14117647] ; [36.14117647 27.85882353],0
s1,1,0.040652,4.190476,[ 4 18] ; [ 3 63],[ 1.75 20.25] ; [ 5.25 60.75],0
r3,1,0.051005,3.808114,[13  9] ; [23 42],[ 9.10344828 12.89655172] ; [26.89655172 38.10344828],0
n2,1,0.079301,3.079179,[8 3] ; [13 18],[5.5 5.5] ; [15.5 15.5],0
u3,1,0.085712,2.953125,[5 5] ; [ 7 25],[2.85714286 7.14285714] ; [ 9.14285714 22.85714286],0
p8,1,0.090763,2.860793,[10 12] ; [17 48],[ 6.82758621 15.17241379] ; [20.17241379 44.82758621],0
s5,1,0.126439,2.335693,[ 5 16] ; [ 7 59],[ 2.89655172 18.10344828] ; [ 9.10344828 56.89655172],0
v3,1,0.126439,2.335693,[ 5 16] ; [ 7 59],[ 2.89655172 18.10344828] ; [ 9.10344828 56.89655172],0
a6,1,0.139649,2.181818,[14  8] ; [30 36],[11. 11.] ; [33. 33.],0
b1,1,0.174729,1.841896,[ 9 13] ; [38 28],[11.75 10.25] ; [35.25 30.75],0
d2,1,0.179572,1.801159,[ 5 17] ; [25 40],[ 7.5862069 14.4137931] ; [22.4137931 42.5862069],0
p11,1,0.214044,1.54386,[12 10] ; [26 40],[ 9.5 12.5] ; [28.5 37.5],0
u1,1,0.237256,1.396825,[ 2 20] ; [ 2 64],[ 1. 21.] ; [ 3. 63.],0
p10,1,0.312039,1.022025,[13  8] ; [32 33],[10.98837209 10.01162791] ; [34.01162791 30.98837209],0
a7,1,0.322748,0.977778,[ 8 14] ; [32 34],[10. 12.] ; [30. 36.],0
a5,1,0.324756,0.969697,[ 9 13] ; [35 31],[11. 11.] ; [33. 33.],0
n5,1,0.329072,0.952548,[12 10] ; [43 22],[13.90804598  8.09195402] ; [41.09195402 23.90804598],0
p1,1,0.334787,0.930292,[ 1 20] ; [ 8 58],[ 2.17241379 18.82758621] ; [ 6.82758621 59.17241379],0
v1,1,0.349014,0.87704,[ 7 15] ; [14 50],[ 5.37209302 16.62790698] ; [15.62790698 48.37209302],0
a2,1,0.391805,0.733333,[ 1 21] ; [ 7 59],[ 2. 20.] ; [ 6. 60.],0
d5,1,0.459717,0.546584,[10 12] ; [36 30],[11.5 10.5] ; [34.5 31.5],0
v4,1,0.476312,0.507295,[13  8] ; [35 31],[11.5862069  9.4137931] ; [36.4137931 29.5862069],0
p5,1,0.504596,0.445257,[ 1 20] ; [ 6 58],[ 1.72941176 19.27058824] ; [ 5.27058824 58.72941176],0
n4,1,0.535607,0.383743,[11 11] ; [38 28],[12.25  9.75] ; [36.75 29.25],0
b5,1,0.538148,0.378984,[12 10] ; [31 35],[10.75 11.25] ; [32.25 33.75],0
b3,1,0.557476,0.344094,[ 4 11] ; [14 26],[ 4.90909091 10.09090909] ; [13.09090909 26.90909091],0
b2,1,0.557476,0.344094,[ 4 11] ; [14 26],[ 4.90909091 10.09090909] ; [13.09090909 26.90909091],0
