Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2e-06,22.909697,[66 25] ; [314  30],[79.49425287 11.50574713] ; [300.50574713  43.49425287],1
p6,1,3e-06,21.912319,[22 65] ; [183 160],[41.47674419 45.52325581] ; [163.52325581 179.47674419],1
p8,1,1.3e-05,19.068528,[40 49] ; [240 104],[57.55196305 31.44803695] ; [222.44803695 121.55196305],1
d3,1,3e-05,17.426431,[47 44] ; [257  89],[63.30434783 27.69565217] ; [240.69565217 105.30434783],1
n6,1,5.8e-05,16.173888,[67 23] ; [311  33],[78.38709677 11.61290323] ; [299.61290323  44.38709677],1
p9,1,6.3e-05,16.013877,[68 21] ; [316  29],[78.74654378 10.25345622] ; [305.25345622  39.74654378],1
p10,1,0.000155,14.308683,[66 24] ; [307  38],[77.17241379 12.82758621] ; [295.82758621  49.17241379],1
n5,1,0.000171,14.122251,[58 32] ; [285  60],[70.96551724 19.03448276] ; [272.03448276  72.96551724],1
p5,1,0.000305,13.038046,[ 4 87] ; [ 70 273],[15.51612903 75.48387097] ; [ 58.48387097 284.51612903],1
s6,1,0.000483,12.179094,[51 38] ; [256  81],[64.13849765 24.86150235] ; [242.86150235  94.13849765],1
d1,1,0.001319,10.315776,[45 46] ; [234 112],[58.09839817 32.90160183] ; [220.90160183 125.09839817],0
a7,1,0.001667,9.884263,[55 36] ; [265  80],[66.78899083 24.21100917] ; [253.21100917  91.78899083],0
r4,1,0.005977,7.557216,[81 10] ; [333  13],[86.21052632  4.78947368] ; [327.78947368  18.21052632],0
r3,1,0.006869,7.306812,[83  8] ; [335   9],[87.44367816  3.55632184] ; [330.55632184  13.44367816],0
p11,1,0.007083,7.251886,[65 26] ; [290  56],[73.92448513 17.07551487] ; [281.07551487  64.92448513],0
s2,1,0.010429,6.560058,[39 52] ; [198 144],[49.80831409 41.19168591] ; [187.19168591 154.80831409],0
r1,1,0.012382,6.255322,[67 23] ; [295  50],[74.89655172 15.10344828] ; [287.10344828  57.89655172],0
p12,1,0.015146,5.899437,[ 3 86] ; [ 42 303],[ 9.2281106 79.7718894] ; [ 35.7718894 309.2281106],0
s7,1,0.015982,5.80488,[40 47] ; [195 128],[49.86585366 37.13414634] ; [185.13414634 137.86585366],0
d5,1,0.017683,5.627273,[69 22] ; [297  48],[76.38990826 14.61009174] ; [289.61009174  55.38990826],0
n4,1,0.027467,4.861223,[67 23] ; [292  54],[74.10550459 15.89449541] ; [284.89449541  61.10550459],0
u1,1,0.062619,3.466636,[14 77] ; [ 85 261],[20.61556064 70.38443936] ; [ 78.38443936 267.61556064],0
u2,1,0.076125,3.145756,[ 9 13] ; [52 32],[12.66037736  9.33962264] ; [48.33962264 35.66037736],0
d4,1,0.098191,2.734685,[71 20] ; [294  51],[76.18119266 14.81880734] ; [288.81880734  56.18119266],0
d2,1,0.113081,2.510621,[41 49] ; [190 156],[47.68348624 42.31651376] ; [183.31651376 162.68348624],0
n2,1,0.121848,2.393407,[14  2] ; [38 18],[11.55555556  4.44444444] ; [40.44444444 15.55555556],0
s5,1,0.131743,2.271844,[29 58] ; [139 190],[35.13461538 51.86538462] ; [132.86538462 196.13461538],0
s3,1,0.140234,2.175386,[48 43] ; [209 132],[54.13657407 36.86342593] ; [202.86342593 138.13657407],0
a5,1,0.161739,1.95789,[67 24] ; [278  68],[71.84210526 19.15789474] ; [273.15789474  72.84210526],0
b1,1,0.196504,1.668171,[45 46] ; [145 201],[39.56521739 51.43478261] ; [150.43478261 195.56521739],0
a2,1,0.205827,1.600541,[20 71] ; [ 99 247],[24.78032037 66.21967963] ; [ 94.21967963 251.78032037],0
a6,1,0.208279,1.583348,[57 33] ; [243 103],[61.9266055 28.0733945] ; [238.0733945 107.9266055],0
b4,1,0.217207,1.522732,[49 42] ; [211 135],[54.14187643 36.85812357] ; [205.85812357 140.14187643],0
v4,1,0.226815,1.460723,[86  5] ; [335  10],[87.86926606  3.13073394] ; [333.13073394  11.86926606],0
a4,1,0.234732,1.411956,[39 52] ; [172 173],[44.03899083 46.96100917] ; [166.96100917 178.03899083],0
n3,1,0.288844,1.125,[14  2] ; [42 14],[12.44444444  3.55555556] ; [43.55555556 12.44444444],0
b5,1,0.303102,1.060496,[57 34] ; [196 150],[52.68421053 38.31578947] ; [200.31578947 145.68421053],0
v1,1,0.309948,1.030896,[50 39] ; [208 127],[54.15566038 34.84433962] ; [203.84433962 131.15566038],0
s8,1,0.346008,0.888043,[43 47] ; [183 160],[46.97459584 43.02540416] ; [179.02540416 163.97459584],0
s4,1,0.351071,0.869583,[13 78] ; [ 63 278],[16.00925926 74.99074074] ; [ 59.99074074 281.00925926],0
p7,1,0.413681,0.668196,[65 25] ; [262  81],[67.96766744 22.03233256] ; [259.03233256  83.96766744],0
n1,1,0.524707,0.404631,[8 8] ; [23 33],[6.88888889 9.11111111] ; [24.11111111 31.88888889],0
a8,1,0.53092,0.392631,[ 9 77] ; [ 40 268],[10.69543147 75.30456853] ; [ 38.30456853 269.69543147],0
u3,1,0.594343,0.283613,[14 10] ; [54 30],[15.11111111  8.88888889] ; [52.88888889 31.11111111],0
v2,1,0.699664,0.148822,[53 36] ; [207 128],[54.5754717 34.4245283] ; [205.4245283 129.5754717],0
b2,1,0.7049,0.143425,[25 33] ; [ 90 133],[23.7366548 34.2633452] ; [ 91.2633452 131.7366548],0
b3,1,0.7049,0.143425,[25 33] ; [ 90 133],[23.7366548 34.2633452] ; [ 91.2633452 131.7366548],0
v3,1,0.723785,0.124895,[39 50] ; [152 179],[40.47380952 48.52619048] ; [150.52619048 180.47380952],0
a3,1,0.768205,0.086862,[67 23] ; [262  83],[68.06896552 21.93103448] ; [260.93103448  84.06896552],0
a1,1,0.836574,0.042551,[ 5 86] ; [ 21 325],[ 5.41418764 85.58581236] ; [ 20.58581236 325.41418764],0
p1,1,0.868318,0.027488,[12 79] ; [ 43 300],[11.53225806 79.46774194] ; [ 43.46774194 299.53225806],0
s1,1,0.962036,0.002266,[ 3 88] ; [ 11 333],[ 2.92873563 88.07126437] ; [ 11.07126437 332.92873563],0
