Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,78.868847,[ 31 136] ; [147  85],[74.50125313 92.49874687] ; [103.49874687 128.50125313],1
v1,1,0.0,32.684584,[72 94] ; [168  66],[99.6 66.4] ; [140.4  93.6],1
a3,1,0.00135,10.273164,[105  61] ; [183  52],[119.22194514  46.77805486] ; [168.77805486  66.22194514],0
s4,1,0.003478,8.538099,[ 39 126] ; [ 29 204],[ 28.19095477 136.80904523] ; [ 39.80904523 193.19095477],0
p11,1,0.004636,8.01627,[136  32] ; [214  22],[145.54455446  22.45544554] ; [204.45544554  31.54455446],0
n2,1,0.007401,7.173053,[23 12] ; [33  3],[27.6056338  7.3943662] ; [28.3943662  7.6056338],0
a5,1,0.009715,6.686473,[119  49] ; [193  43],[129.74257426  38.25742574] ; [182.25742574  53.74257426],0
r1,1,0.010474,6.552452,[127  40] ; [203  33],[136.74937965  30.25062035] ; [193.25062035  42.74937965],0
d1,1,0.010861,6.487969,[93 75] ; [160  76],[105.20792079  62.79207921] ; [147.79207921  88.20792079],0
p3,1,0.01308,6.158241,[96 71] ; [164  72],[107.74193548  59.25806452] ; [152.25806452  83.74193548],0
a2,1,0.018962,5.505007,[ 27 141] ; [ 61 175],[ 36.59405941 131.40594059] ; [ 51.40594059 184.59405941],0
a6,1,0.022312,5.221267,[98 70] ; [163  72],[108.80397022  59.19602978] ; [152.19602978  82.80397022],0
d4,1,0.027962,4.830415,[133  34] ; [207  29],[140.89330025  26.10669975] ; [199.10669975  36.89330025],0
d2,1,0.029929,4.713383,[72 96] ; [127 109],[82.75247525 85.24752475] ; [116.24752475 119.75247525],0
u1,1,0.030562,4.677388,[ 21 147] ; [ 49 187],[ 29.10891089 138.89108911] ; [ 40.89108911 195.10891089],0
d3,1,0.047419,3.930476,[110  58] ; [176  60],[118.93069307  49.06930693] ; [167.06930693  68.93069307],0
r4,1,0.053349,3.732948,[151  17] ; [224  12],[155.94059406  12.05940594] ; [219.05940594  16.94059406],0
s8,1,0.056312,3.6428,[75 93] ; [126 106],[84.42 83.58] ; [116.58 115.42],0
p12,1,0.057339,3.612737,[ 12 154] ; [ 31 204],[ 17.80049875 148.19950125] ; [ 25.19950125 209.80049875],0
s5,1,0.074746,3.175591,[ 56 106] ; [ 98 127],[64.46511628 97.53488372] ; [ 89.53488372 135.46511628],0
