Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,27.282497,[4 4] ; [ 3 98],[0.51376147 7.48623853] ; [ 6.48623853 94.51376147],1
r3,1,0.004144,8.219621,[6 2] ; [98  3],[7.63302752 0.36697248] ; [96.36697248  4.63302752],0
p4,1,0.020818,5.342001,[7 1] ; [46 56],[3.85454545 4.14545455] ; [49.14545455 52.85454545],0
a6,1,0.072747,3.219922,[3 5] ; [70 32],[5.30909091 2.69090909] ; [67.69090909 34.30909091],0
p3,1,0.101447,2.682652,[5 3] ; [34 67],[2.86238532 5.13761468] ; [36.13761468 64.86238532],0
p6,1,0.110871,2.541756,[4 4] ; [24 75],[2.09345794 5.90654206] ; [25.90654206 73.09345794],0
p8,1,0.114188,2.495275,[6 2] ; [46 54],[3.85185185 4.14814815] ; [48.14814815 51.85185185],0
d3,1,0.19987,1.643324,[4 4] ; [73 29],[5.6 2.4] ; [71.4 30.6],0
v3,1,0.219319,1.508819,[5 3] ; [39 58],[3.35238095 4.64761905] ; [40.64761905 56.35238095],0
b1,1,0.224966,1.472409,[4 4] ; [30 72],[2.47272727 5.52727273] ; [31.52727273 70.47272727],0
s8,1,0.224966,1.472409,[4 4] ; [30 72],[2.47272727 5.52727273] ; [31.52727273 70.47272727],0
s2,1,0.248053,1.334239,[2 6] ; [47 55],[3.56363636 4.43636364] ; [45.43636364 56.56363636],0
b2,1,0.256585,1.287089,[4 4] ; [13 31],[2.61538462 5.38461538] ; [14.38461538 29.61538462],0
b3,1,0.256585,1.287089,[4 4] ; [13 31],[2.61538462 5.38461538] ; [14.38461538 29.61538462],0
p1,1,0.266413,1.235122,[1 7] ; [ 4 97],[0.36697248 7.63302752] ; [ 4.63302752 96.36697248],0
p7,1,0.272237,1.205441,[6 2] ; [55 45],[4.51851852 3.48148148] ; [56.48148148 43.51851852],0
u1,1,0.279421,1.169905,[2 6] ; [12 90],[1.01818182 6.98181818] ; [12.98181818 89.01818182],0
n6,1,0.298698,1.08,[4 4] ; [68 32],[5.33333333 2.66666667] ; [66.66666667 33.33333333],0
s7,1,0.298698,1.08,[4 4] ; [32 68],[2.66666667 5.33333333] ; [33.33333333 66.66666667],0
p2,1,0.355378,0.85416,[7 1] ; [74 28],[5.89090909 2.10909091] ; [75.10909091 26.89090909],0
s6,1,0.395355,0.722408,[4 4] ; [65 35],[5.11111111 2.88888889] ; [63.88888889 36.11111111],0
r2,1,0.466303,0.530724,[7 1] ; [95  6],[7.48623853 0.51376147] ; [94.51376147  6.48623853],0
a7,1,0.473481,0.513841,[7 1] ; [78 24],[6.18181818 1.81818182] ; [78.81818182 23.18181818],0
s3,1,0.479163,0.500769,[3 5] ; [51 50],[3.96330275 4.03669725] ; [50.03669725 50.96330275],0
s4,1,0.507529,0.439158,[1 7] ; [23 79],[1.74545455 6.25454545] ; [22.25454545 79.74545455],0
r1,1,0.535667,0.383629,[7 1] ; [79 22],[6.31192661 1.68807339] ; [79.68807339 21.31192661],0
r4,1,0.548219,0.360517,[6 2] ; [85 17],[6.61818182 1.38181818] ; [84.38181818 17.61818182],0
a5,1,0.555445,0.347652,[6 2] ; [66 36],[5.23636364 2.76363636] ; [66.76363636 35.23636364],0
d4,1,0.603595,0.269608,[6 2] ; [84 18],[6.54545455 1.45454545] ; [83.45454545 18.54545455],0
n3,1,0.603713,0.269433,[3 1] ; [21 13],[2.52631579 1.47368421] ; [21.47368421 12.52631579],0
b5,1,0.626111,0.237372,[4 4] ; [60 42],[4.65454545 3.34545455] ; [59.34545455 42.65454545],0
a4,1,0.628585,0.233984,[2 6] ; [34 68],[2.61818182 5.38181818] ; [33.38181818 68.61818182],0
v1,1,0.642162,0.215925,[5 3] ; [54 46],[4.37037037 3.62962963] ; [54.62962963 45.37037037],0
a3,1,0.667218,0.184874,[6 2] ; [69 33],[5.45454545 2.54545455] ; [69.54545455 32.45454545],0
a2,1,0.710746,0.137533,[1 7] ; [18 84],[1.38181818 6.61818182] ; [17.61818182 84.38181818],0
d5,1,0.713502,0.134804,[6 2] ; [82 20],[6.4 1.6] ; [81.6 20.4],0
s5,1,0.732457,0.116868,[3 5] ; [31 67],[2.56603774 5.43396226] ; [31.43396226 66.56603774],0
d2,1,0.810177,0.057695,[3 5] ; [34 68],[2.69090909 5.30909091] ; [34.30909091 67.69090909],0
n1,1,0.837788,0.041912,[1 3] ; [ 7 27],[0.84210526 3.15789474] ; [ 7.15789474 26.84210526],0
d1,1,0.872525,0.025745,[4 4] ; [54 48],[4.21818182 3.78181818] ; [53.78181818 48.21818182],0
n5,1,0.916024,0.011118,[3 5] ; [36 65],[2.86238532 5.13761468] ; [36.13761468 64.86238532],0
b4,1,0.988985,0.000191,[5 3] ; [64 38],[5.01818182 2.98181818] ; [63.98181818 38.01818182],0
