Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.04299,4.095805,[15  3] ; [3 4],[12.96  5.04] ; [5.04 1.96],0
a7,1,0.143687,2.138024,[11  7] ; [2 5],[9.36 8.64] ; [3.64 3.36],0
a4,1,0.158379,1.989638,[ 8 10] ; [1 6],[ 6.48 11.52] ; [2.52 4.48],0
s4,1,0.168598,1.895363,[ 3 15] ; [3 4],[ 4.32 13.68] ; [1.68 5.32],0
n6,1,0.16962,1.886299,[ 5 13] ; [4 3],[ 6.48 11.52] ; [2.52 4.48],0
b4,1,0.16962,1.886299,[13  5] ; [3 4],[11.52  6.48] ; [4.48 2.52],0
r3,1,0.16962,1.886299,[13  5] ; [3 4],[11.52  6.48] ; [4.48 2.52],0
p8,1,0.189717,1.71981,[8 9] ; [1 5],[ 6.65217391 10.34782609] ; [2.34782609 3.65217391],0
d3,1,0.2253,1.470289,[10  8] ; [2 5],[8.64 9.36] ; [3.36 3.64],0
d5,1,0.2253,1.470289,[10  8] ; [2 5],[8.64 9.36] ; [3.36 3.64],0
p11,1,0.2253,1.470289,[ 8 10] ; [5 2],[9.36 8.64] ; [3.64 3.36],0
d1,1,0.236386,1.402019,[ 7 11] ; [1 6],[ 5.76 12.24] ; [2.24 4.76],0
s7,1,0.265572,1.239477,[ 6 10] ; [1 6],[ 4.86956522 11.13043478] ; [2.13043478 4.86956522],0
a6,1,0.275234,1.190476,[ 6 12] ; [4 3],[ 7.2 10.8] ; [2.8 4.2],0
a3,1,0.275234,1.190476,[12  6] ; [3 4],[10.8  7.2] ; [4.2 2.8],0
p3,1,0.302191,1.0645,[ 4 14] ; [3 4],[ 5.04 12.96] ; [1.96 5.04],0
v1,1,0.340904,0.907029,[ 6 12] ; [1 6],[ 5.04 12.96] ; [1.96 5.04],0
r2,1,0.40905,0.681561,[11  7] ; [3 4],[10.08  7.92] ; [3.92 3.08],0
p2,1,0.40905,0.681561,[ 7 11] ; [4 3],[ 7.92 10.08] ; [3.08 3.92],0
d2,1,0.466985,0.529101,[ 8 10] ; [2 5],[ 7.2 10.8] ; [2.8 4.2],0
s6,1,0.466985,0.529101,[ 8 10] ; [2 5],[ 7.2 10.8] ; [2.8 4.2],0
s8,1,0.470027,0.521912,[ 1 17] ; [1 6],[ 1.44 16.56] ; [0.56 6.44],0
a5,1,0.568261,0.3256,[10  8] ; [3 4],[9.36 8.64] ; [3.64 3.36],0
p10,1,0.656005,0.198413,[ 6 12] ; [3 4],[ 6.48 11.52] ; [2.52 4.48],0
p4,1,0.656005,0.198413,[ 6 12] ; [3 4],[ 6.48 11.52] ; [2.52 4.48],0
s5,1,0.656005,0.198413,[ 4 14] ; [1 6],[ 3.6 14.4] ; [1.4 5.6],0
s2,1,0.738568,0.11139,[ 4 14] ; [2 5],[ 4.32 13.68] ; [1.68 5.32],0
b5,1,0.748233,0.103022,[9 9] ; [4 3],[9.36 8.64] ; [3.64 3.36],0
b1,1,0.748233,0.103022,[9 9] ; [3 4],[8.64 9.36] ; [3.36 3.64],0
u2,1,0.77816,0.079365,[2 4] ; [1 3],[1.8 4.2] ; [1.2 2.8],0
p1,1,0.826403,0.0481,[ 2 16] ; [1 6],[ 2.16 15.84] ; [0.84 6.16],0
s1,1,0.826403,0.0481,[ 2 16] ; [1 6],[ 2.16 15.84] ; [0.84 6.16],0
n3,1,0.850436,0.035556,[3 2] ; [2 1],[3.125 1.875] ; [1.875 1.125],0
s3,1,0.855702,0.033069,[ 7 11] ; [3 4],[ 7.2 10.8] ; [2.8 4.2],0
p7,1,0.855702,0.033069,[ 7 11] ; [3 4],[ 7.2 10.8] ; [2.8 4.2],0
p6,1,0.884077,0.021259,[ 3 15] ; [1 6],[ 2.88 15.12] ; [1.12 5.88],0
p9,1,0.94277,0.005154,[ 8 10] ; [3 4],[ 7.92 10.08] ; [3.08 3.92],0
n1,1,1.0,0.0,[2 4] ; [1 2],[2. 4.] ; [1. 2.],0
