Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.9e-05,16.129887,[4 5] ; [77  7],[7.83870968 1.16129032] ; [73.16129032 10.83870968],1
v4,1,0.000552,11.930419,[6 3] ; [81  3],[8.41935484 0.58064516] ; [78.58064516  5.41935484],1
p11,1,0.000699,11.491422,[2 7] ; [64 20],[6.38709677 2.61290323] ; [59.61290323 24.38709677],1
v2,1,0.001915,9.629057,[1 8] ; [53 29],[5.34065934 3.65934066] ; [48.65934066 33.34065934],0
n6,1,0.003513,8.519726,[3 6] ; [65 18],[6.65217391 2.34782609] ; [61.34782609 21.65217391],0
a6,1,0.005783,7.616584,[2 7] ; [57 26],[5.77173913 3.22826087] ; [53.22826087 29.77173913],0
v3,1,0.042625,4.110208,[1 8] ; [38 44],[3.85714286 5.14285714] ; [35.14285714 46.85714286],0
p7,1,0.043895,4.060581,[4 5] ; [63 20],[6.55434783 2.44565217] ; [60.44565217 22.55434783],0
p8,1,0.052648,3.755054,[1 7] ; [40 43],[3.6043956 4.3956044] ; [37.3956044 45.6043956],0
s7,1,0.134621,2.238385,[1 5] ; [40 43],[2.76404494 3.23595506] ; [38.23595506 44.76404494],0
s8,1,0.176181,1.829545,[2 6] ; [42 42],[3.82608696 4.17391304] ; [40.17391304 43.82608696],0
n2,1,0.201352,1.63254,[2 1] ; [13  1],[2.64705882 0.35294118] ; [12.35294118  1.64705882],0
a4,1,0.207288,1.590269,[2 7] ; [37 47],[3.77419355 5.22580645] ; [35.22580645 48.77419355],0
a5,1,0.211128,1.563676,[5 4] ; [63 21],[6.58064516 2.41935484] ; [61.41935484 22.58064516],0
r1,1,0.220122,1.503573,[5 4] ; [62 21],[6.55434783 2.44565217] ; [60.44565217 22.55434783],0
p10,1,0.229513,1.443879,[5 4] ; [61 21],[6.52747253 2.47252747] ; [59.47252747 22.52747253],0
s6,1,0.239777,1.381903,[3 5] ; [49 34],[4.57142857 3.42857143] ; [47.42857143 35.57142857],0
p2,1,0.246182,1.344842,[5 4] ; [62 22],[6.48387097 2.51612903] ; [60.51612903 23.48387097],0
b1,1,0.277385,1.17986,[6 3] ; [40 44],[4.4516129 4.5483871] ; [41.5483871 42.4516129],0
s1,1,0.289339,1.122693,[1 8] ; [ 3 81],[0.38709677 8.61290323] ; [ 3.61290323 80.38709677],0
p6,1,0.309827,1.031411,[1 8] ; [21 58],[2.25 6.75] ; [19.75 59.25],0
p1,1,0.380221,0.769988,[2 7] ; [10 74],[1.16129032 7.83870968] ; [10.83870968 73.16129032],0
p5,1,0.42221,0.644156,[1 8] ; [ 4 80],[0.48387097 8.51612903] ; [ 4.51612903 79.48387097],0
d4,1,0.424529,0.637745,[8 1] ; [65 19],[7.06451613 1.93548387] ; [65.93548387 18.06451613],0
s5,1,0.43895,0.599026,[4 5] ; [25 54],[2.96590909 6.03409091] ; [26.03409091 52.96590909],0
v1,1,0.460158,0.545509,[4 5] ; [47 35],[5.04395604 3.95604396] ; [45.95604396 36.04395604],0
d5,1,0.472247,0.516714,[6 3] ; [65 19],[6.87096774 2.12903226] ; [64.12903226 19.87096774],0
n5,1,0.572286,0.318873,[5 4] ; [54 29],[5.77173913 3.22826087] ; [53.22826087 29.77173913],0
s2,1,0.582127,0.302808,[3 6] ; [36 48],[3.77419355 5.22580645] ; [35.22580645 48.77419355],0
d3,1,0.650694,0.205026,[4 5] ; [44 40],[4.64516129 4.35483871] ; [43.35483871 40.64516129],0
d1,1,0.650694,0.205026,[5 4] ; [40 44],[4.35483871 4.64516129] ; [40.64516129 43.35483871],0
a7,1,0.727524,0.121397,[6 3] ; [51 33],[5.51612903 3.48387097] ; [51.48387097 32.51612903],0
b5,1,0.779291,0.078536,[6 3] ; [52 32],[5.61290323 3.38709677] ; [52.38709677 31.61290323],0
s4,1,0.794076,0.068132,[1 8] ; [12 72],[1.25806452 7.74193548] ; [11.74193548 72.25806452],0
n4,1,0.839435,0.041053,[7 2] ; [62 21],[6.75 2.25] ; [62.25 20.75],0
a3,1,0.839435,0.041053,[7 2] ; [62 21],[6.75 2.25] ; [62.25 20.75],0
b2,1,0.875164,0.024681,[2 3] ; [24 31],[2.16666667 2.83333333] ; [23.83333333 31.16666667],0
b3,1,0.875164,0.024681,[2 3] ; [24 31],[2.16666667 2.83333333] ; [23.83333333 31.16666667],0
p9,1,0.892471,0.018273,[6 2] ; [64 19],[6.15384615 1.84615385] ; [63.84615385 19.15384615],0
s3,1,0.909664,0.012874,[5 4] ; [45 39],[4.83870968 4.16129032] ; [45.16129032 38.83870968],0
b4,1,0.909664,0.012874,[5 4] ; [45 39],[4.83870968 4.16129032] ; [45.16129032 38.83870968],0
a8,1,0.96964,0.001449,[1 8] ; [ 9 69],[1.03448276 7.96551724] ; [ 8.96551724 69.03448276],0
d2,1,0.993877,5.9e-05,[4 5] ; [37 46],[4.01086957 4.98913043] ; [36.98913043 46.01086957],0
