Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.29015,[ 6 43] ; [44 38],[18.70229008 30.29770992] ; [31.29770992 50.70229008],1
a6,1,0.001709,9.837985,[20 29] ; [57 26],[28.58333333 20.41666667] ; [48.41666667 34.58333333],0
r2,1,0.003067,8.767248,[40  8] ; [81  2],[44.33587786  3.66412214] ; [76.66412214  6.33587786],0
d2,1,0.003347,8.607845,[15 33] ; [48 35],[23.08396947 24.91603053] ; [39.91603053 43.08396947],0
n4,1,0.005055,7.859518,[27 22] ; [65 18],[34.15151515 14.84848485] ; [57.84848485 25.15151515],0
d1,1,0.005167,7.820073,[16 33] ; [48 35],[23.75757576 25.24242424] ; [40.24242424 42.75757576],0
u1,1,0.009505,6.72542,[ 2 47] ; [17 66],[ 7.0530303 41.9469697] ; [11.9469697 71.0530303],0
a3,1,0.010349,6.573789,[23 26] ; [57 25],[29.92366412 19.07633588] ; [50.07633588 31.92366412],0
d3,1,0.010825,6.493768,[22 27] ; [56 27],[28.95454545 20.04545455] ; [49.04545455 33.95454545],0
d4,1,0.021367,5.296644,[30 17] ; [68 15],[35.43076923 11.56923077] ; [62.56923077 20.43076923],0
v1,1,0.038908,4.264892,[13 36] ; [37 46],[18.56060606 30.43939394] ; [31.43939394 51.56060606],0
d5,1,0.040977,4.176985,[31 18] ; [66 17],[36.00757576 12.99242424] ; [60.99242424 22.00757576],0
r4,1,0.072388,3.228016,[38 11] ; [74  9],[41.57575758  7.42424242] ; [70.42424242 12.57575758],0
p8,1,0.075778,3.153212,[11 38] ; [31 52],[15.59090909 33.40909091] ; [26.40909091 56.59090909],0
s1,1,0.124418,2.360801,[ 6 43] ; [ 4 78],[ 3.74045802 45.25954198] ; [ 6.25954198 75.74045802],0
p5,1,0.125221,2.350768,[ 4 45] ; [ 2 81],[ 2.22727273 46.77272727] ; [ 3.77272727 79.22727273],0
p6,1,0.150746,2.064683,[12 36] ; [12 69],[ 8.93023256 39.06976744] ; [15.06976744 65.93023256],0
b4,1,0.15914,1.982375,[36 13] ; [51 32],[32.29545455 16.70454545] ; [54.70454545 28.29545455],0
p2,1,0.172856,1.858002,[26 23] ; [54 29],[29.6969697 19.3030303] ; [50.3030303 32.6969697],0
n1,1,0.175193,1.837938,[ 5 12] ; [14 14],[7.17777778 9.82222222] ; [11.82222222 16.17777778],0
b2,1,0.189091,1.724689,[ 6 25] ; [17 35],[ 8.59036145 22.40963855] ; [14.40963855 37.59036145],0
b3,1,0.189091,1.724689,[ 6 25] ; [17 35],[ 8.59036145 22.40963855] ; [14.40963855 37.59036145],0
a1,1,0.198766,1.651416,[ 1 48] ; [ 6 77],[ 2.59848485 46.40151515] ; [ 4.40151515 78.59848485],0
p4,1,0.235187,1.409214,[16 32] ; [36 46],[19.2 28.8] ; [32.8 49.2],0
v4,1,0.24709,1.339681,[40  8] ; [74  8],[42.09230769  5.90769231] ; [71.90769231 10.09230769],0
u3,1,0.254213,1.3,[18  8] ; [14 12],[16. 10.] ; [16. 10.],0
r3,1,0.272334,1.204953,[41  7] ; [76  7],[42.87022901  5.12977099] ; [74.12977099  8.87022901],0
p3,1,0.294441,1.099205,[13 36] ; [29 53],[15.70992366 33.29007634] ; [26.29007634 55.70992366],0
a7,1,0.337561,0.919672,[29 19] ; [57 26],[31.51145038 16.48854962] ; [54.48854962 28.51145038],0
s2,1,0.473781,0.513145,[19 29] ; [27 54],[17.11627907 30.88372093] ; [28.88372093 52.11627907],0
u2,1,0.488161,0.480577,[15 11] ; [12 13],[13.76470588 12.23529412] ; [13.23529412 11.76470588],0
a8,1,0.499818,0.455324,[ 6 38] ; [ 7 66],[ 4.88888889 39.11111111] ; [ 8.11111111 64.88888889],0
p7,1,0.535413,0.384109,[22 24] ; [35 48],[20.3255814 25.6744186] ; [36.6744186 46.3255814],0
p11,1,0.560556,0.338742,[24 25] ; [45 38],[25.61363636 23.38636364] ; [43.38636364 39.61363636],0
p1,1,0.564275,0.332356,[ 5 44] ; [ 6 76],[ 4.11450382 44.88549618] ; [ 6.88549618 75.11450382],0
s8,1,0.57641,0.312074,[13 36] ; [18 63],[11.68461538 37.31538462] ; [19.31538462 61.68461538],0
s3,1,0.641385,0.216935,[24 24] ; [38 45],[22.71755725 25.28244275] ; [39.28244275 43.71755725],0
n5,1,0.658602,0.195226,[27 22] ; [49 34],[28.21212121 20.78787879] ; [47.78787879 35.21212121],0
n2,1,0.659636,0.193966,[10  6] ; [20  9],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
n3,1,0.663424,0.189391,[10  7] ; [17  9],[10.6744186  6.3255814] ; [16.3255814  9.6744186],0
b5,1,0.673336,0.177724,[29 20] ; [46 37],[27.84090909 21.15909091] ; [47.15909091 35.84090909],0
s5,1,0.717382,0.131015,[ 9 40] ; [17 64],[ 9.8 39.2] ; [16.2 64.8],0
v2,1,0.775716,0.081172,[19 27] ; [36 46],[19.765625 26.234375] ; [35.234375 46.765625],0
n6,1,0.788874,0.071702,[33 16] ; [54 29],[32.29545455 16.70454545] ; [54.70454545 28.29545455],0
p10,1,0.817919,0.053002,[13 36] ; [23 58],[13.56923077 35.43076923] ; [22.43076923 58.56923077],0
s6,1,0.819213,0.052238,[24 25] ; [38 43],[23.36923077 25.63076923] ; [38.63076923 42.36923077],0
v3,1,0.847586,0.036941,[16 32] ; [28 52],[16.5 31.5] ; [27.5 52.5],0
s7,1,0.876815,0.024028,[14 31] ; [25 52],[14.3852459 30.6147541] ; [24.6147541 52.3852459],0
b1,1,0.938367,0.005979,[28 21] ; [48 35],[28.21212121 20.78787879] ; [47.78787879 35.21212121],0
s4,1,0.979494,0.000661,[ 6 42] ; [10 71],[ 5.95348837 42.04651163] ; [10.04651163 70.95348837],0
