Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,7.2e-05,15.751183,[ 15 138] ; [11 18],[ 21.85714286 131.14285714] ; [ 4.14285714 24.85714286],1
p12,1,0.00211,9.45098,[  7 145] ; [ 6 23],[ 10.91712707 141.08287293] ; [ 2.08287293 26.91712707],0
s5,1,0.005734,7.632195,[ 46 100] ; [16 11],[52.32369942 93.67630058] ; [ 9.67630058 17.32369942],0
s6,1,0.005773,7.619895,[97 54] ; [23  2],[102.95454545  48.04545455] ; [17.04545455  7.95454545],0
a1,1,0.005783,7.616722,[  6 147] ; [ 5 24],[  9.24725275 143.75274725] ; [ 1.75274725 27.24725275],0
p6,1,0.014122,6.02289,[62 90] ; [19 10],[68.02209945 83.97790055] ; [12.97790055 16.02209945],0
p8,1,0.019153,5.487477,[90 63] ; [23  5],[95.51933702 57.48066298] ; [17.48066298 10.51933702],0
p4,1,0.032428,4.575723,[115  38] ; [27  2],[119.37362637  33.62637363] ; [22.62637363  6.37362637],0
s1,1,0.047167,3.939437,[  4 149] ; [ 3 26],[  5.88461538 147.11538462] ; [ 1.11538462 27.88461538],0
s7,1,0.048968,3.876443,[69 74] ; [18  8],[73.61538462 69.38461538] ; [13.38461538 12.61538462],0
p7,1,0.07906,3.084129,[107  45] ; [25  4],[110.85082873  41.14917127] ; [21.14917127  7.85082873],0
a2,1,0.086754,2.9336,[ 38 115] ; [ 3 26],[ 34.46703297 118.53296703] ; [ 6.53296703 22.46703297],0
n3,1,0.090624,2.86326,[28  6] ; [5 4],[26.09302326  7.90697674] ; [6.90697674 2.09302326],0
s4,1,0.124383,2.361245,[ 35 117] ; [ 3 26],[ 31.91160221 120.08839779] ; [ 6.08839779 22.91160221],0
n6,1,0.127199,2.326361,[124  29] ; [26  2],[126.79558011  26.20441989] ; [23.20441989  4.79558011],0
a4,1,0.142613,2.149532,[70 83] ; [ 9 20],[66.41208791 86.58791209] ; [12.58791209 16.41208791],0
p11,1,0.173951,1.848559,[114  39] ; [25  4],[116.85164835  36.14835165] ; [22.14835165  6.85164835],0
b5,1,0.175974,1.831297,[79 74] ; [11 18],[75.65934066 77.34065934] ; [14.34065934 14.65934066],0
n5,1,0.192567,1.697866,[102  50] ; [23  6],[104.97237569  47.02762431] ; [20.02762431  8.97237569],0
d2,1,0.208897,1.579054,[77 75] ; [11 18],[73.90055249 78.09944751] ; [14.09944751 14.90055249],0
s2,1,0.229552,1.443632,[79 74] ; [11 17],[76.07734807 76.92265193] ; [13.92265193 14.07734807],0
p9,1,0.262457,1.255751,[123  30] ; [25  3],[125.10497238  27.89502762] ; [22.89502762  5.10497238],0
p2,1,0.264126,1.247003,[124  29] ; [26  3],[126.0989011  26.9010989] ; [23.9010989  5.0989011],0
v3,1,0.271595,1.208672,[ 43 106] ; [11 17],[ 45.45762712 103.54237288] ; [ 8.54237288 19.45762712],0
d1,1,0.287991,1.128991,[85 68] ; [13 16],[82.38461538 70.61538462] ; [15.61538462 13.38461538],0
b1,1,0.290284,1.118303,[69 84] ; [10 19],[66.41208791 86.58791209] ; [12.58791209 16.41208791],0
