Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,24.47195,[29 29] ; [105  19],[42.7032967 15.2967033] ; [91.2967033 32.7032967],1
u1,1,1e-06,23.942034,[ 1 57] ; [44 81],[14.26229508 43.73770492] ; [30.73770492 94.26229508],1
a6,1,3e-06,21.842384,[22 36] ; [91 32],[36.20994475 21.79005525] ; [76.79005525 46.20994475],1
b5,1,8e-05,15.560922,[21 37] ; [84 41],[33.27868852 24.72131148] ; [71.72131148 53.27868852],1
a2,1,0.000426,12.414878,[ 7 51] ; [47 78],[17.1147541 40.8852459] ; [36.8852459 88.1147541],1
p10,1,0.011424,6.398204,[47 10] ; [116   7],[51.61666667  5.38333333] ; [111.38333333  11.61666667],0
a5,1,0.014281,6.003102,[42 16] ; [109  16],[47.8579235 10.1420765] ; [103.1420765  21.8579235],0
b1,1,0.019533,5.453161,[30 28] ; [42 83],[22.81967213 35.18032787] ; [49.18032787 75.81967213],0
d1,1,0.022845,5.180234,[34 24] ; [94 31],[40.56830601 17.43169399] ; [87.43169399 37.56830601],0
n6,1,0.027929,4.832443,[45 11] ; [112  10],[49.39325843  6.60674157] ; [107.60674157  14.39325843],0
b3,1,0.045309,4.007104,[23 14] ; [32 44],[18.00884956 18.99115044] ; [36.99115044 39.00884956],0
b2,1,0.045309,4.007104,[23 14] ; [32 44],[18.00884956 18.99115044] ; [36.99115044 39.00884956],0
p4,1,0.054488,3.697679,[35 22] ; [92 30],[40.44134078 16.55865922] ; [86.55865922 35.44134078],0
u4,1,0.059813,3.542571,[ 3 55] ; [  1 124],[ 1.26775956 56.73224044] ; [  2.73224044 122.26775956],0
p9,1,0.124643,2.357981,[50  7] ; [116   7],[52.56666667  4.43333333] ; [113.43333333   9.56666667],0
r2,1,0.143325,2.141891,[54  4] ; [121   3],[55.76923077  2.23076923] ; [119.23076923   4.76923077],0
a1,1,0.158564,1.987869,[ 6 52] ; [  6 119],[ 3.80327869 54.19672131] ; [  8.19672131 116.80327869],0
p1,1,0.170328,1.880051,[ 5 53] ; [ 20 104],[ 7.96703297 50.03296703] ; [ 17.03296703 106.96703297],0
p6,1,0.204825,1.607632,[25 30] ; [68 54],[28.89830508 26.10169492] ; [64.10169492 57.89830508],0
