Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.004231,8.181818,[ 7 26] ; [8 4],[11. 22.] ; [4. 8.],0
d5,1,0.007263,7.206708,[10 23] ; [9 3],[13.93333333 19.06666667] ; [5.06666667 6.93333333],0
p6,1,0.013385,6.117477,[ 3 29] ; [5 7],[ 5.81818182 26.18181818] ; [2.18181818 9.81818182],0
r4,1,0.016151,5.786339,[ 5 28] ; [6 6],[ 8.06666667 24.93333333] ; [2.93333333 9.06666667],0
s6,1,0.03193,4.602273,[ 8 25] ; [7 5],[11. 22.] ; [4. 8.],0
p3,1,0.032808,4.555785,[ 6 27] ; [6 6],[ 8.8 24.2] ; [3.2 8.8],0
p2,1,0.0346,4.464831,[13 20] ; [9 3],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
p10,1,0.045282,4.008097,[11 22] ; [8 4],[13.93333333 19.06666667] ; [5.06666667 6.93333333],0
a5,1,0.053214,3.737199,[14 19] ; [9 3],[16.86666667 16.13333333] ; [6.13333333 5.86666667],0
n6,1,0.064561,3.416149,[14 18] ; [9 3],[16.72727273 15.27272727] ; [6.27272727 5.72727273],0
r1,1,0.07044,3.272727,[12 21] ; [8 4],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
n4,1,0.078169,3.102559,[18 15] ; [10  2],[20.53333333 12.46666667] ; [7.46666667 4.53333333],0
p9,1,0.078947,3.086445,[15 18] ; [9 3],[17.6 15.4] ; [6.4 5.6],0
r2,1,0.10487,2.62987,[13 20] ; [8 4],[15.4 17.6] ; [5.6 6.4],0
p5,1,0.112484,2.51897,[ 1 31] ; [ 2 10],[ 2.18181818 29.81818182] ; [ 0.81818182 11.18181818],0
s3,1,0.112819,2.514286,[ 8 24] ; [6 6],[10.18181818 21.81818182] ; [3.81818182 8.18181818],0
p11,1,0.13007,2.291667,[11 22] ; [7 5],[13.2 19.8] ; [4.8 7.2],0
s2,1,0.170022,1.882748,[ 7 26] ; [5 7],[ 8.8 24.2] ; [3.2 8.8],0
s8,1,0.17753,1.818182,[ 5 28] ; [4 8],[ 6.6 26.4] ; [2.4 9.6],0
b4,1,0.2155,1.534091,[18 15] ; [9 3],[19.8 13.2] ; [7.2 4.8],0
v1,1,0.222215,1.490008,[10 23] ; [6 6],[11.73333333 21.26666667] ; [4.26666667 7.73333333],0
a3,1,0.241768,1.370255,[17 15] ; [4 8],[15.27272727 16.72727273] ; [5.72727273 6.27272727],0
b2,1,0.27198,1.206734,[ 9 13] ; [1 5],[ 7.85714286 14.14285714] ; [2.14285714 3.85714286],0
b3,1,0.27198,1.206734,[ 9 13] ; [1 5],[ 7.85714286 14.14285714] ; [2.14285714 3.85714286],0
v3,1,0.279642,1.168831,[ 6 27] ; [4 8],[ 7.33333333 25.66666667] ; [2.66666667 9.33333333],0
d4,1,0.279642,1.168831,[16 17] ; [8 4],[17.6 15.4] ; [6.4 5.6],0
p8,1,0.280514,1.164599,[ 8 24] ; [5 7],[ 9.45454545 22.54545455] ; [3.54545455 8.45454545],0
b1,1,0.344157,0.894886,[19 14] ; [5 7],[17.6 15.4] ; [6.4 5.6],0
p7,1,0.408961,0.681818,[12 21] ; [6 6],[13.2 19.8] ; [4.8 7.2],0
u3,1,0.438578,0.6,[ 2 14] ; [2 6],[ 2.66666667 13.33333333] ; [1.33333333 6.66666667],0
p12,1,0.445249,0.582717,[ 1 32] ; [ 1 11],[ 1.46666667 31.53333333] ; [ 0.53333333 11.46666667],0
u1,1,0.445249,0.582717,[ 1 32] ; [ 1 11],[ 1.46666667 31.53333333] ; [ 0.53333333 11.46666667],0
a6,1,0.466608,0.529996,[15 18] ; [4 8],[13.93333333 19.06666667] ; [5.06666667 6.93333333],0
s5,1,0.474549,0.511364,[ 3 30] ; [ 2 10],[ 3.66666667 29.33333333] ; [ 1.33333333 10.66666667],0
n5,1,0.474549,0.511364,[21 12] ; [9 3],[22. 11.] ; [8. 4.],0
s4,1,0.551846,0.354021,[ 5 28] ; [ 1 11],[ 4.4 28.6] ; [ 1.6 10.4],0
s1,1,0.551846,0.354021,[ 5 28] ; [ 1 11],[ 4.4 28.6] ; [ 1.6 10.4],0
b5,1,0.558917,0.341583,[17 16] ; [5 7],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
a4,1,0.613102,0.255682,[ 6 27] ; [3 9],[ 6.6 26.4] ; [2.4 9.6],0
u2,1,0.759463,0.09375,[ 5 11] ; [3 5],[ 5.33333333 10.66666667] ; [2.66666667 5.33333333],0
s7,1,0.760013,0.093308,[ 7 24] ; [2 9],[ 6.64285714 24.35714286] ; [2.35714286 8.64285714],0
d2,1,0.786944,0.073052,[ 7 26] ; [3 9],[ 7.33333333 25.66666667] ; [2.66666667 9.33333333],0
a7,1,0.786944,0.073052,[15 18] ; [6 6],[15.4 17.6] ; [5.6 6.4],0
a2,1,0.786944,0.073052,[ 2 31] ; [ 1 11],[ 2.2 30.8] ; [ 0.8 11.2],0
d3,1,0.958295,0.002735,[ 8 25] ; [3 9],[ 8.06666667 24.93333333] ; [2.93333333 9.06666667],0
