Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.0,30.428808,[230  30] ; [27 21],[216.94805195  43.05194805] ; [40.05194805  7.94805195],1
p10,1,0.010273,6.586935,[198  62] ; [28 20],[190.77922078  69.22077922] ; [35.22077922 12.77922078],0
n1,1,0.015743,5.83134,[36 30] ; [ 2 10],[32.15384615 33.84615385] ; [5.84615385 6.15384615],0
d1,1,0.020043,5.408187,[146 116] ; [18 30],[138.60645161 123.39354839] ; [25.39354839 22.60645161],0
d2,1,0.023215,5.152317,[127 132] ; [15 33],[119.7980456 139.2019544] ; [22.2019544 25.7980456],0
p9,1,0.024274,5.074926,[205  53] ; [31 17],[198.98039216  59.01960784] ; [37.01960784 10.98039216],0
p8,1,0.029777,4.722111,[131 129] ; [16 32],[124.09090909 135.90909091] ; [22.90909091 25.09090909],0
p4,1,0.044336,4.043722,[155 106] ; [21 27],[148.66019417 112.33980583] ; [27.33980583 20.66019417],0
s6,1,0.046025,3.980691,[169  86] ; [24 23],[162.96357616  92.03642384] ; [30.03642384 16.96357616],0
n2,1,0.050772,3.815788,[48 20] ; [5 7],[45.05 22.95] ; [7.95 4.05],0
p5,1,0.090273,2.869495,[ 40 218] ; [ 3 45],[ 36.25490196 221.74509804] ; [ 6.74509804 41.25490196],0
r2,1,0.095426,2.780377,[244  16] ; [40  6],[241.30718954  18.69281046] ; [42.69281046  3.30718954],0
s5,1,0.098832,2.724297,[ 82 172] ; [ 9 36],[ 77.30434783 176.69565217] ; [13.69565217 31.30434783],0
u1,1,0.110191,2.551478,[ 46 216] ; [ 4 44],[ 42.25806452 219.74193548] ; [ 7.74193548 40.25806452],0
v1,1,0.111384,2.534481,[106 150] ; [14 34],[101.05263158 154.94736842] ; [18.94736842 29.05263158],0
s7,1,0.121286,2.40064,[123 128] ; [16 28],[118.26779661 132.73220339] ; [20.73220339 23.26779661],0
s3,1,0.122525,2.384744,[150 109] ; [21 25],[145.20983607 113.79016393] ; [25.79016393 20.20983607],0
