Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4.3e-05,16.74992,[27 16] ; [26 72],[16.16312057 26.83687943] ; [36.83687943 61.16312057],1
p7,1,0.001426,10.171684,[27 15] ; [34 63],[18.43165468 23.56834532] ; [42.56834532 54.43165468],0
v1,1,0.01536,5.874676,[20 23] ; [25 72],[13.82142857 29.17857143] ; [31.17857143 65.82142857],0
p1,1,0.028541,4.795075,[ 7 36] ; [ 5 93],[ 3.65957447 39.34042553] ; [ 8.34042553 89.65957447],0
p8,1,0.030961,4.655105,[21 22] ; [29 68],[15.35714286 27.64285714] ; [34.64285714 62.35714286],0
s8,1,0.068406,3.320857,[ 8 35] ; [ 8 91],[ 4.84507042 38.15492958] ; [11.15492958 87.84507042],0
p2,1,0.075777,3.153218,[32 11] ; [57 40],[27.33571429 15.66428571] ; [61.66428571 35.33571429],0
u3,1,0.083787,2.989862,[11 12] ; [13 35],[ 7.77464789 15.22535211] ; [16.22535211 31.77464789],0
s2,1,0.114487,2.491166,[16 27] ; [24 75],[12.11267606 30.88732394] ; [27.88732394 71.11267606],0
n6,1,0.136478,2.217227,[34  8] ; [68 31],[30.38297872 11.61702128] ; [71.61702128 27.38297872],0
b3,1,0.154983,2.022509,[ 5 19] ; [19 32],[ 7.68 16.32] ; [16.32 34.68],0
b2,1,0.154983,2.022509,[ 5 19] ; [19 32],[ 7.68 16.32] ; [16.32 34.68],0
s5,1,0.159674,1.977307,[ 9 32] ; [12 84],[ 6.28467153 34.71532847] ; [14.71532847 81.28467153],0
p5,1,0.170081,1.882227,[ 5 38] ; [ 5 92],[ 3.07142857 39.92857143] ; [ 6.92857143 90.07142857],0
p6,1,0.171373,1.870892,[12 31] ; [17 79],[ 8.97122302 34.02877698] ; [20.02877698 75.97122302],0
s3,1,0.174372,1.844946,[18 24] ; [30 67],[14.50359712 27.49640288] ; [33.49640288 63.50359712],0
a7,1,0.183453,1.769425,[28 15] ; [52 46],[24.39716312 18.60283688] ; [55.60283688 42.39716312],0
n4,1,0.185502,1.752986,[29 14] ; [55 44],[25.43661972 17.56338028] ; [58.56338028 40.43661972],0
n3,1,0.209211,1.576876,[8 2] ; [21 15],[6.30434783 3.69565217] ; [22.69565217 13.30434783],0
a5,1,0.224009,1.478504,[23 20] ; [42 57],[19.68309859 23.31690141] ; [45.31690141 53.68309859],0
d1,1,0.224448,1.475701,[18 25] ; [31 68],[14.83802817 28.16197183] ; [34.16197183 64.83802817],0
