Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,37.588791,[31  9] ; [16 65],[15.53719008 24.46280992] ; [31.46280992 49.53719008],1
d4,1,0.0,30.907692,[40  1] ; [38 44],[26. 15.] ; [52. 30.],1
d3,1,0.0,30.425829,[34  7] ; [24 56],[19.65289256 21.34710744] ; [38.34710744 41.65289256],1
d5,1,0.0,30.282774,[40  1] ; [38 43],[26.21311475 14.78688525] ; [51.78688525 29.21311475],1
a3,1,0.0,28.253622,[36  5] ; [30 51],[22.18032787 18.81967213] ; [43.81967213 37.18032787],1
a5,1,0.0,26.226013,[32  9] ; [24 58],[18.66666667 22.33333333] ; [37.33333333 44.66666667],1
a4,1,6.7e-05,15.886129,[20 20] ; [13 69],[10.81967213 29.18032787] ; [22.18032787 59.81967213],1
v2,1,0.000125,14.711299,[22 17] ; [17 63],[12.78151261 26.21848739] ; [26.21848739 53.78151261],1
a2,1,0.001268,10.388514,[ 9 32] ; [ 3 79],[ 4. 37.] ; [ 8. 74.],0
s8,1,0.008888,6.845217,[13 28] ; [10 72],[ 7.66666667 33.33333333] ; [15.33333333 66.66666667],0
s7,1,0.014112,6.024022,[15 23] ; [15 66],[ 9.57983193 28.42016807] ; [20.42016807 60.57983193],0
a6,1,0.015236,5.888992,[28 13] ; [37 45],[21.66666667 19.33333333] ; [43.33333333 38.66666667],0
u1,1,0.02769,4.847291,[ 5 36] ; [ 2 80],[ 2.33333333 38.66666667] ; [ 4.66666667 77.33333333],0
a7,1,0.033827,4.50342,[29 12] ; [41 40],[23.52459016 17.47540984] ; [46.47540984 34.52459016],0
p1,1,0.084151,2.982842,[ 8 33] ; [ 7 74],[ 5.04098361 35.95901639] ; [ 9.95901639 71.04098361],0
r2,1,0.101576,2.680629,[32  5] ; [59 22],[28.53389831  8.46610169] ; [62.46610169 18.53389831],0
b2,1,0.108736,2.572495,[14 14] ; [13 29],[10.8 17.2] ; [16.2 25.8],0
b3,1,0.108736,2.572495,[14 14] ; [13 29],[10.8 17.2] ; [16.2 25.8],0
v3,1,0.11259,2.517483,[14 25] ; [18 63],[10.4 28.6] ; [21.6 59.4],0
s3,1,0.129033,2.304104,[20 21] ; [28 53],[16.13114754 24.86885246] ; [31.86885246 49.13114754],0
s2,1,0.167629,1.904025,[16 25] ; [22 60],[12.66666667 28.33333333] ; [25.33333333 56.66666667],0
r3,1,0.170138,1.881731,[34  7] ; [58 23],[30.91803279 10.08196721] ; [61.08196721 19.91803279],0
n3,1,0.180512,1.793406,[10 10] ; [20  9],[12.24489796  7.75510204] ; [17.75510204 11.24489796],0
p2,1,0.217608,1.520076,[20 21] ; [49 32],[23.18852459 17.81147541] ; [45.81147541 35.18852459],0
n4,1,0.244125,1.356618,[27 14] ; [45 37],[24. 17.] ; [48. 34.],0
p8,1,0.249546,1.325842,[ 8 31] ; [25 57],[10.63636364 28.36363636] ; [22.36363636 59.63636364],0
s5,1,0.34872,0.878109,[ 9 29] ; [13 66],[ 7.14529915 30.85470085] ; [14.85470085 64.14529915],0
u2,1,0.354827,0.856118,[1 4] ; [21 30],[1.96428571 3.03571429] ; [20.03571429 30.96428571],0
n2,1,0.362427,0.829467,[12  8] ; [21  8],[13.46938776  6.53061224] ; [19.53061224  9.46938776],0
p10,1,0.386773,0.749064,[27 14] ; [45 33],[24.80672269 16.19327731] ; [47.19327731 30.80672269],0
p3,1,0.388903,0.742369,[10 30] ; [15 67],[ 8.19672131 31.80327869] ; [16.80327869 65.19672131],0
v4,1,0.39327,0.728809,[29 12] ; [63 18],[30.91803279 10.08196721] ; [61.08196721 19.91803279],0
b1,1,0.427073,0.630769,[13 28] ; [32 50],[15. 26.] ; [30. 52.],0
v1,1,0.455852,0.556061,[13 25] ; [22 58],[11.27118644 26.72881356] ; [23.72881356 56.27118644],0
n1,1,0.570501,0.321844,[ 6 13] ; [ 7 22],[ 5.14583333 13.85416667] ; [ 7.85416667 21.14583333],0
n5,1,0.599682,0.275476,[24 17] ; [52 30],[25.33333333 15.66666667] ; [50.66666667 31.33333333],0
p11,1,0.602412,0.271373,[26 15] ; [48 34],[24.66666667 16.33333333] ; [49.33333333 32.66666667],0
r4,1,0.609713,0.260593,[21 20] ; [38 44],[19.66666667 21.33333333] ; [39.33333333 42.66666667],0
u3,1,0.671475,0.179882,[2 3] ; [16 36],[1.57894737 3.42105263] ; [16.42105263 35.57894737],0
s6,1,0.672015,0.179254,[17 24] ; [30 50],[15.92561983 25.07438017] ; [31.07438017 48.92561983],0
b5,1,0.694977,0.15375,[26 15] ; [49 33],[25. 16.] ; [50. 32.],0
s1,1,0.735868,0.113792,[ 1 39] ; [ 3 79],[ 1.31147541 38.68852459] ; [ 2.68852459 79.31147541],0
p7,1,0.749625,0.101847,[13 27] ; [28 51],[13.78151261 26.21848739] ; [27.21848739 51.78151261],0
p6,1,0.768979,0.086266,[ 7 31] ; [13 67],[ 6.44067797 31.55932203] ; [13.55932203 66.44067797],0
b4,1,0.795165,0.067397,[25 16] ; [48 34],[24.33333333 16.66666667] ; [48.66666667 33.33333333],0
a8,1,0.852384,0.034625,[ 3 37] ; [ 5 71],[ 2.75862069 37.24137931] ; [ 5.24137931 70.75862069],0
s4,1,0.879145,0.02312,[ 9 32] ; [19 63],[ 9.33333333 31.66666667] ; [18.66666667 63.33333333],0
p9,1,0.886472,0.020383,[27 12] ; [55 23],[27.33333333 11.66666667] ; [54.66666667 23.33333333],0
n6,1,1.0,0.0,[28 13] ; [56 26],[28. 13.] ; [56. 26.],0
a1,1,1.0,0.0,[ 3 38] ; [ 6 76],[ 3. 38.] ; [ 6. 76.],0
