Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,29.849187,[32 63] ; [30  4],[45.65891473 49.34108527] ; [16.34108527 17.65891473],1
s7,1,0.000458,12.278113,[19 69] ; [18 15],[26.90909091 61.09090909] ; [10.09090909 22.90909091],1
p9,1,0.000858,11.112407,[53 41] ; [30  4],[60.953125 33.046875] ; [22.046875 11.953125],1
a8,1,0.004163,8.211308,[ 3 87] ; [ 6 26],[ 6.63934426 83.36065574] ; [ 2.36065574 29.63934426],0
p10,1,0.007447,7.161934,[50 44] ; [27  7],[56.546875 37.453125] ; [20.453125 13.546875],0
s2,1,0.012223,6.278276,[30 65] ; [19 15],[36.08527132 58.91472868] ; [12.91472868 21.08527132],0
p11,1,0.016627,5.735294,[54 42] ; [27  7],[59.81538462 36.18461538] ; [21.18461538 12.81538462],0
p1,1,0.017458,5.649729,[ 3 91] ; [ 5 29],[ 5.875 88.125] ; [ 2.125 31.875],0
a2,1,0.031612,4.619411,[ 7 89] ; [ 7 27],[10.33846154 85.66153846] ; [ 3.66153846 30.33846154],0
s3,1,0.038687,4.27455,[36 58] ; [20 14],[41.125 52.875] ; [14.875 19.125],0
r4,1,0.042948,4.097451,[68 28] ; [30  4],[72.36923077 23.63076923] ; [25.63076923  8.36923077],0
p4,1,0.04826,3.900896,[35 61] ; [19 15],[39.87692308 56.12307692] ; [14.12307692 19.87692308],0
p2,1,0.057583,3.605656,[65 30] ; [29  5],[69.2248062 25.7751938] ; [24.7751938  9.2248062],0
u2,1,0.067556,3.341435,[25 21] ; [10  2],[27.75862069 18.24137931] ; [7.24137931 4.75862069],0
p8,1,0.073063,3.212827,[34 62] ; [18 16],[38.4 57.6] ; [13.6 20.4],0
r3,1,0.093458,2.813787,[79 17] ; [32  2],[81.96923077 14.03076923] ; [29.03076923  4.96923077],0
a5,1,0.113846,2.500003,[47 49] ; [22 12],[50.95384615 45.04615385] ; [18.04615385 15.95384615],0
d1,1,0.134498,2.239803,[34 62] ; [17 17],[37.66153846 58.33846154] ; [13.33846154 20.66153846],0
v4,1,0.173348,1.853746,[80 14] ; [32  2],[82.25 11.75] ; [29.75  4.25],0
b2,1,0.175099,1.838738,[12 41] ; [ 9 15],[14.45454545 38.54545455] ; [ 6.54545455 17.45454545],0
b3,1,0.175099,1.838738,[12 41] ; [ 9 15],[14.45454545 38.54545455] ; [ 6.54545455 17.45454545],0
a3,1,0.186691,1.743543,[49 46] ; [22 12],[52.28682171 42.71317829] ; [18.71317829 15.28682171],0
p6,1,0.196382,1.669077,[20 74] ; [11 23],[22.765625 71.234375] ; [ 8.234375 25.765625],0
d2,1,0.215246,1.535786,[31 65] ; [15 19],[33.96923077 62.03076923] ; [12.03076923 21.96923077],0
a4,1,0.24276,1.364494,[29 67] ; [14 20],[31.75384615 64.24615385] ; [11.24615385 22.75384615],0
a7,1,0.271939,1.206938,[63 32] ; [26  8],[65.54263566 29.45736434] ; [23.45736434 10.54263566],0
n1,1,0.280514,1.164599,[ 7 24] ; [5 8],[ 8.45454545 22.54545455] ; [3.54545455 9.45454545],0
s1,1,0.287158,1.132898,[ 8 88] ; [ 1 33],[ 6.64615385 89.35384615] ; [ 2.35384615 31.64615385],0
p7,1,0.332244,0.940133,[47 48] ; [19 13],[49.37007874 45.62992126] ; [16.62992126 15.37007874],0
s5,1,0.33885,0.914776,[23 70] ; [11 22],[25.0952381 67.9047619] ; [ 8.9047619 24.0952381],0
u3,1,0.364383,0.82273,[28 18] ; [9 3],[29.34482759 16.65517241] ; [7.65517241 4.34482759],0
p3,1,0.368306,0.809373,[34 62] ; [15 19],[36.18461538 59.81538462] ; [12.81538462 21.18461538],0
v1,1,0.370227,0.802902,[24 71] ; [11 22],[25.9765625 69.0234375] ; [ 9.0234375 23.9765625],0
