Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,29.084766,[22  5] ; [11 45],[10.73493976 16.26506024] ; [22.26506024 33.73493976],1
s7,1,2e-06,22.431347,[20  6] ; [12 43],[10.27160494 15.72839506] ; [21.72839506 33.27160494],1
s6,1,2.6e-05,17.680031,[20  7] ; [15 43],[11.11764706 15.88235294] ; [23.88235294 34.11764706],1
s8,1,0.000409,12.491279,[13 15] ; [ 7 51],[ 6.51162791 21.48837209] ; [13.48837209 44.51162791],1
p2,1,0.003997,8.285093,[22  6] ; [25 30],[15.85542169 12.14457831] ; [31.14457831 23.85542169],0
v2,1,0.009036,6.815657,[17 11] ; [17 38],[11.46987952 16.53012048] ; [22.53012048 32.46987952],0
p7,1,0.00931,6.762326,[16 12] ; [15 39],[10.58536585 17.41463415] ; [20.41463415 33.58536585],0
s5,1,0.010543,6.540692,[ 8 18] ; [ 5 52],[ 4.07228916 21.92771084] ; [ 8.92771084 48.07228916],0
p6,1,0.015955,5.807867,[10 18] ; [ 7 47],[ 5.80487805 22.19512195] ; [11.19512195 42.80487805],0
r3,1,0.017602,5.635329,[20  7] ; [26 30],[14.96385542 12.03614458] ; [31.03614458 24.96385542],0
p10,1,0.020144,5.399408,[20  8] ; [24 30],[15.02439024 12.97560976] ; [28.97560976 25.02439024],0
a3,1,0.030537,4.678803,[22  6] ; [31 26],[17.45882353 10.54117647] ; [35.54117647 21.45882353],0
s4,1,0.031917,4.60294,[ 8 20] ; [ 6 52],[ 4.55813953 23.44186047] ; [ 9.44186047 48.55813953],0
v3,1,0.04299,4.09579,[11 17] ; [11 47],[ 7.1627907 20.8372093] ; [14.8372093 43.1627907],0
n1,1,0.067742,3.336898,[ 3 10] ; [14 12],[5.66666667 7.33333333] ; [11.33333333 14.66666667],0
p9,1,0.070263,3.276863,[21  7] ; [30 25],[17.20481928 10.79518072] ; [33.79518072 21.20481928],0
p4,1,0.071814,3.241071,[13 15] ; [15 41],[ 9.33333333 18.66666667] ; [18.66666667 37.33333333],0
p11,1,0.087407,2.921489,[19  9] ; [28 30],[15.30232558 12.69767442] ; [31.69767442 26.30232558],0
p3,1,0.095142,2.785146,[12 16] ; [14 42],[ 8.66666667 19.33333333] ; [17.33333333 38.66666667],0
b5,1,0.122844,2.38068,[18 10] ; [27 31],[14.65116279 13.34883721] ; [30.34883721 27.65116279],0
b4,1,0.16983,1.884439,[13 15] ; [36 22],[15.95348837 12.04651163] ; [33.04651163 24.95348837],0
p5,1,0.196198,1.670456,[ 1 27] ; [ 7 50],[ 2.63529412 25.36470588] ; [ 5.36470588 51.63529412],0
d4,1,0.213985,1.544257,[21  7] ; [35 22],[18.44705882  9.55294118] ; [37.55294118 19.44705882],0
d3,1,0.221897,1.492058,[16 12] ; [25 33],[13.34883721 14.65116279] ; [27.65116279 30.34883721],0
b1,1,0.28434,1.146227,[12 16] ; [32 26],[14.3255814 13.6744186] ; [29.6744186 28.3255814],0
n6,1,0.285101,1.142614,[18  7] ; [34 23],[15.85365854  9.14634146] ; [36.14634146 20.85365854],0
d1,1,0.287734,1.130192,[14 14] ; [22 36],[11.72093023 16.27906977] ; [24.27906977 33.72093023],0
n5,1,0.296115,1.091611,[23  3] ; [45 12],[21.30120482  4.69879518] ; [46.69879518 10.30120482],0
d5,1,0.298672,1.080113,[21  7] ; [37 21],[18.88372093  9.11627907] ; [39.11627907 18.88372093],0
a5,1,0.329972,0.949009,[19  9] ; [33 25],[16.93023256 11.06976744] ; [35.06976744 22.93023256],0
s1,1,0.344496,0.893627,[ 3 25] ; [ 3 55],[ 1.95348837 26.04651163] ; [ 4.04651163 53.95348837],0
u2,1,0.348314,0.879588,[1 4] ; [11 15],[1.93548387 3.06451613] ; [10.06451613 15.93548387],0
u1,1,0.389078,0.741821,[ 1 27] ; [ 5 53],[ 1.95348837 26.04651163] ; [ 4.04651163 53.95348837],0
u3,1,0.451323,0.567326,[2 4] ; [ 5 21],[1.3125 4.6875] ; [ 5.6875 20.3125],0
b2,1,0.475501,0.509165,[ 6 14] ; [15 23],[ 7.24137931 12.75862069] ; [13.75862069 24.24137931],0
b3,1,0.475501,0.509165,[ 6 14] ; [15 23],[ 7.24137931 12.75862069] ; [13.75862069 24.24137931],0
r1,1,0.476212,0.507525,[ 9 18] ; [15 43],[ 7.62352941 19.37647059] ; [16.37647059 41.62352941],0
p1,1,0.484348,0.489057,[ 2 26] ; [ 7 51],[ 2.93023256 25.06976744] ; [ 6.06976744 51.93023256],0
n3,1,0.495628,0.464286,[6 7] ; [15 11],[7. 6.] ; [14. 12.],0
v4,1,0.546012,0.36451,[16  9] ; [33 25],[14.75903614 10.24096386] ; [34.24096386 23.75903614],0
a1,1,0.546945,0.362818,[ 3 25] ; [ 9 49],[ 3.90697674 24.09302326] ; [ 8.09302326 49.90697674],0
v1,1,0.574467,0.315265,[10 16] ; [18 38],[ 8.87804878 17.12195122] ; [19.12195122 36.87804878],0
a7,1,0.580204,0.305904,[11 17] ; [26 31],[12.18823529 15.81176471] ; [24.81176471 32.18823529],0
d2,1,0.642579,0.215385,[14 14] ; [25 31],[13. 15.] ; [26. 30.],0
p8,1,0.691569,0.157392,[ 8 20] ; [14 43],[ 7.24705882 20.75294118] ; [14.75294118 42.24705882],0
a4,1,0.706279,0.142022,[12 16] ; [22 35],[11.2 16.8] ; [22.8 34.2],0
n2,1,0.810181,0.057692,[9 4] ; [17  9],[8.66666667 4.33333333] ; [17.33333333  8.66666667],0
a2,1,0.854294,0.033724,[ 3 25] ; [ 7 51],[ 3.25581395 24.74418605] ; [ 6.74418605 51.25581395],0
r2,1,0.865481,0.028697,[14 10] ; [32 21],[14.33766234  9.66233766] ; [31.66233766 21.33766234],0
a8,1,0.947314,0.004367,[ 2 26] ; [ 4 49],[ 2.07407407 25.92592593] ; [ 3.92592593 49.07407407],0
a6,1,0.991439,0.000115,[15 13] ; [31 27],[14.97674419 13.02325581] ; [31.02325581 26.97674419],0
p12,1,1.0,0.0,[ 1 27] ; [ 2 54],[ 1. 27.] ; [ 2. 54.],0
