Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000307,13.026512,[45 11] ; [11 16],[37.78313253 18.21686747] ; [18.21686747  8.78313253],1
r2,1,0.001023,10.784645,[50  6] ; [15 11],[44.3902439 11.6097561] ; [20.6097561  5.3902439],0
b4,1,0.027128,4.882656,[39 17] ; [12 15],[34.40963855 21.59036145] ; [16.59036145 10.40963855],0
n4,1,0.073766,3.19717,[26 30] ; [ 7 20],[22.26506024 33.73493976] ; [10.73493976 16.26506024],0
a5,1,0.087065,2.927818,[34 22] ; [11 16],[30.36144578 25.63855422] ; [14.63855422 12.36144578],0
r3,1,0.094251,2.800227,[51  5] ; [21  6],[48.57831325  7.42168675] ; [23.42168675  3.57831325],0
n6,1,0.119855,2.419215,[23 33] ; [16 11],[26.31325301 29.68674699] ; [12.68674699 14.31325301],0
p7,1,0.11995,2.417972,[21 35] ; [15 12],[24.28915663 31.71084337] ; [11.71084337 15.28915663],0
n3,1,0.149443,2.077922,[15  5] ; [6 6],[13.125  6.875] ; [7.875 4.125],0
n1,1,0.228366,1.45101,[ 8 14] ; [ 2 10],[ 6.47058824 15.52941176] ; [3.52941176 8.47058824],0
a4,1,0.23171,1.430333,[22 34] ; [ 7 20],[19.56626506 36.43373494] ; [ 9.43373494 17.56626506],0
p4,1,0.278199,1.175867,[20 36] ; [13 14],[22.26506024 33.73493976] ; [10.73493976 16.26506024],0
u1,1,0.281594,1.159382,[ 6 50] ; [ 1 26],[ 4.72289157 51.27710843] ; [ 2.27710843 24.72289157],0
v4,1,0.304499,1.054387,[46  9] ; [20  7],[44.26829268 10.73170732] ; [21.73170732  5.26829268],0
p2,1,0.354601,0.856923,[33 23] ; [13 14],[31.03614458 24.96385542] ; [14.96385542 12.03614458],0
u2,1,0.361535,0.832555,[11 13] ; [8 5],[12.32432432 11.67567568] ; [6.67567568 6.32432432],0
s4,1,0.365678,0.818298,[ 8 48] ; [ 6 21],[ 9.44578313 46.55421687] ; [ 4.55421687 22.44578313],0
p6,1,0.367097,0.813467,[10 45] ; [ 7 19],[11.54320988 43.45679012] ; [ 5.45679012 20.54320988],0
s3,1,0.370645,0.801499,[23 33] ; [ 8 18],[21.17073171 34.82926829] ; [ 9.82926829 16.17073171],0
v1,1,0.372521,0.795239,[20 36] ; [ 7 20],[18.21686747 37.78313253] ; [ 8.78313253 18.21686747],0
v2,1,0.380094,0.770396,[26 29] ; [10 17],[24.14634146 30.85365854] ; [11.85365854 15.14634146],0
d4,1,0.413092,0.669883,[44 12] ; [19  8],[42.5060241 13.4939759] ; [20.4939759  6.5060241],0
d3,1,0.418619,0.654188,[30 26] ; [17 10],[31.71084337 24.28915663] ; [15.28915663 11.71084337],0
b3,1,0.427862,0.62862,[ 6 25] ; [ 5 12],[ 7.10416667 23.89583333] ; [ 3.89583333 13.10416667],0
b2,1,0.427862,0.62862,[ 6 25] ; [ 5 12],[ 7.10416667 23.89583333] ; [ 3.89583333 13.10416667],0
a6,1,0.428459,0.626996,[28 28] ; [16 11],[29.68674699 26.31325301] ; [14.31325301 12.68674699],0
p8,1,0.435967,0.606873,[16 40] ; [10 17],[17.54216867 38.45783133] ; [ 8.45783133 18.54216867],0
b5,1,0.44097,0.593756,[32 24] ; [13 14],[30.36144578 25.63855422] ; [14.63855422 12.36144578],0
a7,1,0.443693,0.586714,[34 22] ; [14 13],[32.38554217 23.61445783] ; [15.61445783 11.38554217],0
v3,1,0.527318,0.399557,[15 37] ; [ 6 21],[13.82278481 38.17721519] ; [ 7.17721519 19.82278481],0
s2,1,0.537627,0.379956,[15 41] ; [ 9 18],[16.19277108 39.80722892] ; [ 7.80722892 19.19277108],0
s1,1,0.542207,0.371464,[ 4 52] ; [ 3 24],[ 4.72289157 51.27710843] ; [ 2.27710843 24.72289157],0
a2,1,0.547167,0.362418,[ 9 47] ; [ 3 24],[ 8.09638554 47.90361446] ; [ 3.90361446 23.09638554],0
a1,1,0.593459,0.284975,[ 1 55] ; [ 1 26],[ 1.34939759 54.65060241] ; [ 0.65060241 26.34939759],0
a8,1,0.622582,0.242255,[ 1 52] ; [ 1 26],[ 1.325 51.675] ; [ 0.675 26.325],0
a3,1,0.64959,0.206418,[32 24] ; [14 13],[31.03614458 24.96385542] ; [14.96385542 12.03614458],0
p1,1,0.729424,0.119641,[ 3 52] ; [ 1 26],[ 2.68292683 52.31707317] ; [ 1.31707317 25.68292683],0
b1,1,0.736827,0.112935,[31 25] ; [16 11],[31.71084337 24.28915663] ; [15.28915663 11.71084337],0
d2,1,0.770648,0.084988,[23 33] ; [12 15],[23.61445783 32.38554217] ; [11.38554217 15.61445783],0
u3,1,0.792538,0.069177,[14 10] ; [7 6],[13.62162162 10.37837838] ; [7.37837838 5.62162162],0
s8,1,0.794352,0.067945,[ 7 48] ; [ 4 23],[ 7.37804878 47.62195122] ; [ 3.62195122 23.37804878],0
s5,1,0.807455,0.059395,[ 9 46] ; [ 5 22],[ 9.3902439 45.6097561] ; [ 4.6097561 22.3902439],0
s6,1,0.824491,0.049183,[19 36] ; [10 17],[19.45121951 35.54878049] ; [ 9.54878049 17.45121951],0
p3,1,0.824548,0.049151,[18 38] ; [ 9 17],[18.43902439 37.56097561] ; [ 8.56097561 17.43902439],0
n2,1,0.839931,0.040797,[13  8] ; [7 5],[12.72727273  8.27272727] ; [7.27272727 4.72727273],0
d1,1,0.854862,0.033459,[24 32] ; [11 16],[23.61445783 32.38554217] ; [11.38554217 15.61445783],0
d5,1,0.920645,0.009924,[40 16] ; [19  8],[39.80722892 16.19277108] ; [19.19277108  7.80722892],0
p10,1,0.941519,0.005382,[10 46] ; [ 5 22],[10.12048193 45.87951807] ; [ 4.87951807 22.12048193],0
p11,1,0.986407,0.00029,[25 31] ; [12 15],[24.96385542 31.03614458] ; [12.03614458 14.96385542],0
s7,1,1.0,0.0,[12 38] ; [ 6 19],[12. 38.] ; [ 6. 19.],0
