Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.002042,9.511841,[ 2 23] ; [25 34],[ 8.03571429 16.96428571] ; [18.96428571 40.03571429],0
d1,1,0.005642,7.661131,[ 7 18] ; [36 23],[12.79761905 12.20238095] ; [30.20238095 28.79761905],0
d2,1,0.00975,6.680035,[ 4 21] ; [27 32],[ 9.22619048 15.77380952] ; [21.77380952 37.22619048],0
d3,1,0.018156,5.581017,[12 13] ; [44 15],[16.66666667  8.33333333] ; [39.33333333 19.66666667],0
a3,1,0.018233,5.573634,[11 14] ; [42 17],[15.77380952  9.22619048] ; [37.22619048 21.77380952],0
v2,1,0.025428,4.994466,[ 7 16] ; [32 23],[11.5 11.5] ; [27.5 27.5],0
p9,1,0.064265,3.423749,[16  8] ; [50  9],[19.08433735  4.91566265] ; [46.91566265 12.08433735],0
b3,1,0.06954,3.293853,[ 1 10] ; [13 21],[3.42222222 7.57777778] ; [10.57777778 23.42222222],0
b2,1,0.06954,3.293853,[ 1 10] ; [13 21],[3.42222222 7.57777778] ; [10.57777778 23.42222222],0
d5,1,0.087716,2.915797,[16  9] ; [48 11],[19.04761905  5.95238095] ; [44.95238095 14.04761905],0
s5,1,0.093994,2.804612,[ 6 18] ; [26 32],[ 9.36585366 14.63414634] ; [22.63414634 35.36585366],0
p7,1,0.095949,2.771619,[16  9] ; [47 11],[18.97590361  6.02409639] ; [44.02409639 13.97590361],0
p10,1,0.102213,2.670663,[14 10] ; [45 14],[17.06024096  6.93975904] ; [41.93975904 17.06024096],0
r4,1,0.159714,1.976932,[19  6] ; [52  7],[21.13095238  3.86904762] ; [49.86904762  9.13095238],0
a7,1,0.166735,1.912055,[21  4] ; [41 18],[18.45238095  6.54761905] ; [43.54761905 15.45238095],0
u1,1,0.195278,1.677342,[ 1 24] ; [ 8 51],[ 2.67857143 22.32142857] ; [ 6.32142857 52.67857143],0
v1,1,0.216781,1.525553,[ 9 14] ; [31 26],[11.5 11.5] ; [28.5 28.5],0
p4,1,0.248841,1.329801,[16  9] ; [45 14],[18.1547619  6.8452381] ; [42.8452381 16.1547619],0
d4,1,0.249085,1.32843,[18  7] ; [49 10],[19.94047619  5.05952381] ; [47.05952381 11.94047619],0
p8,1,0.287094,1.133197,[13 12] ; [38 21],[15.17857143  9.82142857] ; [35.82142857 23.17857143],0
r1,1,0.340237,0.90954,[15 10] ; [41 17],[16.86746988  8.13253012] ; [39.13253012 18.86746988],0
v4,1,0.34959,0.874946,[24  1] ; [53  6],[22.91666667  2.08333333] ; [54.08333333  4.91666667],0
u3,1,0.397332,0.716387,[11  3] ; [11  6],[9.93548387 4.06451613] ; [12.06451613  4.93548387],0
s8,1,0.408422,0.68339,[ 9 16] ; [27 32],[10.71428571 14.28571429] ; [25.28571429 33.71428571],0
p12,1,0.466579,0.530065,[ 1 24] ; [ 5 54],[ 1.78571429 23.21428571] ; [ 4.21428571 54.78571429],0
a6,1,0.468195,0.526232,[14 11] ; [38 21],[15.47619048  9.52380952] ; [36.52380952 22.47619048],0
b4,1,0.468195,0.526232,[14 11] ; [38 21],[15.47619048  9.52380952] ; [36.52380952 22.47619048],0
s4,1,0.490889,0.474576,[ 5 20] ; [16 43],[ 6.25 18.75] ; [14.75 44.25],0
p11,1,0.514787,0.424324,[16  9] ; [42 17],[17.26190476  7.73809524] ; [40.73809524 18.26190476],0
p6,1,0.525724,0.40265,[ 7 16] ; [22 36],[ 8.2345679 14.7654321] ; [20.7654321 37.2345679],0
u2,1,0.557765,0.343588,[9 4] ; [10  7],[8.23333333 4.76666667] ; [10.76666667  6.23333333],0
v3,1,0.600534,0.274192,[ 5 17] ; [16 40],[ 5.92307692 16.07692308] ; [15.07692308 40.92307692],0
s3,1,0.615744,0.251895,[14 11] ; [29 29],[12.95180723 12.04819277] ; [30.04819277 27.95180723],0
a1,1,0.622508,0.242358,[ 1 24] ; [ 4 55],[ 1.48809524 23.51190476] ; [ 3.51190476 55.48809524],0
p1,1,0.649156,0.206966,[ 4 21] ; [ 7 50],[ 3.35365854 21.64634146] ; [ 7.64634146 49.35365854],0
s6,1,0.650701,0.205017,[17  8] ; [43 16],[17.85714286  7.14285714] ; [42.14285714 16.85714286],0
n3,1,0.694354,0.154412,[3 1] ; [11  6],[2.66666667 1.33333333] ; [11.33333333  5.66666667],0
p2,1,0.747359,0.103764,[21  4] ; [47 11],[20.48192771  4.51807229] ; [47.51807229 10.48192771],0
p5,1,0.756789,0.095914,[ 2 23] ; [ 6 53],[ 2.38095238 22.61904762] ; [ 5.61904762 53.38095238],0
n6,1,0.774461,0.082108,[16  9] ; [39 19],[16.56626506  8.43373494] ; [38.43373494 19.56626506],0
n5,1,0.826275,0.048172,[ 8 17] ; [20 38],[ 8.43373494 16.56626506] ; [19.56626506 38.43373494],0
b1,1,0.840161,0.040678,[10 15] ; [25 34],[10.41666667 14.58333333] ; [24.58333333 34.41666667],0
