Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.003517,8.517664,[15 39] ; [14  8],[20.60526316 33.39473684] ; [ 8.39473684 13.60526316],0
a3,1,0.019362,5.468481,[30 25] ; [19  4],[34.55128205 20.44871795] ; [14.44871795  8.55128205],0
p1,1,0.028335,4.807594,[ 3 53] ; [ 5 18],[ 5.67088608 50.32911392] ; [ 2.32911392 20.67088608],0
n4,1,0.029433,4.742116,[29 27] ; [18  5],[33.3164557 22.6835443] ; [13.6835443  9.3164557],0
a2,1,0.045368,4.004923,[ 5 51] ; [ 6 17],[ 7.79746835 48.20253165] ; [ 3.20253165 19.79746835],0
a1,1,0.063597,3.441014,[ 4 52] ; [ 5 18],[ 6.37974684 49.62025316] ; [ 2.62025316 20.37974684],0
p4,1,0.075206,3.165584,[22 34] ; [ 4 18],[18.66666667 37.33333333] ; [ 7.33333333 14.66666667],0
a4,1,0.107454,2.591265,[18 37] ; [12 11],[21.15384615 33.84615385] ; [ 8.84615385 14.15384615],0
d5,1,0.107677,2.587982,[36 20] ; [19  4],[38.98734177 17.01265823] ; [16.01265823  6.98734177],0
s1,1,0.116234,2.467341,[ 2 54] ; [ 3 20],[ 3.5443038 52.4556962] ; [ 1.4556962 21.5443038],0
s5,1,0.136656,2.215216,[13 41] ; [ 2 20],[10.65789474 43.34210526] ; [ 4.34210526 17.65789474],0
d1,1,0.190024,1.717431,[25 31] ; [14  9],[27.64556962 28.35443038] ; [11.35443038 11.64556962],0
d2,1,0.194172,1.685676,[26 29] ; [14  8],[28.57142857 26.42857143] ; [11.42857143 10.57142857],0
s4,1,0.233202,1.421223,[11 45] ; [ 2 21],[ 9.21518987 46.78481013] ; [ 3.78481013 19.21518987],0
v1,1,0.248368,1.332458,[17 37] ; [10 12],[19.18421053 34.81578947] ; [ 7.81578947 14.18421053],0
d4,1,0.268728,1.22323,[36 20] ; [17  5],[38.05128205 17.94871795] ; [14.94871795  7.05128205],0
