Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,23.677303,[66  3] ; [28 19],[55.9137931 13.0862069] ; [38.0862069  8.9137931],1
r3,1,1e-06,23.38278,[67  3] ; [31 20],[56.69421488 13.30578512] ; [41.30578512  9.69421488],1
v4,1,2e-06,22.77908,[67  3] ; [32 20],[56.80327869 13.19672131] ; [42.19672131  9.80327869],1
p10,1,3e-06,21.764442,[62  8] ; [25 25],[50.75 19.25] ; [36.25 13.75],1
s5,1,0.000421,12.436843,[27 37] ; [ 6 44],[18.52631579 45.47368421] ; [14.47368421 35.52631579],1
n6,1,0.001676,9.87444,[61  9] ; [32 19],[53.80165289 16.19834711] ; [39.19834711 11.80165289],0
p2,1,0.001996,9.553213,[54 16] ; [25 25],[46.08333333 23.91666667] ; [32.91666667 17.08333333],0
p9,1,0.00207,9.486277,[63  7] ; [33 16],[56.47058824 13.52941176] ; [39.52941176  9.47058824],0
s6,1,0.006697,7.352355,[45 22] ; [22 30],[37.72268908 29.27731092] ; [29.27731092 22.72268908],0
b1,1,0.013882,6.053086,[26 44] ; [31 21],[32.70491803 37.29508197] ; [24.29508197 27.70491803],0
b4,1,0.015836,5.821045,[45 25] ; [22 30],[38.44262295 31.55737705] ; [28.55737705 23.44262295],0
p7,1,0.016367,5.763001,[41 28] ; [19 32],[34.5 34.5] ; [25.5 25.5],0
p11,1,0.023191,5.154134,[55 15] ; [31 21],[49.3442623 20.6557377] ; [36.6557377 15.3442623],0
p8,1,0.024384,5.06708,[33 35] ; [14 36],[27.08474576 40.91525424] ; [19.91525424 30.08474576],0
s8,1,0.058933,3.567151,[29 41] ; [13 39],[24.09836066 45.90163934] ; [17.90163934 34.09836066],0
n2,1,0.059462,3.552338,[22  4] ; [12  8],[19.2173913  6.7826087] ; [14.7826087  5.2173913],0
s3,1,0.070199,3.278362,[38 31] ; [20 32],[33.07438017 35.92561983] ; [24.92561983 27.07438017],0
p3,1,0.078194,3.102041,[38 32] ; [19 31],[33.25 36.75] ; [23.75 26.25],0
a7,1,0.088797,2.896043,[47 23] ; [27 25],[42.45901639 27.54098361] ; [31.54098361 20.45901639],0
s2,1,0.115017,2.483893,[37 33] ; [20 32],[32.70491803 37.29508197] ; [24.29508197 27.70491803],0
p6,1,0.117257,2.453585,[26 42] ; [12 37],[22.08547009 45.91452991] ; [15.91452991 33.08547009],0
n1,1,0.179094,1.805128,[12 12] ; [ 6 14],[ 9.81818182 14.18181818] ; [ 8.18181818 11.81818182],0
p5,1,0.196134,1.670929,[ 9 60] ; [ 3 48],[ 6.9 62.1] ; [ 5.1 45.9],0
n3,1,0.20192,1.628429,[19  7] ; [11  9],[16.95652174  9.04347826] ; [13.04347826  6.95652174],0
d4,1,0.20198,1.628,[59 11] ; [39 13],[56.2295082 13.7704918] ; [41.7704918 10.2295082],0
v1,1,0.211203,1.563163,[32 36] ; [17 31],[28.72413793 39.27586207] ; [20.27586207 27.72413793],0
p4,1,0.236223,1.402996,[40 29] ; [24 27],[36.8 32.2] ; [27.2 23.8],0
v3,1,0.29357,1.103175,[21 45] ; [12 40],[18.45762712 47.54237288] ; [14.54237288 37.45762712],0
u2,1,0.305507,1.05,[9 9] ; [3 7],[ 7.71428571 10.28571429] ; [4.28571429 5.71428571],0
b3,1,0.310659,1.027874,[18 22] ; [11 22],[15.89041096 24.10958904] ; [13.10958904 19.89041096],0
b2,1,0.310659,1.027874,[18 22] ; [11 22],[15.89041096 24.10958904] ; [13.10958904 19.89041096],0
d5,1,0.336999,0.921815,[61  9] ; [42 10],[59.09836066 10.90163934] ; [43.90163934  8.09836066],0
a3,1,0.399694,0.709245,[52 18] ; [42 10],[53.93442623 16.06557377] ; [40.06557377 11.93442623],0
d2,1,0.410632,0.676969,[34 35] ; [29 22],[36.225 32.775] ; [26.775 24.225],0
b5,1,0.45927,0.547674,[45 25] ; [30 22],[43.03278689 26.96721311] ; [31.96721311 20.03278689],0
p12,1,0.491653,0.472906,[ 3 67] ; [ 1 49],[ 2.33333333 67.66666667] ; [ 1.66666667 48.33333333],0
d1,1,0.496685,0.462012,[42 28] ; [28 24],[40.16393443 29.83606557] ; [29.83606557 22.16393443],0
u1,1,0.622481,0.242396,[ 5 65] ; [ 5 47],[ 5.73770492 64.26229508] ; [ 4.26229508 47.73770492],0
s4,1,0.64471,0.212635,[13 57] ; [ 8 44],[12.04918033 57.95081967] ; [ 8.95081967 43.04918033],0
s1,1,0.721434,0.127123,[ 3 66] ; [ 3 49],[ 3.4214876 65.5785124] ; [ 2.5785124 49.4214876],0
p1,1,0.74822,0.103033,[ 8 62] ; [ 5 47],[ 7.45901639 62.54098361] ; [ 5.54098361 46.45901639],0
v2,1,0.750641,0.100993,[29 38] ; [21 31],[28.1512605 38.8487395] ; [21.8487395 30.1512605],0
n4,1,0.758946,0.094166,[48 22] ; [37 15],[48.7704918 21.2295082] ; [36.2295082 15.7704918],0
a1,1,0.785351,0.074176,[ 7 63] ; [ 6 46],[ 7.45901639 62.54098361] ; [ 5.54098361 46.45901639],0
u3,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
n5,1,0.838716,0.041427,[51 19] ; [38 13],[51.48760331 18.51239669] ; [37.51239669 13.48760331],0
s7,1,0.862721,0.029898,[28 38] ; [20 29],[27.54782609 38.45217391] ; [20.45217391 28.54782609],0
a8,1,0.881102,0.022372,[ 7 60] ; [ 5 47],[ 6.75630252 60.24369748] ; [ 5.24369748 46.75630252],0
d3,1,0.922443,0.009478,[41 29] ; [30 22],[40.73770492 29.26229508] ; [30.26229508 21.73770492],0
a2,1,0.926636,0.008478,[13 57] ; [10 42],[13.19672131 56.80327869] ; [ 9.80327869 42.19672131],0
a6,1,0.938011,0.006048,[48 22] ; [36 16],[48.19672131 21.80327869] ; [35.80327869 16.19672131],0
a4,1,0.961156,0.002372,[34 36] ; [25 26],[34.1322314 35.8677686] ; [24.8677686 26.1322314],0
