Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,81.211347,[209  26] ; [49 63],[174.72622478  60.27377522] ; [83.27377522 28.72622478],1
n6,1,0.0,42.885816,[209  25] ; [66 46],[185.98265896  48.01734104] ; [89.01734104 22.98265896],1
p10,1,0.000131,14.633238,[182  51] ; [64 46],[167.10787172  65.89212828] ; [78.89212828 31.10787172],1
v3,1,0.000726,11.421292,[ 96 129] ; [24 79],[ 82.31707317 142.68292683] ; [37.68292683 65.31707317],1
s6,1,0.001274,10.380332,[165  69] ; [58 52],[151.69186047  82.30813953] ; [71.30813953 38.69186047],0
s7,1,0.002523,9.124034,[115 111] ; [34 69],[102.35258359 123.64741641] ; [46.64741641 56.35258359],0
p9,1,0.003164,8.710604,[184  50] ; [70 40],[172.77906977  61.22093023] ; [81.22093023 28.77906977],0
s4,1,0.009473,6.731362,[ 30 201] ; [27 85],[ 38.3877551 192.6122449] ; [18.6122449 93.3877551],0
s2,1,0.013914,6.04907,[125 105] ; [45 67],[114.32748538 115.67251462] ; [55.67251462 56.32748538],0
a2,1,0.015817,5.823087,[ 73 162] ; [21 91],[ 63.65994236 171.34005764] ; [30.34005764 81.65994236],0
v1,1,0.01704,5.692213,[120 109] ; [42 67],[109.75739645 119.24260355] ; [52.24260355 56.75739645],0
p4,1,0.017592,5.636328,[111 123] ; [38 74],[100.76878613 133.23121387] ; [48.23121387 63.76878613],0
p12,1,0.023275,5.147831,[ 19 216] ; [  2 108],[ 14.30434783 220.69565217] ; [  6.69565217 103.30434783],0
r4,1,0.02983,4.719063,[220  15] ; [97 15],[214.68299712  20.31700288] ; [102.31700288   9.68299712],0
d5,1,0.043311,4.083204,[195  39] ; [83 29],[188.01156069  45.98843931] ; [89.98843931 22.01156069],0
p3,1,0.044822,4.025336,[ 86 148] ; [29 83],[ 77.77456647 156.22543353] ; [37.22543353 74.77456647],0
a5,1,0.050232,3.833683,[175  60] ; [72 40],[167.27665706  67.72334294] ; [79.72334294 32.27665706],0
u1,1,0.053616,3.724616,[ 57 178] ; [17 95],[ 50.11527378 184.88472622] ; [23.88472622 88.11527378],0
s3,1,0.057048,3.621203,[137  93] ; [54 57],[128.82697947 101.17302053] ; [62.17302053 48.82697947],0
p11,1,0.063486,3.443881,[170  65] ; [70 42],[162.53602305  72.46397695] ; [77.46397695 34.53602305],0
d2,1,0.064805,3.409933,[122 110] ; [47 65],[113.97674419 118.02325581] ; [55.02325581 56.97674419],0
n2,1,0.072121,3.234076,[48 17] ; [24 18],[43.73831776 21.26168224] ; [28.26168224 13.73831776],0
a3,1,0.078469,3.096322,[172  62] ; [72 40],[165.01734104  68.98265896] ; [78.98265896 33.01734104],0
a8,1,0.084287,2.980233,[ 30 179] ; [ 8 97],[ 25.29299363 183.70700637] ; [12.70700637 92.29299363],0
s8,1,0.084388,2.978288,[ 99 136] ; [36 75],[ 91.69075145 143.30924855] ; [43.30924855 67.69075145],0
n3,1,0.104903,2.629378,[44 20] ; [34  7],[47.54285714 16.45714286] ; [30.45714286 10.54285714],0
p7,1,0.132891,2.258407,[103 125] ; [41 71],[ 96.56470588 131.43529412] ; [47.43529412 64.56470588],0
a6,1,0.134173,2.243541,[167  67] ; [71 41],[160.95953757  73.04046243] ; [77.04046243 34.95953757],0
p5,1,0.141575,2.160758,[ 15 216] ; [  3 108],[ 12.15789474 218.84210526] ; [  5.84210526 105.15789474],0
s5,1,0.143805,2.136759,[ 71 159] ; [24 80],[ 65.41916168 164.58083832] ; [29.58083832 74.41916168],0
d1,1,0.146968,2.103439,[139  96] ; [57 55],[132.73775216 102.26224784] ; [63.26224784 48.73775216],0
r2,1,0.215972,1.530939,[227   8] ; [104   7],[224.81213873  10.18786127] ; [106.18786127   4.81213873],0
n1,1,0.234252,1.414856,[25 39] ; [12 31],[22.13084112 41.86915888] ; [14.86915888 28.13084112],0
a1,1,0.23605,1.404027,[ 13 222] ; [  3 109],[ 10.83573487 224.16426513] ; [  5.16426513 106.83573487],0
v4,1,0.269905,1.217231,[222  12] ; [101   9],[219.71511628  14.28488372] ; [103.28488372   6.71511628],0
a4,1,0.350796,0.870576,[117 117] ; [50 62],[112.94219653 121.05780347] ; [54.05780347 57.94219653],0
p6,1,0.371341,0.799173,[ 54 179] ; [21 90],[ 50.7994186 182.2005814] ; [24.2005814 86.7994186],0
p2,1,0.403375,0.698243,[169  65] ; [76 36],[165.69364162  68.30635838] ; [79.30635838 32.69364162],0
u4,1,0.409373,0.68062,[  5 230] ; [  1 111],[  4.06340058 230.93659942] ; [  1.93659942 110.06340058],0
b5,1,0.424266,0.638468,[151  84] ; [67 45],[147.63688761  87.36311239] ; [70.36311239 41.63688761],0
u3,1,0.451813,0.566101,[39 24] ; [27 12],[40.76470588 22.23529412] ; [25.23529412 13.76470588],0
d3,1,0.501591,0.451568,[163  71] ; [74 38],[160.28323699  73.71676301] ; [76.71676301 35.28323699],0
s1,1,0.532909,0.388841,[ 14 215] ; [  5 107],[ 12.75953079 216.24046921] ; [  6.24046921 105.75953079],0
b2,1,0.543017,0.369976,[58 93] ; [20 39],[56.08571429 94.91428571] ; [21.91428571 37.08571429],0
b3,1,0.543017,0.369976,[58 93] ; [20 39],[56.08571429 94.91428571] ; [21.91428571 37.08571429],0
b4,1,0.595558,0.281748,[142  93] ; [71 41],[144.25072046  90.74927954] ; [68.74927954 43.25072046],0
d4,1,0.641646,0.216596,[190  42] ; [94 18],[191.53488372  40.46511628] ; [92.46511628 19.53488372],0
b1,1,0.64888,0.207315,[ 92 143] ; [41 71],[ 90.07204611 144.92795389] ; [42.92795389 69.07204611],0
v2,1,0.680424,0.169648,[124 102] ; [54 49],[122.27355623 103.72644377] ; [55.72644377 47.27355623],0
p1,1,0.906929,0.013669,[ 12 223] ; [  6 105],[ 12.22543353 222.77456647] ; [  5.77456647 105.22543353],0
r3,1,0.928508,0.00805,[222  12] ; [106   6],[221.8265896  12.1734104] ; [106.1734104   5.8265896],0
u2,1,0.932971,0.007074,[37 25] ; [23 15],[37.2 24.8] ; [22.8 15.2],0
a7,1,0.938285,0.005995,[166  68] ; [79 33],[165.69364162  68.30635838] ; [79.30635838 32.69364162],0
