Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2.4e-05,17.815223,[58 50] ; [ 6 34],[46.7027027 61.2972973] ; [17.2972973 22.7027027],1
a3,1,0.000589,11.810369,[92 15] ; [24 16],[84.43537415 22.56462585] ; [31.56462585  8.43537415],1
d2,1,0.001119,10.619628,[59 48] ; [10 30],[50.2244898 56.7755102] ; [18.7755102 21.2244898],0
n4,1,0.002861,8.894233,[91 16] ; [25 15],[84.43537415 22.56462585] ; [31.56462585  8.43537415],0
s4,1,0.004833,7.940748,[19 88] ; [16 24],[25.47619048 81.52380952] ; [ 9.52380952 30.47619048],0
u1,1,0.004919,7.908818,[28 80] ; [ 2 38],[21.89189189 86.10810811] ; [ 8.10810811 31.89189189],0
r1,1,0.024303,5.072848,[91 17] ; [27 13],[86.10810811 21.89189189] ; [31.89189189  8.10810811],0
d1,1,0.036805,4.35939,[64 44] ; [16 24],[58.37837838 49.62162162] ; [21.62162162 18.37837838],0
a6,1,0.045408,4.003433,[72 34] ; [20 20],[66.79452055 39.20547945] ; [25.20547945 14.79452055],0
a8,1,0.050135,3.836952,[22 74] ; [ 3 34],[18.04511278 77.95488722] ; [ 6.95488722 30.04511278],0
v1,1,0.099533,2.713014,[57 46] ; [16 24],[52.58041958 50.41958042] ; [20.41958042 19.58041958],0
p1,1,0.103967,2.643605,[  7 101] ; [ 6 34],[ 9.48648649 98.51351351] ; [ 3.51351351 36.48648649],0
n5,1,0.110606,2.545535,[78 28] ; [24 16],[74.05479452 31.94520548] ; [27.94520548 12.05479452],0
d5,1,0.13924,2.186334,[87 20] ; [28 12],[83.70748299 23.29251701] ; [31.29251701  8.70748299],0
b5,1,0.153735,2.034792,[68 40] ; [20 20],[64.21621622 43.78378378] ; [23.78378378 16.21621622],0
n6,1,0.163455,1.941964,[87 18] ; [29 11],[84. 21.] ; [32.  8.],0
a7,1,0.16914,1.890552,[68 40] ; [30 10],[71.51351351 36.48648649] ; [26.48648649 13.51351351],0
p3,1,0.202559,1.623828,[33 75] ; [ 8 32],[29.91891892 78.08108108] ; [11.08108108 28.91891892],0
r3,1,0.214548,1.54047,[102   5] ; [35  4],[100.40410959   6.59589041] ; [36.59589041  2.40410959],0
p9,1,0.240143,1.379752,[89 16] ; [29  9],[86.64335664 18.35664336] ; [31.35664336  6.64335664],0
v4,1,0.247319,1.338385,[99  7] ; [35  5],[97.28767123  8.71232877] ; [36.71232877  3.28767123],0
p5,1,0.262672,1.254617,[ 8 99] ; [ 1 39],[  6.55102041 100.44897959] ; [ 2.44897959 37.55102041],0
v3,1,0.316878,1.001791,[47 57] ; [14 25],[44.36363636 59.63636364] ; [16.63636364 22.36363636],0
s1,1,0.317623,0.998709,[  6 102] ; [ 4 35],[  7.34693878 100.65306122] ; [ 2.65306122 36.34693878],0
p10,1,0.318924,0.993356,[87 20] ; [28 10],[84.86206897 22.13793103] ; [30.13793103  7.86206897],0
p12,1,0.331171,0.944314,[ 7 99] ; [ 1 39],[  5.80821918 100.19178082] ; [ 2.19178082 37.80821918],0
v2,1,0.339109,0.913796,[64 40] ; [20 18],[61.52112676 42.47887324] ; [22.47887324 15.52112676],0
b1,1,0.349788,0.874228,[47 61] ; [14 26],[44.51351351 63.48648649] ; [16.48648649 23.51351351],0
p11,1,0.361551,0.8325,[81 27] ; [27 13],[78.81081081 29.18918919] ; [29.18918919 10.81081081],0
r4,1,0.362123,0.830516,[93 15] ; [32  8],[91.21621622 16.78378378] ; [33.78378378  6.21621622],0
p6,1,0.389829,0.739474,[25 82] ; [11 25],[26.93706294 80.06293706] ; [ 9.06293706 26.93706294],0
s6,1,0.398339,0.713336,[87 20] ; [30 10],[85.16326531 21.83673469] ; [31.83673469  8.16326531],0
d4,1,0.428844,0.625952,[89 18] ; [31  9],[87.34693878 19.65306122] ; [32.65306122  7.34693878],0
n3,1,0.540089,0.375375,[22  9] ; [8 5],[21.13636364  9.86363636] ; [8.86363636 4.13636364],0
b2,1,0.542555,0.370825,[34 41] ; [10 16],[32.67326733 42.32673267] ; [11.32673267 14.67326733],0
b3,1,0.542555,0.370825,[34 41] ; [10 16],[32.67326733 42.32673267] ; [11.32673267 14.67326733],0
s3,1,0.550707,0.356053,[77 29] ; [31  9],[78.4109589 27.5890411] ; [29.5890411 10.4109589],0
b4,1,0.608692,0.262083,[57 51] ; [23 17],[58.37837838 49.62162162] ; [21.62162162 18.37837838],0
p2,1,0.640057,0.218668,[74 34] ; [29 11],[75.16216216 32.83783784] ; [27.83783784 12.16216216],0
s5,1,0.669577,0.182097,[41 62] ; [14 25],[39.8943662 63.1056338] ; [15.1056338 23.8943662],0
u3,1,0.694188,0.154589,[11  5] ; [12  4],[11.5  4.5] ; [11.5  4.5],0
d3,1,0.720712,0.127811,[65 42] ; [23 17],[64.05442177 42.94557823] ; [23.94557823 16.05442177],0
n2,1,0.788981,0.071628,[26  6] ; [11  2],[26.31111111  5.68888889] ; [10.68888889  2.31111111],0
s2,1,0.8627,0.029907,[74 34] ; [28 12],[74.43243243 33.56756757] ; [27.56756757 12.43243243],0
r2,1,0.927627,0.00825,[100   5] ; [37  2],[99.89583333  5.10416667] ; [37.10416667  1.89583333],0
s8,1,0.932889,0.007091,[71 37] ; [26 14],[70.78378378 37.21621622] ; [26.21621622 13.78378378],0
n1,1,0.964944,0.001932,[15 17] ; [6 7],[14.93333333 17.06666667] ; [6.06666667 6.93333333],0
p8,1,0.97376,0.001082,[39 66] ; [14 24],[38.91608392 66.08391608] ; [14.08391608 23.91608392],0
p7,1,0.986875,0.000271,[53 48] ; [20 18],[53.04316547 47.95683453] ; [19.95683453 18.04316547],0
u2,1,1.0,0.0,[8 7] ; [8 7],[8. 7.] ; [8. 7.],0
