Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,24.701333,[17 10] ; [14 78],[ 7.03361345 19.96638655] ; [23.96638655 68.03361345],1
p6,1,8.6e-05,15.432194,[ 9 18] ; [ 5 86],[ 3.20338983 23.79661017] ; [10.79661017 80.20338983],1
p8,1,0.000187,13.95301,[12 14] ; [12 81],[ 5.24369748 20.75630252] ; [18.75630252 74.24369748],1
p7,1,0.001197,10.494668,[13 14] ; [16 75],[ 6.63559322 20.36440678] ; [22.36440678 68.63559322],0
v2,1,0.003148,8.719694,[16  9] ; [28 61],[ 9.64912281 15.35087719] ; [34.35087719 54.64912281],0
s6,1,0.003609,8.470686,[14 13] ; [21 71],[ 7.94117647 19.05882353] ; [27.05882353 64.94117647],0
p5,1,0.003964,8.300412,[ 5 21] ; [ 3 90],[ 1.74789916 24.25210084] ; [ 6.25210084 86.74789916],0
s1,1,0.01434,5.995777,[ 5 22] ; [ 4 88],[ 2.04201681 24.95798319] ; [ 6.95798319 85.04201681],0
r3,1,0.017617,5.633816,[24  3] ; [60 32],[19.05882353  7.94117647] ; [64.94117647 27.05882353],0
s5,1,0.021416,5.292614,[ 7 18] ; [ 9 81],[ 3.47826087 21.52173913] ; [12.52173913 77.47826087],0
r4,1,0.040468,4.198155,[21  6] ; [52 41],[16.425 10.575] ; [56.575 36.425],0
p11,1,0.05385,3.717358,[17 10] ; [39 54],[12.6 14.4] ; [43.4 49.6],0
a3,1,0.073127,3.211399,[12 15] ; [58 33],[16.01694915 10.98305085] ; [53.98305085 37.01694915],0
u2,1,0.084406,2.977946,[9 5] ; [13 22],[6.28571429 7.71428571] ; [15.71428571 19.28571429],0
a2,1,0.11693,2.457964,[ 2 25] ; [19 74],[ 4.725 22.275] ; [16.275 76.725],0
v1,1,0.13947,2.183802,[ 9 17] ; [19 73],[ 6.16949153 19.83050847] ; [21.83050847 70.16949153],0
v4,1,0.157704,1.996108,[22  5] ; [62 30],[19.05882353  7.94117647] ; [64.94117647 27.05882353],0
u3,1,0.193493,1.690821,[9 6] ; [14 21],[6.9 8.1] ; [16.1 18.9],0
r1,1,0.255408,1.293478,[18  9] ; [50 42],[15.42857143 11.57142857] ; [52.57142857 39.42857143],0
s8,1,0.257468,1.282321,[ 7 20] ; [15 77],[ 4.99159664 22.00840336] ; [17.00840336 74.99159664],0
p9,1,0.259177,1.273147,[15 12] ; [38 50],[12.44347826 14.55652174] ; [40.55652174 47.44347826],0
a6,1,0.264162,1.246811,[13 14] ; [56 37],[15.525 11.475] ; [53.475 39.525],0
p12,1,0.338444,0.916316,[ 2 25] ; [ 3 90],[ 1.125 25.875] ; [ 3.875 89.125],0
n4,1,0.360489,0.836188,[15 12] ; [60 32],[17.01680672  9.98319328] ; [57.98319328 34.01680672],0
v3,1,0.361417,0.832964,[ 9 16] ; [24 66],[ 7.17391304 17.82608696] ; [25.82608696 64.17391304],0
n3,1,0.408084,0.684376,[6 3] ; [19 18],[4.89130435 4.10869565] ; [20.10869565 16.89130435],0
d5,1,0.445087,0.583133,[19  8] ; [58 35],[17.325  9.675] ; [59.675 33.325],0
s7,1,0.483096,0.491865,[ 4 21] ; [20 69],[ 5.26315789 19.73684211] ; [18.73684211 70.26315789],0
a8,1,0.529682,0.395001,[ 3 22] ; [ 7 81],[ 2.21238938 22.78761062] ; [ 7.78761062 80.21238938],0
r2,1,0.529947,0.394494,[23  4] ; [71 18],[21.87931034  5.12068966] ; [72.12068966 16.87931034],0
p10,1,0.556134,0.346443,[13 14] ; [38 53],[11.66949153 15.33050847] ; [39.33050847 51.66949153],0
n6,1,0.560686,0.338518,[18  8] ; [58 34],[16.74576271  9.25423729] ; [59.25423729 32.74576271],0
b4,1,0.566304,0.328906,[14 13] ; [54 39],[15.3 11.7] ; [52.7 40.3],0
b1,1,0.577166,0.310839,[15 12] ; [46 47],[13.725 13.275] ; [47.275 45.725],0
s3,1,0.586702,0.295524,[ 6 21] ; [16 75],[ 5.03389831 21.96610169] ; [16.96610169 74.03389831],0
u1,1,0.609991,0.260189,[ 2 25] ; [10 83],[ 2.7 24.3] ; [ 9.3 83.7],0
a1,1,0.609991,0.260189,[ 2 25] ; [10 83],[ 2.7 24.3] ; [ 9.3 83.7],0
a7,1,0.620667,0.244931,[15 12] ; [56 36],[16.1092437 10.8907563] ; [54.8907563 37.1092437],0
a4,1,0.660982,0.192333,[10 17] ; [38 53],[10.98305085 16.01694915] ; [37.01694915 53.98305085],0
