Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,130.086344,[244   5] ; [23 31],[219.41584158  29.58415842] ; [47.58415842  6.41584158],1
v4,1,0.0,93.306612,[245   4] ; [32 24],[226.14098361  22.85901639] ; [50.85901639  5.14098361],1
r1,1,0.0,88.298394,[210  38] ; [13 43],[181.92105263  66.07894737] ; [41.07894737 14.92105263],1
r2,1,0.0,73.91975,[238   9] ; [31 24],[220.00993377  26.99006623] ; [48.99006623  6.00993377],1
p2,1,0.0,30.794348,[209  40] ; [26 27],[193.75827815  55.24172185] ; [41.24172185 11.75827815],1
n6,1,0.0,25.899338,[229  20] ; [36 18],[217.77227723  31.22772277] ; [47.22772277  6.77227723],1
a7,1,1e-06,24.062871,[181  68] ; [21 34],[165.45394737  83.54605263] ; [36.54605263 18.45394737],1
p10,1,1e-06,23.633559,[209  37] ; [30 24],[195.98  50.02] ; [43.02 10.98],1
p9,1,2e-06,22.763902,[212  33] ; [31 22],[199.78187919  45.21812081] ; [43.21812081  9.78187919],1
d5,1,2e-06,22.266119,[209  40] ; [31 25],[195.93442623  53.06557377] ; [44.06557377 11.93442623],1
p11,1,2e-06,22.211081,[203  46] ; [29 27],[189.40327869  59.59672131] ; [42.59672131 13.40327869],1
p3,1,5e-06,20.730253,[131 118] ; [10 44],[115.87128713 133.12871287] ; [25.12871287 28.87128713],1
a6,1,3.3e-05,17.239589,[186  63] ; [26 30],[173.07540984  75.92459016] ; [38.92459016 17.07540984],1
p7,1,3.9e-05,16.933798,[157  89] ; [18 36],[143.5 102.5] ; [31.5 22.5],1
d4,1,5.5e-05,16.251797,[200  49] ; [30 25],[188.38815789  60.61184211] ; [41.61184211 13.38815789],1
s6,1,6.8e-05,15.876255,[124 120] ; [12 44],[110.61333333 133.38666667] ; [25.38666667 30.61333333],1
p8,1,9.5e-05,15.235827,[136 105] ; [15 40],[122.94256757 118.05743243] ; [28.05743243 26.94256757],1
a5,1,0.000104,15.05916,[196  53] ; [30 26],[184.50491803  64.49508197] ; [41.49508197 14.50491803],1
p4,1,0.00011,14.964502,[154  94] ; [18 36],[141.24503311 106.75496689] ; [30.75496689 23.24503311],1
v1,1,0.00013,14.644419,[146 100] ; [17 38],[133.21594684 112.78405316] ; [29.78405316 25.21594684],1
a1,1,0.000351,12.774906,[  9 240] ; [ 9 47],[ 14.69508197 234.30491803] ; [ 3.30491803 52.69508197],1
d3,1,0.000584,11.827033,[166  83] ; [23 32],[154.80592105  94.19407895] ; [34.19407895 20.80592105],1
v2,1,0.001876,9.666625,[141 100] ; [19 35],[130.71186441 110.28813559] ; [29.28813559 24.71186441],0
d1,1,0.002545,9.1076,[140 109] ; [19 37],[129.80655738 119.19344262] ; [29.19344262 26.80655738],0
s8,1,0.00492,7.908436,[ 71 175] ; [ 6 50],[ 62.7218543 183.2781457] ; [14.2781457 41.7218543],0
s5,1,0.006227,7.483543,[ 63 180] ; [ 5 51],[ 55.26421405 187.73578595] ; [12.73578595 43.26421405],0
u3,1,0.007596,7.126401,[40 35] ; [ 6 20],[34.15841584 40.84158416] ; [11.84158416 14.15841584],0
s1,1,0.007844,7.068774,[  3 243] ; [ 4 52],[  5.70198675 240.29801325] ; [ 1.29801325 54.70198675],0
a2,1,0.015952,5.808168,[ 64 185] ; [ 6 50],[ 57.14754098 191.85245902] ; [12.85245902 43.14754098],0
b1,1,0.016116,5.790168,[ 86 163] ; [29 27],[ 93.8852459 155.1147541] ; [21.1147541 34.8852459],0
n4,1,0.016722,5.725359,[218  31] ; [42 14],[212.26229508  36.73770492] ; [47.73770492  8.26229508],0
n3,1,0.018035,5.59273,[38 13] ; [14 15],[33.15 17.85] ; [18.85 10.15],0
a3,1,0.025491,4.990248,[174  74] ; [30 25],[166.97029703  81.02970297] ; [37.02970297 17.97029703],0
v3,1,0.028518,4.7965,[ 99 144] ; [14 42],[ 91.8361204 151.1638796] ; [21.1638796 34.8361204],0
a8,1,0.03847,4.284103,[ 31 185] ; [ 2 50],[ 26.59701493 189.40298507] ; [ 6.40298507 45.59701493],0
s4,1,0.041417,4.158871,[ 21 222] ; [10 46],[ 25.19397993 217.80602007] ; [ 5.80602007 50.19397993],0
u1,1,0.044173,4.049919,[ 45 204] ; [ 4 52],[ 40.00327869 208.99672131] ; [ 8.99672131 47.00327869],0
a4,1,0.045106,4.014688,[118 130] ; [18 37],[111.31353135 136.68646865] ; [24.68646865 30.31353135],0
p6,1,0.050993,3.808511,[ 85 161] ; [11 42],[ 78.98327759 167.01672241] ; [17.01672241 35.98327759],0
u2,1,0.072593,3.223402,[42 32] ; [ 9 16],[38.12121212 35.87878788] ; [12.87878788 12.12121212],0
b5,1,0.090915,2.858099,[155  94] ; [28 28],[149.4  99.6] ; [33.6 22.4],0
s7,1,0.164991,1.927873,[ 70 161] ; [11 42],[ 65.88380282 165.11619718] ; [15.11619718 37.88380282],0
p1,1,0.238373,1.390191,[ 19 230] ; [ 7 49],[ 21.22622951 227.77377049] ; [ 4.77377049 51.22622951],0
n2,1,0.255695,1.291915,[40 14] ; [18 11],[37.73493976 16.26506024] ; [20.26506024  8.73493976],0
d2,1,0.333651,0.934674,[119 129] ; [22 32],[115.78807947 132.21192053] ; [25.21192053 28.78807947],0
s2,1,0.444206,0.585395,[ 36 210] ; [ 6 50],[ 34.21192053 211.78807947] ; [ 7.78807947 48.21192053],0
p12,1,0.559994,0.339714,[ 14 233] ; [ 2 52],[ 13.12956811 233.87043189] ; [ 2.87043189 51.12956811],0
b2,1,0.865263,0.028791,[59 90] ; [14 20],[59.43715847 89.56284153] ; [13.56284153 20.43715847],0
b3,1,0.865263,0.028791,[59 90] ; [14 20],[59.43715847 89.56284153] ; [13.56284153 20.43715847],0
p5,1,0.93541,0.006568,[ 28 220] ; [ 6 49],[ 27.82838284 220.17161716] ; [ 6.17161716 48.82838284],0
n1,1,0.962438,0.002218,[20 32] ; [11 18],[19.90123457 32.09876543] ; [11.09876543 17.90123457],0
b4,1,0.963455,0.002099,[137 112] ; [31 25],[137.15409836 111.84590164] ; [30.84590164 25.15409836],0
