Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.879955,[78  7] ; [21 18],[67.86290323 17.13709677] ; [31.13709677  7.86290323],1
p9,1,2.3e-05,17.924921,[66 18] ; [15 23],[55.7704918 28.2295082] ; [25.2295082 12.7704918],1
v4,1,8.5e-05,15.434366,[79  7] ; [24 14],[71.43548387 14.56451613] ; [31.56451613  6.43548387],1
p10,1,0.000106,15.019585,[58 26] ; [12 26],[48.19672131 35.80327869] ; [21.80327869 16.19672131],1
r4,1,0.000131,14.625438,[68 18] ; [18 22],[58.6984127 27.3015873] ; [27.3015873 12.6984127],1
r1,1,0.002291,9.30018,[60 26] ; [16 23],[52.288 33.712] ; [23.712 15.288],0
n6,1,0.00391,8.32521,[68 18] ; [21 18],[61.232 24.768] ; [27.768 11.232],0
a6,1,0.005299,7.774567,[53 33] ; [14 26],[45.73015873 40.26984127] ; [21.26984127 18.73015873],0
v2,1,0.007518,7.144773,[36 45] ; [ 7 30],[29.51694915 51.48305085] ; [13.48305085 23.51694915],0
n3,1,0.009851,6.661732,[20  3] ; [9 9],[16.26829268  6.73170732] ; [12.73170732  5.26829268],0
b1,1,0.016552,5.743256,[32 54] ; [24 16],[38.22222222 47.77777778] ; [17.77777778 22.22222222],0
p2,1,0.022466,5.209302,[61 25] ; [20 20],[55.28571429 30.71428571] ; [25.71428571 14.28571429],0
u2,1,0.038375,4.288316,[23 21] ; [ 7 19],[18.85714286 25.14285714] ; [11.14285714 14.85714286],0
d4,1,0.063048,3.455346,[37 49] ; [10 29],[32.336 53.664] ; [14.664 24.336],0
s8,1,0.07322,3.209328,[20 65] ; [ 4 36],[16.32 68.68] ; [ 7.68 32.32],0
b4,1,0.079803,3.068903,[53 33] ; [18 22],[48.46031746 37.53968254] ; [22.53968254 17.46031746],0
a7,1,0.093487,2.813289,[47 39] ; [15 24],[42.656 43.344] ; [19.344 19.656],0
p8,1,0.093721,2.80927,[37 47] ; [11 28],[32.7804878 51.2195122] ; [15.2195122 23.7804878],0
p3,1,0.100918,2.690979,[32 54] ; [ 9 31],[27.98412698 58.01587302] ; [13.01587302 26.98412698],0
s6,1,0.107824,2.585835,[33 50] ; [10 30],[29.01626016 53.98373984] ; [13.98373984 26.01626016],0
a5,1,0.138063,2.199416,[40 46] ; [13 27],[36.17460317 49.82539683] ; [16.82539683 23.17460317],0
n1,1,0.144652,2.127759,[ 7 16] ; [10  9],[ 9.30952381 13.69047619] ; [ 7.69047619 11.30952381],0
s5,1,0.158494,1.988534,[14 69] ; [ 3 37],[11.47154472 71.52845528] ; [ 5.52845528 34.47154472],0
r2,1,0.159437,1.979559,[73 13] ; [29 10],[70.176 15.824] ; [31.824  7.176],0
a3,1,0.161007,1.964746,[42 44] ; [13 24],[38.45528455 47.54471545] ; [16.54471545 20.45528455],0
p12,1,0.216453,1.52773,[ 7 77] ; [ 1 39],[ 5.41935484 78.58064516] ; [ 2.58064516 37.41935484],0
p7,1,0.216829,1.525238,[44 39] ; [16 23],[40.81967213 42.18032787] ; [19.18032787 19.81967213],0
a4,1,0.242897,1.363702,[21 64] ; [ 6 33],[18.50806452 66.49193548] ; [ 8.49193548 30.50806452],0
p5,1,0.253089,1.306172,[10 76] ; [ 2 37],[ 8.256 77.744] ; [ 3.744 35.256],0
s7,1,0.25935,1.272223,[20 60] ; [ 6 32],[17.62711864 62.37288136] ; [ 8.37288136 29.62711864],0
p4,1,0.284439,1.145758,[32 52] ; [11 28],[29.36585366 54.63414634] ; [13.63414634 25.36585366],0
s4,1,0.288201,1.128008,[12 73] ; [ 3 37],[10.2 74.8] ; [ 4.8 35.2],0
p1,1,0.297763,1.084186,[12 74] ; [ 3 37],[10.23809524 75.76190476] ; [ 4.76190476 35.23809524],0
v1,1,0.30051,1.071931,[34 50] ; [12 27],[31.41463415 52.58536585] ; [14.58536585 24.41463415],0
d2,1,0.331129,0.944477,[17 69] ; [11 29],[19.11111111 66.88888889] ; [ 8.88888889 31.11111111],0
a8,1,0.35487,0.855967,[ 5 76] ; [ 4 32],[ 6.23076923 74.76923077] ; [ 2.76923077 33.23076923],0
u3,1,0.40976,0.679496,[19 25] ; [ 9 18],[17.35211268 26.64788732] ; [10.64788732 16.35211268],0
s3,1,0.413929,0.667486,[22 62] ; [13 26],[23.90243902 60.09756098] ; [11.09756098 27.90243902],0
d1,1,0.425424,0.635284,[ 2 84] ; [ 2 38],[ 2.73015873 83.26984127] ; [ 1.26984127 38.73015873],0
p6,1,0.464936,0.533985,[20 64] ; [ 7 32],[18.43902439 65.56097561] ; [ 8.56097561 30.43902439],0
a1,1,0.515792,0.422298,[ 4 82] ; [ 3 37],[ 4.77777778 81.22222222] ; [ 2.22222222 37.77777778],0
v3,1,0.5736,0.316696,[24 60] ; [ 9 29],[22.72131148 61.27868852] ; [10.27868852 27.72131148],0
a2,1,0.671877,0.179415,[ 6 80] ; [ 2 38],[ 5.46031746 80.53968254] ; [ 2.53968254 37.46031746],0
d3,1,0.678165,0.172198,[29 57] ; [12 28],[27.98412698 58.01587302] ; [13.01587302 26.98412698],0
u1,1,0.685768,0.163706,[ 3 83] ; [ 2 38],[ 3.41269841 82.58730159] ; [ 1.58730159 38.41269841],0
n5,1,0.700588,0.147861,[53 31] ; [26 13],[53.95121951 30.04878049] ; [25.04878049 13.95121951],0
n4,1,0.719864,0.128623,[53 32] ; [23 16],[52.09677419 32.90322581] ; [23.90322581 15.09677419],0
n2,1,0.775387,0.081417,[17  6] ; [14  6],[16.58139535  6.41860465] ; [14.41860465  5.58139535],0
b3,1,0.834876,0.043452,[18 30] ; [10 15],[18.4109589 29.5890411] ; [ 9.5890411 15.4109589],0
b2,1,0.834876,0.043452,[18 30] ; [10 15],[18.4109589 29.5890411] ; [ 9.5890411 15.4109589],0
b5,1,0.888809,0.019547,[44 42] ; [21 19],[44.36507937 41.63492063] ; [20.63492063 19.36507937],0
s1,1,0.930068,0.007702,[ 4 80] ; [ 2 37],[ 4.09756098 79.90243902] ; [ 1.90243902 37.09756098],0
