Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.4e-05,16.681985,[ 7 27] ; [13  3],[13.6 20.4] ; [6.4 9.6],1
p7,1,7.4e-05,15.709091,[ 4 28] ; [11  5],[10. 22.] ; [ 5. 11.],1
p11,1,0.000905,11.011837,[ 9 26] ; [12  4],[14.41176471 20.58823529] ; [6.58823529 9.41176471],1
n6,1,0.00092,10.982094,[15 20] ; [14  1],[20.3 14.7] ; [8.7 6.3],1
p2,1,0.001245,10.421969,[11 23] ; [13  3],[16.32 17.68] ; [7.68 8.32],0
v2,1,0.002028,9.52381,[ 3 32] ; [7 8],[ 7. 28.] ; [ 3. 12.],0
p6,1,0.003324,8.620466,[ 3 32] ; [7 9],[ 6.8627451 28.1372549] ; [ 3.1372549 12.8627451],0
u2,1,0.009195,6.784615,[ 2 11] ; [4 1],[4.33333333 8.66666667] ; [1.66666667 3.33333333],0
p10,1,0.017427,5.652852,[16 19] ; [13  3],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
p3,1,0.022705,5.190967,[ 8 26] ; [9 7],[11.56 22.44] ; [ 5.44 10.56],0
r4,1,0.052576,3.757347,[ 8 27] ; [8 8],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
d3,1,0.056686,3.631788,[14 21] ; [11  5],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
a5,1,0.064594,3.415328,[19 16] ; [13  3],[21.96078431 13.03921569] ; [10.03921569  5.96078431],0
s2,1,0.077815,3.109966,[ 7 28] ; [7 9],[ 9.60784314 25.39215686] ; [ 4.39215686 11.60784314],0
s7,1,0.115995,2.470588,[ 7 25] ; [7 9],[ 9.33333333 22.66666667] ; [ 4.66666667 11.33333333],0
p9,1,0.116761,2.46024,[17 16] ; [12  4],[19.53061224 13.46938776] ; [9.46938776 6.53061224],0
s8,1,0.125202,2.351006,[ 6 28] ; [ 6 10],[ 8.16 25.84] ; [ 3.84 12.16],0
v4,1,0.150082,2.071414,[24 11] ; [14  2],[26.07843137  8.92156863] ; [11.92156863  4.07843137],0
s6,1,0.15713,2.001634,[10 24] ; [8 8],[12.24 21.76] ; [ 5.76 10.24],0
n5,1,0.209304,1.576236,[25 10] ; [14  2],[26.76470588  8.23529412] ; [12.23529412  3.76470588],0
a1,1,0.210257,1.569658,[ 7 28] ; [ 1 15],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
s4,1,0.21624,1.529153,[ 4 31] ; [ 4 12],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
u3,1,0.254524,1.298302,[4 9] ; [3 2],[5.05555556 7.94444444] ; [1.94444444 3.05555556],0
b5,1,0.265855,1.238011,[16 19] ; [10  6],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
d5,1,0.330116,0.948444,[19 16] ; [11  5],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
b4,1,0.330116,0.948444,[19 16] ; [11  5],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
d4,1,0.355125,0.85506,[17 18] ; [10  6],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
a6,1,0.373934,0.790551,[15 20] ; [9 7],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
s5,1,0.379489,0.772356,[ 7 28] ; [ 5 11],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
p5,1,0.506673,0.440932,[ 4 30] ; [ 3 13],[ 4.76 29.24] ; [ 2.24 13.76],0
d1,1,0.51656,0.420756,[12 23] ; [7 9],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
a7,1,0.610764,0.259063,[17 18] ; [9 7],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
n4,1,0.640131,0.218571,[24 11] ; [12  4],[24.70588235 10.29411765] ; [11.29411765  4.70588235],0
s3,1,0.654415,0.20038,[11 22] ; [6 9],[11.6875 21.3125] ; [5.3125 9.6875],0
a2,1,0.66155,0.191646,[ 3 32] ; [ 2 14],[ 3.43137255 31.56862745] ; [ 1.56862745 14.43137255],0
p1,1,0.672263,0.178966,[ 6 29] ; [ 2 14],[ 5.49019608 29.50980392] ; [ 2.50980392 13.49019608],0
n3,1,0.684498,0.165106,[11  8] ; [5 5],[10.48275862  8.51724138] ; [5.51724138 4.48275862],0
b2,1,0.686254,0.16317,[ 8 12] ; [ 5 10],[ 7.42857143 12.57142857] ; [5.57142857 9.42857143],0
b3,1,0.686254,0.16317,[ 8 12] ; [ 5 10],[ 7.42857143 12.57142857] ; [5.57142857 9.42857143],0
r1,1,0.748903,0.102455,[17 18] ; [7 9],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
a3,1,0.778253,0.079296,[22 12] ; [11  5],[22.44 11.56] ; [10.56  5.44],0
n2,1,0.788776,0.07177,[13  7] ; [6 4],[12.66666667  7.33333333] ; [6.33333333 3.66666667],0
d2,1,0.826663,0.047954,[16 18] ; [7 9],[15.64 18.36] ; [7.36 8.64],0
a4,1,0.884053,0.021267,[11 22] ; [ 5 11],[10.7755102 22.2244898] ; [ 5.2244898 10.7755102],0
s1,1,0.912255,0.012143,[ 4 31] ; [ 2 14],[ 4.11764706 30.88235294] ; [ 1.88235294 14.11764706],0
v3,1,0.94391,0.00495,[ 9 26] ; [ 4 11],[ 9.1 25.9] ; [ 3.9 11.1],0
b1,1,0.952364,0.003569,[20 15] ; [9 7],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
v1,1,0.980472,0.000599,[13 22] ; [ 6 10],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
n1,1,1.0,0.0,[12  8] ; [6 4],[12.  8.] ; [6. 4.],0
