Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,52.468667,[132 192] ; [116  36],[168.80672269 155.19327731] ; [79.19327731 72.80672269],1
v1,1,2.6e-05,17.686938,[129 202] ; [92 63],[150.51646091 180.48353909] ; [70.48353909 84.51646091],1
p12,1,5.6e-05,16.233011,[  7 326] ; [ 16 137],[ 15.75925926 317.24074074] ; [  7.24074074 145.75925926],1
v4,1,0.001607,9.95192,[304  29] ; [155   2],[311.93265306  21.06734694] ; [147.06734694   9.93265306],0
p3,1,0.006353,7.447406,[125 208] ; [78 76],[138.80698152 194.19301848] ; [64.19301848 89.80698152],0
r2,1,0.006845,7.313244,[301  31] ; [152   4],[308.18852459  23.81147541] ; [144.81147541  11.18852459],0
n4,1,0.010932,6.476334,[225 111] ; [122  34],[236.97560976  99.02439024] ; [110.02439024  45.97560976],0
r4,1,0.013718,6.07411,[289  47] ; [147  10],[297.15212982  38.84787018] ; [138.84787018  18.15212982],0
n5,1,0.016969,5.699547,[213 119] ; [117  39],[224.50819672 107.49180328] ; [105.49180328  50.50819672],0
p10,1,0.018322,5.565077,[235  97] ; [123  29],[245.57024793  86.42975207] ; [112.42975207  39.57024793],0
p5,1,0.020623,5.358337,[ 19 316] ; [ 18 137],[ 25.29591837 309.70408163] ; [ 11.70408163 143.29591837],0
p7,1,0.022118,5.236454,[175 153] ; [98 54],[186.55 141.45] ; [86.45 65.55],0
p4,1,0.028466,4.799626,[161 173] ; [89 62],[172.16494845 161.83505155] ; [77.83505155 73.16494845],0
b4,1,0.048924,3.877961,[189 147] ; [103  54],[199.01014199 136.98985801] ; [92.98985801 64.01014199],0
u1,1,0.071825,3.240811,[ 38 298] ; [ 27 130],[ 44.30020284 291.69979716] ; [ 20.69979716 136.30020284],0
r1,1,0.072862,3.217341,[243  91] ; [126  31],[251.0101833  82.9898167] ; [117.9898167  39.0101833],0
a7,1,0.07862,3.093196,[239  96] ; [123  33],[246.98574338  88.01425662] ; [115.01425662  40.98574338],0
p8,1,0.07973,3.070397,[142 190] ; [78 74],[150.90909091 181.09090909] ; [69.09090909 82.90909091],0
a2,1,0.09996,2.706174,[ 60 276] ; [ 38 119],[ 66.79107505 269.20892495] ; [ 31.20892495 125.79107505],0
n6,1,0.102288,2.669505,[262  72] ; [133  24],[268.69653768  65.30346232] ; [126.30346232  30.69653768],0
s6,1,0.113312,2.507407,[165 166] ; [87 64],[173.05394191 157.94605809] ; [78.94605809 72.05394191],0
p1,1,0.134564,2.239047,[ 18 316] ; [ 14 142],[ 21.8122449 312.1877551] ; [ 10.1877551 145.8122449],0
a3,1,0.144218,2.132366,[204 131] ; [105  50],[211.25510204 123.74489796] ; [97.74489796 57.25510204],0
s4,1,0.146841,2.104761,[ 53 278] ; [ 17 137],[ 47.77319588 283.22680412] ; [ 22.22680412 131.77319588],0
a5,1,0.154953,2.022803,[215 121] ; [110  46],[221.95121951 114.04878049] ; [103.04878049  52.95121951],0
s1,1,0.156927,2.003594,[ 12 321] ; [  2 152],[  9.57289528 323.42710472] ; [  4.42710472 149.57289528],0
d2,1,0.159377,1.980132,[130 205] ; [71 85],[137.13849287 197.86150713] ; [63.86150713 92.13849287],0
s7,1,0.189075,1.724812,[ 79 245] ; [ 44 102],[ 84.79148936 239.20851064] ; [ 38.20851064 107.79148936],0
d1,1,0.247771,1.335828,[161 175] ; [84 73],[166.97768763 169.02231237] ; [78.02231237 78.97768763],0
b1,1,0.279434,1.169842,[126 210] ; [ 51 106],[120.63286004 215.36713996] ; [ 56.36713996 100.63286004],0
n1,1,0.288385,1.127145,[30 59] ; [ 7 23],[27.67226891 61.32773109] ; [ 9.32773109 20.67226891],0
s2,1,0.291539,1.112501,[109 224] ; [59 98],[114.17142857 218.82857143] ; [ 53.82857143 103.17142857],0
s3,1,0.351733,0.867196,[137 198] ; [69 83],[141.70431211 193.29568789] ; [64.29568789 87.70431211],0
p9,1,0.36654,0.815362,[253  78] ; [121  30],[256.8340249  74.1659751] ; [117.1659751  33.8340249],0
n3,1,0.456331,0.554878,[62 24] ; [26  7],[63.59663866 22.40336134] ; [24.40336134  8.59663866],0
p6,1,0.532901,0.388856,[ 89 240] ; [ 45 106],[ 91.84583333 237.15416667] ; [ 42.15416667 108.84583333],0
p11,1,0.548822,0.359431,[255  81] ; [123  34],[257.62271805  78.37728195] ; [120.37728195  36.62271805],0
u2,1,0.55279,0.352343,[65 65] ; [28 23],[66.79558011 63.20441989] ; [26.20441989 24.79558011],0
d3,1,0.595476,0.281874,[221 113] ; [107  49],[223.5755102 110.4244898] ; [104.4244898  51.5755102],0
a6,1,0.608031,0.263053,[227 109] ; [109  47],[229.46341463 106.53658537] ; [106.53658537  49.46341463],0
