Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.002438,9.186603,[18 20] ; [ 2 20],[12.66666667 25.33333333] ; [ 7.33333333 14.66666667],0
s2,1,0.002528,9.120501,[24 14] ; [ 5 17],[18.36666667 19.63333333] ; [10.63333333 11.36666667],0
s5,1,0.00818,6.993632,[16 20] ; [ 2 18],[11.57142857 24.42857143] ; [ 6.42857143 13.57142857],0
s8,1,0.008668,6.889952,[20 18] ; [ 4 18],[15.2 22.8] ; [ 8.8 13.2],0
r3,1,0.012405,6.251994,[37  1] ; [17  5],[34.2  3.8] ; [19.8  2.2],0
s3,1,0.019234,5.480092,[24 14] ; [ 7 15],[19.63333333 18.36666667] ; [11.36666667 10.63333333],0
s7,1,0.023319,5.14456,[19 17] ; [ 4 15],[15.05454545 20.94545455] ; [ 7.94545455 11.05454545],0
r4,1,0.042793,4.103574,[35  3] ; [16  6],[32.3  5.7] ; [18.7  3.3],0
p4,1,0.060907,3.512525,[25 13] ; [ 9 13],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
u1,1,0.084416,2.977765,[ 8 30] ; [ 1 21],[ 5.7 32.3] ; [ 3.3 18.7],0
v4,1,0.103371,2.652742,[35  3] ; [17  5],[32.93333333  5.06666667] ; [19.06666667  2.93333333],0
p1,1,0.107967,2.583732,[ 2 36] ; [ 4 18],[ 3.8 34.2] ; [ 2.2 19.8],0
a3,1,0.157286,2.000124,[26 12] ; [11 11],[23.43333333 14.56666667] ; [13.56666667  8.43333333],0
d5,1,0.160601,1.968558,[29  9] ; [13  9],[26.6 11.4] ; [15.4  6.6],0
v3,1,0.172983,1.856902,[15 21] ; [ 5 16],[12.63157895 23.36842105] ; [ 7.36842105 13.63157895],0
a7,1,0.179989,1.797716,[21 17] ; [16  6],[23.43333333 14.56666667] ; [13.56666667  8.43333333],0
n5,1,0.184258,1.762939,[25 13] ; [18  4],[27.23333333 10.76666667] ; [15.76666667  6.23333333],0
p8,1,0.228951,1.447368,[13 25] ; [11 11],[15.2 22.8] ; [ 8.8 13.2],0
s4,1,0.23013,1.440056,[10 27] ; [ 3 19],[ 8.15254237 28.84745763] ; [ 4.84745763 17.15254237],0
n6,1,0.242869,1.363862,[32  6] ; [15  6],[30.27118644  7.72881356] ; [16.72881356  4.27118644],0
n3,1,0.256839,1.285714,[6 3] ; [8 1],[7. 2.] ; [7. 2.],0
r2,1,0.258119,1.278817,[36  2] ; [19  3],[34.83333333  3.16666667] ; [20.16666667  1.83333333],0
d2,1,0.284354,1.14616,[20 18] ; [ 8 13],[18.03389831 19.96610169] ; [ 9.96610169 11.03389831],0
p5,1,0.292889,1.106293,[ 5 32] ; [ 1 20],[ 3.82758621 33.17241379] ; [ 2.17241379 18.82758621],0
r1,1,0.293573,1.103162,[29  9] ; [14  8],[27.23333333 10.76666667] ; [15.76666667  6.23333333],0
u3,1,0.305319,1.050816,[8 4] ; [5 6],[6.7826087 5.2173913] ; [6.2173913 4.7826087],0
a6,1,0.324955,0.9689,[21 17] ; [15  7],[22.8 15.2] ; [13.2  8.8],0
n4,1,0.353391,0.861244,[27 11] ; [18  4],[28.5  9.5] ; [16.5  5.5],0
v1,1,0.365878,0.817617,[17 18] ; [ 8 14],[15.35087719 19.64912281] ; [ 9.64912281 12.35087719],0
b2,1,0.408295,0.683761,[12 15] ; [4 9],[10.8 16.2] ; [5.2 7.8],0
b3,1,0.408295,0.683761,[12 15] ; [4 9],[10.8 16.2] ; [5.2 7.8],0
v2,1,0.448125,0.575391,[22 16] ; [10 11],[20.61016949 17.38983051] ; [11.38983051  9.61016949],0
p10,1,0.44861,0.574163,[24 14] ; [16  6],[25.33333333 12.66666667] ; [14.66666667  7.33333333],0
d3,1,0.463762,0.536801,[17 21] ; [12 10],[18.36666667 19.63333333] ; [10.63333333 11.36666667],0
s1,1,0.47498,0.510367,[ 3 35] ; [ 3 19],[ 3.8 34.2] ; [ 2.2 19.8],0
a5,1,0.492344,0.471401,[29  9] ; [15  7],[27.86666667 10.13333333] ; [16.13333333  5.86666667],0
u2,1,0.509903,0.434266,[6 6] ; [4 7],[5.2173913 6.7826087] ; [4.7826087 6.2173913],0
a4,1,0.553617,0.350877,[16 22] ; [11 11],[17.1 20.9] ; [ 9.9 12.1],0
b1,1,0.592097,0.287081,[20 18] ; [10 12],[19. 19.] ; [11. 11.],0
n1,1,0.637352,0.222222,[5 4] ; [4 5],[4.5 4.5] ; [4.5 4.5],0
b5,1,0.650669,0.205058,[23 15] ; [12 10],[22.16666667 15.83333333] ; [12.83333333  9.16666667],0
p9,1,0.704786,0.143541,[26 12] ; [14  8],[25.33333333 12.66666667] ; [14.66666667  7.33333333],0
p7,1,0.734212,0.11528,[19 19] ; [12 10],[19.63333333 18.36666667] ; [11.36666667 10.63333333],0
d1,1,0.844165,0.038639,[20 18] ; [11 11],[19.63333333 18.36666667] ; [11.36666667 10.63333333],0
p11,1,0.866189,0.028393,[25 13] ; [14  8],[24.7 13.3] ; [14.3  7.7],0
a1,1,0.87166,0.026098,[ 3 35] ; [ 2 20],[ 3.16666667 34.83333333] ; [ 1.83333333 20.16666667],0
d4,1,0.889671,0.019243,[27 11] ; [16  6],[27.23333333 10.76666667] ; [15.76666667  6.23333333],0
a8,1,0.897506,0.016593,[ 4 32] ; [ 2 18],[ 3.85714286 32.14285714] ; [ 2.14285714 17.85714286],0
b4,1,0.927837,0.008202,[22 16] ; [13  9],[22.16666667 15.83333333] ; [12.83333333  9.16666667],0
a2,1,0.958099,0.00276,[ 5 33] ; [ 3 19],[ 5.06666667 32.93333333] ; [ 2.93333333 19.06666667],0
