Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-06,20.713183,[ 6 36] ; [8 1],[11.52941176 30.47058824] ; [2.47058824 6.52941176],1
p6,1,5.8e-05,16.180127,[ 3 40] ; [6 4],[ 7.30188679 35.69811321] ; [1.69811321 8.30188679],1
s5,1,0.000718,11.442506,[ 4 40] ; [5 4],[ 7.47169811 36.52830189] ; [1.52830189 7.47169811],1
s7,1,0.000772,11.307746,[ 7 34] ; [7 3],[11.25490196 29.74509804] ; [2.74509804 7.25490196],1
s6,1,0.000959,10.905734,[ 8 36] ; [7 3],[12.22222222 31.77777778] ; [2.77777778 7.22222222],1
p11,1,0.001953,9.592913,[ 9 35] ; [7 3],[13.03703704 30.96296296] ; [2.96296296 7.03703704],0
p9,1,0.003217,8.680031,[12 29] ; [8 2],[16.07843137 24.92156863] ; [3.92156863 6.07843137],0
r4,1,0.004805,7.951534,[ 3 41] ; [4 6],[ 5.7037037 38.2962963] ; [1.2962963 8.7037037],0
s4,1,0.009958,6.642322,[ 6 38] ; [5 5],[ 8.96296296 35.03703704] ; [2.03703704 7.96296296],0
p2,1,0.01065,6.522816,[12 32] ; [7 3],[15.48148148 28.51851852] ; [3.51851852 6.48148148],0
n6,1,0.017887,5.607197,[17 27] ; [8 2],[20.37037037 23.62962963] ; [4.62962963 5.37037037],0
p10,1,0.019448,5.460793,[13 30] ; [7 3],[16.22641509 26.77358491] ; [3.77358491 6.22641509],0
p4,1,0.021731,5.267182,[ 7 36] ; [5 5],[ 9.73584906 33.26415094] ; [2.26415094 7.73584906],0
s8,1,0.02828,4.810909,[ 5 39] ; [4 6],[ 7.33333333 36.66666667] ; [1.66666667 8.33333333],0
s1,1,0.03524,4.433523,[ 3 41] ; [3 7],[ 4.88888889 39.11111111] ; [1.11111111 8.88888889],0
p8,1,0.03767,4.319879,[ 8 35] ; [5 5],[10.54716981 32.45283019] ; [2.45283019 7.54716981],0
v4,1,0.037893,4.309799,[24 20] ; [9 1],[26.88888889 17.11111111] ; [6.11111111 3.88888889],0
b5,1,0.071592,3.246136,[17 27] ; [7 3],[19.55555556 24.44444444] ; [4.44444444 5.55555556],0
r2,1,0.094348,2.798581,[25 17] ; [8 1],[27.17647059 14.82352941] ; [5.82352941 3.17647059],0
a5,1,0.161125,1.963636,[20 24] ; [7 3],[22. 22.] ; [5. 5.],0
b1,1,0.169706,1.885537,[28 16] ; [4 6],[26.07407407 17.92592593] ; [5.92592593 4.07407407],0
n4,1,0.174658,1.842503,[25 19] ; [8 2],[26.88888889 17.11111111] ; [6.11111111 3.88888889],0
n1,1,0.189854,1.718751,[14 13] ; [1 4],[12.65625 14.34375] ; [2.34375 2.65625],0
u1,1,0.242818,1.364161,[ 1 43] ; [1 9],[ 1.62962963 42.37037037] ; [0.37037037 9.62962963],0
n5,1,0.248811,1.329968,[32 12] ; [9 1],[33.40740741 10.59259259] ; [7.59259259 2.40740741],0
v1,1,0.260548,1.265844,[10 34] ; [4 6],[11.40740741 32.59259259] ; [2.59259259 7.40740741],0
r1,1,0.265292,1.24093,[17 27] ; [2 8],[15.48148148 28.51851852] ; [3.51851852 6.48148148],0
n2,1,0.306644,1.045074,[15 12] ; [4 1],[16.03125 10.96875] ; [2.96875 2.03125],0
p1,1,0.32175,0.981818,[ 4 40] ; [2 8],[ 4.88888889 39.11111111] ; [1.11111111 8.88888889],0
p7,1,0.344354,0.894156,[ 8 34] ; [3 6],[ 9.05882353 32.94117647] ; [1.94117647 7.05882353],0
u2,1,0.347755,0.881633,[ 8 13] ; [2 1],[ 8.75 12.25] ; [1.25 1.75],0
a3,1,0.380722,0.768369,[23 19] ; [7 3],[24.23076923 17.76923077] ; [5.76923077 4.23076923],0
d5,1,0.405991,0.690509,[24 20] ; [4 6],[22.81481481 21.18518519] ; [5.18518519 4.81481481],0
n3,1,0.466596,0.530026,[11 15] ; [3 2],[11.74193548 14.25806452] ; [2.25806452 2.74193548],0
v2,1,0.513907,0.426104,[ 8 35] ; [1 9],[ 7.30188679 35.69811321] ; [1.69811321 8.30188679],0
a1,1,0.530869,0.392727,[ 8 36] ; [1 9],[ 7.33333333 36.66666667] ; [1.66666667 8.33333333],0
a7,1,0.599729,0.275405,[18 26] ; [5 5],[18.74074074 25.25925926] ; [4.25925926 5.74074074],0
a6,1,0.658225,0.195687,[21 23] ; [4 6],[20.37037037 23.62962963] ; [4.62962963 5.37037037],0
p5,1,0.744424,0.106277,[ 3 40] ; [1 9],[ 3.24528302 39.75471698] ; [0.75471698 9.24528302],0
a2,1,0.757303,0.095496,[ 6 38] ; [1 9],[ 5.7037037 38.2962963] ; [1.2962963 8.7037037],0
b3,1,0.766526,0.088163,[13 17] ; [3 5],[12.63157895 17.36842105] ; [3.36842105 4.63157895],0
b2,1,0.766526,0.088163,[13 17] ; [3 5],[12.63157895 17.36842105] ; [3.36842105 4.63157895],0
b4,1,0.854267,0.033737,[25 19] ; [6 4],[25.25925926 18.74074074] ; [5.74074074 4.25925926],0
d1,1,0.862015,0.03021,[12 32] ; [3 7],[12.22222222 31.77777778] ; [2.77777778 7.22222222],0
d4,1,0.896694,0.016858,[21 23] ; [5 5],[21.18518519 22.81481481] ; [4.81481481 5.18518519],0
a4,1,0.911402,0.012381,[16 26] ; [4 6],[16.15384615 25.84615385] ; [3.84615385 6.15384615],0
d3,1,0.936359,0.006375,[17 27] ; [4 6],[17.11111111 26.88888889] ; [3.88888889 6.11111111],0
v3,1,0.9743,0.001038,[ 9 35] ; [2 8],[ 8.96296296 35.03703704] ; [2.03703704 7.96296296],0
d2,1,0.978391,0.000734,[17 26] ; [4 6],[17.03773585 25.96226415] ; [3.96226415 6.03773585],0
