Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,27.473478,[55 58] ; [133  36],[75.33333333 37.66666667] ; [112.66666667  56.33333333],1
v4,1,0.0,27.22578,[86 33] ; [156   9],[101.40140845  17.59859155] ; [140.59859155  24.40140845],1
p10,1,1e-06,23.376188,[52 65] ; [123  46],[71.59090909 45.40909091] ; [103.40909091  65.59090909],1
p11,1,1.2e-05,19.092268,[57 63] ; [123  46],[74.74048443 45.25951557] ; [105.25951557  63.74048443],1
r3,1,2.4e-05,17.835289,[89 30] ; [154  12],[101.46315789  17.53684211] ; [141.53684211  24.46315789],1
p7,1,4.8e-05,16.527305,[23 94] ; [71 95],[38.86219081 78.13780919] ; [ 55.13780919 110.86219081],1
b1,1,0.000671,11.566932,[63 57] ; [ 55 114],[48.99653979 71.00346021] ; [69.00346021 99.99653979],1
r4,1,0.001917,9.627313,[77 43] ; [136  33],[88.44290657 31.55709343] ; [124.55709343  44.44290657],0
s1,1,0.005513,7.702937,[  9 109] ; [  2 165],[  4.55438596 113.44561404] ; [  6.44561404 160.55438596],0
r2,1,0.015636,5.843317,[97 19] ; [154  12],[103.24822695  12.75177305] ; [147.75177305  18.24822695],0
p1,1,0.020572,5.362729,[ 10 110] ; [  4 164],[  5.83333333 114.16666667] ; [  8.16666667 159.83333333],0
r1,1,0.026973,4.892568,[74 45] ; [125  43],[82.51219512 36.48780488] ; [116.48780488  51.51219512],0
n6,1,0.027389,4.866134,[76 43] ; [126  40],[84.34385965 34.65614035] ; [117.65614035  48.34385965],0
s3,1,0.031697,4.614829,[48 70] ; [90 78],[56.93706294 61.06293706] ; [81.06293706 86.93706294],0
v1,1,0.046403,3.966915,[40 79] ; [74 89],[48.10638298 70.89361702] ; [65.89361702 97.10638298],0
a1,1,0.0477,3.920536,[ 12 108] ; [  7 162],[  7.88927336 112.11072664] ; [ 11.11072664 157.88927336],0
n1,1,0.051412,3.794811,[24 29] ; [15 40],[19.13888889 33.86111111] ; [19.86111111 35.13888889],0
d2,1,0.059173,3.560424,[57 60] ; [ 63 105],[49.26315789 67.73684211] ; [70.73684211 97.26315789],0
n3,1,0.072987,3.214536,[28 21] ; [42 15],[32.35849057 16.64150943] ; [37.64150943 19.35849057],0
a6,1,0.085847,2.950584,[67 52] ; [112  57],[73.96180556 45.03819444] ; [105.03819444  63.96180556],0
p6,1,0.097826,2.740638,[ 11 107] ; [ 27 141],[ 15.67832168 102.32167832] ; [ 22.32167832 145.67832168],0
s6,1,0.104202,2.640017,[51 67] ; [89 79],[57.76223776 60.23776224] ; [82.23776224 85.76223776],0
s2,1,0.105957,2.613506,[38 81] ; [69 98],[44.52097902 74.47902098] ; [ 62.47902098 104.52097902],0
s5,1,0.149565,2.07668,[20 93] ; [ 41 123],[24.88447653 88.11552347] ; [ 36.11552347 127.88447653],0
v2,1,0.149595,2.07638,[46 65] ; [81 80],[51.82720588 59.17279412] ; [75.17279412 85.82720588],0
s4,1,0.177559,1.81794,[25 94] ; [ 25 143],[20.73170732 98.26829268] ; [ 29.26829268 138.73170732],0
d3,1,0.203921,1.614071,[63 56] ; [101  66],[68.23776224 50.76223776] ; [95.76223776 71.23776224],0
n2,1,0.221023,1.497716,[33 20] ; [41 15],[35.98165138 17.01834862] ; [38.01834862 17.98165138],0
d5,1,0.288739,1.12549,[81 38] ; [124  44],[85. 34.] ; [120.  48.],0
u2,1,0.305717,1.049087,[21 22] ; [32 22],[23.49484536 19.50515464] ; [29.50515464 24.49484536],0
a7,1,0.314708,1.010814,[70 49] ; [108  59],[74.06293706 44.93706294] ; [103.93706294  63.06293706],0
b5,1,0.318276,0.996016,[69 51] ; [107  62],[73.07958478 46.92041522] ; [102.92041522  66.07958478],0
b4,1,0.391816,0.733299,[70 50] ; [107  62],[73.49480969 46.50519031] ; [103.50519031  65.49480969],0
d4,1,0.397678,0.715337,[89 30] ; [132  35],[91.95454545 27.04545455] ; [129.04545455  37.95454545],0
p3,1,0.40074,0.706105,[ 18 101] ; [ 32 137],[20.65972222 98.34027778] ; [ 29.34027778 139.65972222],0
a8,1,0.401896,0.702647,[ 11 105] ; [ 20 137],[ 13.17216117 102.82783883] ; [ 17.82783883 139.17216117],0
a4,1,0.453902,0.560889,[51 68] ; [ 65 104],[47.93055556 71.06944444] ; [ 68.06944444 100.93055556],0
b2,1,0.456301,0.554953,[32 47] ; [30 56],[29.68484848 49.31515152] ; [32.31515152 53.68484848],0
b3,1,0.456301,0.554953,[32 47] ; [30 56],[29.68484848 49.31515152] ; [32.31515152 53.68484848],0
d1,1,0.468533,0.525434,[57 63] ; [73 96],[53.97923875 66.02076125] ; [76.02076125 92.97923875],0
a2,1,0.479854,0.499195,[23 97] ; [ 27 142],[20.76124567 99.23875433] ; [ 29.23875433 139.76124567],0
s7,1,0.574121,0.315835,[39 74] ; [ 51 112],[36.84782609 76.15217391] ; [ 53.15217391 109.84782609],0
u3,1,0.582422,0.302336,[21 22] ; [31 26],[22.36 20.64] ; [29.64 27.36],0
v3,1,0.7209,0.127632,[35 76] ; [ 49 117],[33.66064982 77.33935018] ; [ 50.33935018 115.66064982],0
p12,1,0.725348,0.123426,[  6 113] ; [  7 161],[  5.3902439 113.6097561] ; [  7.6097561 160.3902439],0
