Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.3e-05,17.25231,[221  27] ; [81 32],[207.46814404  40.53185596] ; [94.53185596 18.46814404],1
s2,1,9.4e-05,15.255121,[200  51] ; [70 46],[184.65940054  66.34059946] ; [85.34059946 30.65940054],1
v1,1,0.00011,14.965067,[161  85] ; [50 64],[144.18333333 101.81666667] ; [66.81666667 47.18333333],1
s3,1,0.0003,13.067905,[200  49] ; [72 43],[186.06593407  62.93406593] ; [85.93406593 29.06593407],1
v3,1,0.001957,9.589686,[124 120] ; [38 76],[110.41340782 133.58659218] ; [51.58659218 62.41340782],0
p9,1,0.008388,6.94879,[235  16] ; [97 17],[228.30684932  22.69315068] ; [103.69315068  10.30684932],0
d1,1,0.014857,5.933388,[166  86] ; [61 55],[155.44565217  96.55434783] ; [71.55434783 44.44565217],0
p6,1,0.039118,4.255726,[129 119] ; [46 68],[119.88950276 128.11049724] ; [55.11049724 58.88950276],0
p5,1,0.039574,4.236051,[ 50 201] ; [ 13 103],[ 43.08719346 207.91280654] ; [19.91280654 96.08719346],0
v2,1,0.042377,4.12009,[156  90] ; [60 55],[147.19113573  98.80886427] ; [68.80886427 46.19113573],0
a3,1,0.043058,4.093137,[212  39] ; [87 28],[205.05191257  45.94808743] ; [93.94808743 21.05191257],0
s5,1,0.044662,4.031364,[119 119] ; [44 70],[110.21022727 127.78977273] ; [52.78977273 61.21022727],0
b3,1,0.055433,3.668998,[80 95] ; [26 53],[ 73.03149606 101.96850394] ; [32.96850394 46.03149606],0
b2,1,0.055433,3.668998,[80 95] ; [26 53],[ 73.03149606 101.96850394] ; [32.96850394 46.03149606],0
p8,1,0.068369,3.321749,[161  87] ; [62 51],[153.1966759  94.8033241] ; [69.8033241 43.1966759],0
u4,1,0.078775,3.089996,[ 11 241] ; [  1 115],[  8.2173913 243.7826087] ; [  3.7826087 112.2173913],0
p7,1,0.090691,2.862071,[191  54] ; [78 34],[184.60784314  60.39215686] ; [84.39215686 27.60784314],0
n5,1,0.095896,2.772508,[211  39] ; [88 26],[205.35714286  44.64285714] ; [93.64285714 20.35714286],0
p10,1,0.101355,2.684099,[223  26] ; [96 19],[218.21703297  30.78296703] ; [100.78296703  14.21703297],0
p12,1,0.103049,2.657707,[ 29 222] ; [  7 108],[ 24.68852459 226.31147541] ; [ 11.31147541 103.68852459],0
n6,1,0.10899,2.568804,[226  23] ; [97 17],[221.56198347  27.43801653] ; [101.43801653  12.56198347],0
v4,1,0.1124,2.520152,[246   4] ; [109   5],[243.81868132   6.18131868] ; [111.18131868   2.81868132],0
u1,1,0.15205,2.051563,[ 65 187] ; [22 94],[ 59.57608696 192.42391304] ; [27.42391304 88.57608696],0
d4,1,0.179448,1.802187,[217  34] ; [94 22],[212.70027248  38.29972752] ; [98.29972752 17.70027248],0
a5,1,0.19327,1.692514,[202  50] ; [86 30],[197.2173913  54.7826087] ; [90.7826087 25.2173913],0
b4,1,0.229775,1.442255,[133 119] ; [69 47],[138.32608696 113.67391304] ; [63.67391304 52.32608696],0
p1,1,0.267201,1.231061,[ 29 222] ; [  9 107],[ 25.98910082 225.01089918] ; [ 12.01089918 103.98910082],0
r4,1,0.307647,1.04075,[232  20] ; [103  13],[229.40217391  22.59782609] ; [105.59782609  10.40217391],0
s4,1,0.321802,0.981609,[ 51 199] ; [29 87],[ 54.64480874 195.35519126] ; [25.35519126 90.64480874],0
u3,1,0.358754,0.842251,[29 11] ; [18 11],[27.24637681 12.75362319] ; [19.75362319  9.24637681],0
d5,1,0.412256,0.672285,[210  41] ; [93 23],[207.22888283  43.77111717] ; [95.77111717 20.22888283],0
n2,1,0.417729,0.656697,[39 13] ; [20  4],[40.36842105 11.63157895] ; [18.63157895  5.36842105],0
a7,1,0.453304,0.562378,[175  77] ; [85 31],[178.04347826  73.95652174] ; [81.95652174 34.04347826],0
u2,1,0.468984,0.52437,[27 12] ; [17 11],[25.6119403 13.3880597] ; [18.3880597  9.6119403],0
r2,1,0.484273,0.489224,[238   9] ; [109   6],[236.76519337  10.23480663] ; [110.23480663   4.76519337],0
n4,1,0.54896,0.359183,[213  37] ; [96 20],[211.06557377  38.93442623] ; [97.93442623 18.06557377],0
a8,1,0.557539,0.343984,[ 43 183] ; [17 87],[ 41.09090909 184.90909091] ; [18.90909091 85.09090909],0
d2,1,0.579116,0.307667,[136 116] ; [59 57],[133.5326087 118.4673913] ; [61.4673913 54.5326087],0
n1,1,0.602262,0.271598,[25 27] ; [10 14],[23.94736842 28.05263158] ; [11.05263158 12.94736842],0
b5,1,0.678432,0.171897,[147 105] ; [65 51],[145.17391304 106.82608696] ; [66.82608696 49.17391304],0
n3,1,0.692246,0.156665,[37 15] ; [16  8],[36.26315789 15.73684211] ; [16.73684211  7.26315789],0
a6,1,0.716372,0.131996,[165  86] ; [74 42],[163.45776567  87.54223433] ; [75.54223433 40.45776567],0
a1,1,0.764423,0.089807,[ 15 237] ; [  6 110],[ 14.38043478 237.61956522] ; [  6.61956522 109.38043478],0
r1,1,0.765341,0.089087,[210  40] ; [96 20],[209.01639344  40.98360656] ; [96.98360656 19.01639344],0
p11,1,0.789287,0.071415,[205  47] ; [93 23],[204.06521739  47.93478261] ; [93.93478261 22.06521739],0
p3,1,0.829561,0.046339,[152 100] ; [68 47],[151.0626703 100.9373297] ; [68.9373297 46.0626703],0
r3,1,0.83192,0.045046,[242  10] ; [110   4],[242.36065574   9.63934426] ; [109.63934426   4.36065574],0
a4,1,0.90671,0.013733,[120 132] ; [56 60],[120.52173913 131.47826087] ; [55.47826087 60.52173913],0
p4,1,0.911634,0.012316,[181  70] ; [83 33],[180.55585831  70.44414169] ; [83.44414169 32.55585831],0
b1,1,0.96589,0.001829,[ 95 157] ; [44 72],[ 95.18478261 156.81521739] ; [43.81521739 72.18478261],0
d3,1,0.969572,0.001455,[182  70] ; [84 32],[182.15217391  69.84782609] ; [83.84782609 32.15217391],0
a2,1,0.969572,0.001455,[ 70 182] ; [32 84],[ 69.84782609 182.15217391] ; [32.15217391 83.84782609],0
s1,1,0.989102,0.000187,[ 11 238] ; [  5 109],[ 10.97520661 238.02479339] ; [  5.02479339 108.97520661],0
