Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.024496,5.059159,[45 16] ; [11 12],[40.66666667 20.33333333] ; [15.33333333  7.66666667],0
p6,1,0.025345,5.000157,[26 35] ; [ 3 17],[21.83950617 39.16049383] ; [ 7.16049383 12.83950617],0
s7,1,0.092065,2.837898,[27 29] ; [ 6 16],[23.69230769 32.30769231] ; [ 9.30769231 12.69230769],0
n6,1,0.092745,2.82607,[43 17] ; [12 11],[39.75903614 20.24096386] ; [15.24096386  7.75903614],0
s4,1,0.120191,2.414825,[18 43] ; [ 3 20],[15.25 45.75] ; [ 5.75 17.25],0
p8,1,0.137506,2.205648,[40 21] ; [11 12],[37.03571429 23.96428571] ; [13.96428571  9.03571429],0
s5,1,0.186508,1.744985,[26 34] ; [ 6 16],[23.41463415 36.58536585] ; [ 8.58536585 13.41463415],0
p10,1,0.203773,1.615121,[45 15] ; [14  9],[42.65060241 17.34939759] ; [16.34939759  6.65060241],0
a3,1,0.207075,1.591756,[36 25] ; [17  6],[38.48809524 22.51190476] ; [14.51190476  8.48809524],0
a4,1,0.209957,1.57172,[22 39] ; [ 5 18],[19.60714286 41.39285714] ; [ 7.39285714 15.60714286],0
b3,1,0.237134,1.397552,[ 9 25] ; [5 6],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
b2,1,0.237134,1.397552,[ 9 25] ; [5 6],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
a5,1,0.248841,1.329801,[45 16] ; [14  9],[42.8452381 18.1547619] ; [16.1547619  6.8452381],0
r4,1,0.291393,1.113173,[50 11] ; [21  2],[51.55952381  9.44047619] ; [19.44047619  3.55952381],0
v2,1,0.314188,1.012987,[30 26] ; [ 9 13],[28. 28.] ; [11. 11.],0
v1,1,0.316553,1.003135,[27 31] ; [13  9],[29. 29.] ; [11. 11.],0
s2,1,0.338805,0.914948,[31 30] ; [ 9 14],[29.04761905 31.95238095] ; [10.95238095 12.04761905],0
s8,1,0.358485,0.843193,[28 33] ; [ 8 15],[26.14285714 34.85714286] ; [ 9.85714286 13.14285714],0
n5,1,0.361551,0.8325,[22 38] ; [ 6 17],[20.24096386 39.75903614] ; [ 7.75903614 15.24096386],0
v4,1,0.417059,0.658589,[55  6] ; [22  1],[55.91666667  5.08333333] ; [21.08333333  1.91666667],0
b1,1,0.431965,0.617534,[27 34] ; [ 8 15],[25.41666667 35.58333333] ; [ 9.58333333 13.41666667],0
s6,1,0.439068,0.598717,[45 16] ; [15  8],[43.57142857 17.42857143] ; [16.42857143  6.57142857],0
u3,1,0.457439,0.552155,[17  8] ; [5 1],[17.74193548  7.25806452] ; [4.25806452 1.74193548],0
n3,1,0.468717,0.525,[10  6] ; [4 1],[10.66666667  5.33333333] ; [3.33333333 1.66666667],0
a1,1,0.514071,0.425771,[ 3 58] ; [ 2 21],[ 3.63095238 57.36904762] ; [ 1.36904762 21.63095238],0
p12,1,0.541348,0.373047,[ 5 56] ; [ 1 22],[ 4.35714286 56.64285714] ; [ 1.64285714 21.35714286],0
