Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000386,12.6,[4 3] ; [ 2 33],[1. 6.] ; [ 5. 30.],1
s6,1,0.000722,11.430895,[5 1] ; [ 6 29],[1.6097561 4.3902439] ; [ 9.3902439 25.6097561],1
p2,1,0.002492,9.146667,[6 1] ; [ 9 26],[2.5 4.5] ; [12.5 22.5],0
s3,1,0.003043,8.781739,[6 1] ; [ 9 25],[2.56097561 4.43902439] ; [12.43902439 21.56097561],0
p7,1,0.011163,6.439257,[5 2] ; [ 8 27],[2.16666667 4.83333333] ; [10.83333333 24.16666667],0
p4,1,0.011163,6.439257,[5 2] ; [ 8 27],[2.16666667 4.83333333] ; [10.83333333 24.16666667],0
p3,1,0.011163,6.439257,[5 2] ; [ 8 27],[2.16666667 4.83333333] ; [10.83333333 24.16666667],0
v2,1,0.013137,6.150568,[5 2] ; [ 8 26],[2.2195122 4.7804878] ; [10.7804878 23.2195122],0
r4,1,0.01796,5.6,[3 4] ; [ 3 32],[1. 6.] ; [ 5. 30.],0
s2,1,0.023313,5.145,[4 3] ; [ 6 29],[1.66666667 5.33333333] ; [ 8.33333333 26.66666667],0
b1,1,0.038434,4.285714,[6 1] ; [15 20],[3.5 3.5] ; [17.5 17.5],0
s5,1,0.038787,4.270153,[2 4] ; [ 2 32],[0.6 5.4] ; [ 3.4 30.6],0
a8,1,0.04167,4.148571,[3 4] ; [ 4 31],[1.16666667 5.83333333] ; [ 5.83333333 29.16666667],0
p8,1,0.051906,3.77879,[3 4] ; [ 4 29],[1.225 5.775] ; [ 5.775 27.225],0
p9,1,0.052696,3.75354,[6 1] ; [15 18],[3.675 3.325] ; [17.325 15.675],0
s7,1,0.080175,3.061354,[3 3] ; [ 6 28],[1.35 4.65] ; [ 7.65 26.35],0
p10,1,0.107071,2.596933,[5 2] ; [13 21],[3.07317073 3.92682927] ; [14.92682927 19.07317073],0
v3,1,0.11387,2.499677,[3 3] ; [ 7 28],[1.46341463 4.53658537] ; [ 8.53658537 26.46341463],0
a2,1,0.135805,2.224865,[2 5] ; [ 3 32],[0.83333333 6.16666667] ; [ 4.16666667 30.83333333],0
u2,1,0.179712,1.8,[1 1] ; [ 2 14],[0.33333333 1.66666667] ; [ 2.66666667 13.33333333],0
a5,1,0.269004,1.221818,[5 2] ; [17 18],[3.66666667 3.33333333] ; [18.33333333 16.66666667],0
d4,1,0.325062,0.968471,[3 4] ; [22 13],[4.16666667 2.83333333] ; [20.83333333 14.16666667],0
a6,1,0.331796,0.941876,[5 2] ; [18 17],[3.83333333 3.16666667] ; [19.16666667 15.83333333],0
b5,1,0.331796,0.941876,[5 2] ; [18 17],[3.83333333 3.16666667] ; [19.16666667 15.83333333],0
a4,1,0.385549,0.752934,[3 4] ; [ 9 25],[2.04878049 4.95121951] ; [ 9.95121951 24.04878049],0
d5,1,0.402784,0.7,[5 2] ; [19 16],[4. 3.] ; [20. 15.],0
a3,1,0.402784,0.7,[5 2] ; [19 16],[4. 3.] ; [20. 15.],0
p11,1,0.488174,0.480549,[4 3] ; [15 20],[3.16666667 3.83333333] ; [15.83333333 19.16666667],0
b2,1,0.565927,0.329545,[1 3] ; [10 15],[1.51724138 2.48275862] ; [ 9.48275862 15.51724138],0
b3,1,0.565927,0.329545,[1 3] ; [10 15],[1.51724138 2.48275862] ; [ 9.48275862 15.51724138],0
a7,1,0.580483,0.305455,[4 3] ; [16 19],[3.33333333 3.66666667] ; [16.66666667 18.33333333],0
r2,1,0.622496,0.242375,[4 3] ; [15 17],[3.41025641 3.58974359] ; [15.58974359 16.41025641],0
n4,1,0.665706,0.186667,[4 3] ; [23 12],[4.5 2.5] ; [22.5 12.5],0
b4,1,0.665706,0.186667,[4 3] ; [23 12],[4.5 2.5] ; [22.5 12.5],0
d3,1,0.678845,0.171429,[3 4] ; [18 17],[3.5 3.5] ; [17.5 17.5],0
d2,1,0.730626,0.118537,[3 4] ; [17 17],[3.41463415 3.58536585] ; [16.58536585 17.41463415],0
n6,1,0.730626,0.118537,[4 3] ; [17 17],[3.58536585 3.41463415] ; [17.41463415 16.58536585],0
n2,1,0.848936,0.036281,[1 1] ; [6 8],[0.875 1.125] ; [6.125 7.875],0
s4,1,0.8531,0.034286,[1 6] ; [ 6 29],[1.16666667 5.83333333] ; [ 5.83333333 29.16666667],0
p1,1,0.8531,0.034286,[1 6] ; [ 6 29],[1.16666667 5.83333333] ; [ 5.83333333 29.16666667],0
n5,1,0.881342,0.022281,[5 2] ; [24 11],[4.83333333 2.16666667] ; [24.16666667 10.83333333],0
d1,1,0.888196,0.019765,[3 4] ; [14 21],[2.83333333 4.16666667] ; [14.16666667 20.83333333],0
v1,1,0.909048,0.013051,[2 5] ; [ 9 25],[1.87804878 5.12195122] ; [ 9.12195122 24.87804878],0
n1,1,1.0,0.0,[1 1] ; [7 7],[1. 1.] ; [7. 7.],0
