Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,52.426532,[89 18] ; [ 4 26],[72.6350365 34.3649635] ; [20.3649635  9.6350365],1
v4,1,1e-06,24.545935,[98  9] ; [16 14],[89.03649635 17.96350365] ; [24.96350365  5.03649635],1
p11,1,2e-06,22.200115,[84 23] ; [10 20],[73.41605839 33.58394161] ; [20.58394161  9.41605839],1
p9,1,0.000212,13.720238,[82 24] ; [11 16],[74.12030075 31.87969925] ; [18.87969925  8.12030075],1
r2,1,0.001789,9.754154,[91 14] ; [17 11],[85.26315789 19.73684211] ; [22.73684211  5.26315789],0
r1,1,0.002418,9.201332,[72 35] ; [11 19],[64.82481752 42.17518248] ; [18.17518248 11.82481752],0
a5,1,0.003503,8.525083,[74 33] ; [12 18],[67.16788321 39.83211679] ; [18.83211679 11.16788321],0
d4,1,0.006862,7.308687,[78 29] ; [14 16],[71.8540146 35.1459854] ; [20.1459854  9.8540146],0
n6,1,0.007265,7.206209,[88 18] ; [18 12],[82.61764706 23.38235294] ; [23.38235294  6.61764706],0
p2,1,0.010403,6.564512,[74 31] ; [13 16],[68.17164179 36.82835821] ; [18.82835821 10.17164179],0
a4,1,0.011067,6.454485,[46 61] ; [ 5 24],[40.125 66.875] ; [10.875 18.125],0
v2,1,0.012642,6.218477,[54 51] ; [ 7 21],[48.15789474 56.84210526] ; [12.84210526 15.15789474],0
d5,1,0.012993,6.17005,[76 31] ; [14 16],[70.2919708 36.7080292] ; [19.7080292 10.2919708],0
n3,1,0.013141,6.150003,[23  9] ; [ 6 11],[18.93877551 13.06122449] ; [10.06122449  6.93877551],0
p3,1,0.016028,5.7998,[44 62] ; [ 5 24],[38.47407407 67.52592593] ; [10.52592593 18.47407407],0
p10,1,0.024676,5.046464,[71 34] ; [13 16],[65.82089552 39.17910448] ; [18.17910448 10.82089552],0
u3,1,0.038291,4.292063,[19 23] ; [ 2 12],[15.75 26.25] ; [5.25 8.75],0
p7,1,0.046465,3.964664,[57 50] ; [ 9 19],[52.31111111 54.68888889] ; [13.68888889 14.31111111],0
s7,1,0.046586,3.960272,[30 73] ; [ 3 25],[25.94656489 77.05343511] ; [ 7.05343511 20.94656489],0
s8,1,0.047838,3.915675,[29 77] ; [ 3 27],[24.94117647 81.05882353] ; [ 7.05882353 22.94117647],0
p4,1,0.048297,3.899627,[51 55] ; [ 8 21],[46.32592593 59.67407407] ; [12.67407407 16.32592593],0
d1,1,0.060323,3.528478,[49 58] ; [ 8 22],[44.51824818 62.48175182] ; [12.48175182 17.51824818],0
v1,1,0.061835,3.487471,[48 57] ; [ 8 22],[43.55555556 61.44444444] ; [12.44444444 17.55555556],0
n2,1,0.077535,3.115836,[23 10] ; [ 8 10],[20.05882353 12.94117647] ; [10.94117647  7.05882353],0
p6,1,0.0833,2.999304,[31 73] ; [ 4 25],[27.36842105 76.63157895] ; [ 7.63157895 21.36842105],0
p8,1,0.109258,2.56492,[45 60] ; [ 8 22],[41.22222222 63.77777778] ; [11.77777778 18.22222222],0
s6,1,0.109258,2.56492,[45 60] ; [ 8 22],[41.22222222 63.77777778] ; [11.77777778 18.22222222],0
b5,1,0.180964,1.789687,[54 53] ; [11 19],[50.76642336 56.23357664] ; [14.23357664 15.76642336],0
s2,1,0.191185,1.70846,[17 89] ; [ 2 28],[14.80882353 91.19117647] ; [ 4.19117647 25.80882353],0
n5,1,0.206941,1.592697,[77 30] ; [25  5],[79.66423358 27.33576642] ; [22.33576642  7.66423358],0
s5,1,0.270692,1.213235,[27 75] ; [ 5 25],[24.72727273 77.27272727] ; [ 7.27272727 22.72727273],0
a1,1,0.271474,1.209283,[  5 102] ; [ 3 27],[  6.24817518 100.75182482] ; [ 1.75182482 28.24817518],0
d2,1,0.329563,0.950614,[51 55] ; [11 18],[48.68148148 57.31851852] ; [13.31851852 15.68148148],0
p12,1,0.329859,0.949451,[  3 102] ; [ 2 28],[  3.88888889 101.11111111] ; [ 1.11111111 28.88888889],0
s4,1,0.335789,0.926441,[11 96] ; [ 5 25],[12.49635036 94.50364964] ; [ 3.50364964 26.49635036],0
v3,1,0.41346,0.668829,[33 70] ; [ 7 22],[31.21212121 71.78787879] ; [ 8.78787879 20.21212121],0
b1,1,0.434721,0.610179,[52 55] ; [17 13],[53.89051095 53.10948905] ; [15.10948905 14.89051095],0
a3,1,0.465364,0.532962,[65 42] ; [16 14],[63.26277372 43.73722628] ; [17.73722628 12.26277372],0
n4,1,0.480729,0.497209,[75 32] ; [19 11],[73.41605839 33.58394161] ; [20.58394161  9.41605839],0
u2,1,0.488775,0.479223,[19 22] ; [5 9],[17.89090909 23.10909091] ; [6.10909091 7.89090909],0
d3,1,0.495767,0.463987,[43 64] ; [10 20],[41.39416058 65.60583942] ; [11.60583942 18.39416058],0
s1,1,0.50773,0.438743,[  7 100] ; [ 1 29],[  6.24817518 100.75182482] ; [ 1.75182482 28.24817518],0
b2,1,0.653,0.202139,[26 38] ; [ 7 13],[25.14285714 38.85714286] ; [ 7.85714286 12.14285714],0
b3,1,0.653,0.202139,[26 38] ; [ 7 13],[25.14285714 38.85714286] ; [ 7.85714286 12.14285714],0
p5,1,0.679996,0.17013,[10 97] ; [ 2 27],[ 9.44117647 97.55882353] ; [ 2.55882353 26.44117647],0
b4,1,0.75118,0.100542,[57 50] ; [15 15],[56.23357664 50.76642336] ; [15.76642336 14.23357664],0
a6,1,0.912071,0.012194,[44 63] ; [12 18],[43.73722628 63.26277372] ; [12.26277372 17.73722628],0
p1,1,0.980576,0.000593,[  7 100] ; [ 2 28],[ 7.02919708 99.97080292] ; [ 1.97080292 28.02919708],0
n1,1,1.0,0.0,[11 22] ; [ 6 12],[11. 22.] ; [ 6. 12.],0
