Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.650506,[74 44] ; [ 3 32],[59.38562092 58.61437908] ; [17.61437908 17.38562092],1
r3,1,0.0,29.919468,[102  16] ; [14 20],[90.05263158 27.94736842] ; [25.94736842  8.05263158],1
p2,1,0.0,26.622002,[87 31] ; [ 9 26],[74.03921569 43.96078431] ; [21.96078431 13.03921569],1
r2,1,0.000153,14.330656,[94 23] ; [15 17],[85.59060403 31.40939597] ; [23.40939597  8.59060403],1
p9,1,0.000176,14.066986,[90 24] ; [15 18],[81.42857143 32.57142857] ; [23.57142857  9.42857143],1
s6,1,0.000216,13.684168,[61 55] ; [ 6 29],[51.47019868 64.52980132] ; [15.52980132 19.47019868],1
p10,1,0.000486,12.168382,[83 34] ; [13 21],[74.38410596 42.61589404] ; [21.61589404 12.38410596],1
n6,1,0.000932,10.958632,[93 25] ; [17 17],[85.39473684 32.60526316] ; [24.60526316  9.39473684],1
s1,1,0.001988,9.560322,[  1 117] ; [ 4 31],[  3.85620915 114.14379085] ; [ 1.14379085 33.85620915],0
n2,1,0.008806,6.861654,[32  8] ; [6 8],[28.14814815 11.85185185] ; [9.85185185 4.14814815],0
u2,1,0.010979,6.468765,[25 27] ; [ 2 14],[20.64705882 31.35294118] ; [6.35294118 9.64705882],0
p8,1,0.012007,6.309783,[41 77] ; [ 4 29],[35.16556291 82.83443709] ; [ 9.83443709 23.16556291],0
s2,1,0.013239,6.136838,[47 71] ; [ 6 29],[40.87581699 77.12418301] ; [12.12418301 22.87581699],0
p11,1,0.013377,6.118566,[78 40] ; [15 20],[71.7254902 46.2745098] ; [21.2745098 13.7254902],0
p1,1,0.019794,5.429998,[  6 112] ; [ 6 29],[  9.25490196 108.74509804] ; [ 2.74509804 32.25490196],0
p7,1,0.021886,5.254787,[52 65] ; [ 8 27],[46.18421053 70.81578947] ; [13.81578947 21.18421053],0
u3,1,0.024236,5.077654,[23 30] ; [ 2 14],[19.20289855 33.79710145] ; [ 5.79710145 10.20289855],0
s8,1,0.034975,4.446403,[25 93] ; [ 2 33],[20.82352941 97.17647059] ; [ 6.17647059 28.82352941],0
s5,1,0.043089,4.091912,[24 91] ; [ 2 32],[20.06711409 94.93288591] ; [ 5.93288591 28.06711409],0
s3,1,0.049475,3.859172,[53 64] ; [ 9 25],[48.0397351 68.9602649] ; [13.9602649 20.0397351],0
p4,1,0.054597,3.694343,[48 70] ; [ 8 27],[43.18954248 74.81045752] ; [12.81045752 22.18954248],0
d2,1,0.094093,2.80292,[40 77] ; [17 17],[44.16556291 72.83443709] ; [12.83443709 21.16556291],0
n1,1,0.139641,2.181909,[11 28] ; [7 7],[13.24528302 25.75471698] ; [4.75471698 9.24528302],0
a7,1,0.154152,2.030677,[70 48] ; [16 19],[66.32679739 51.67320261] ; [19.67320261 15.32679739],0
p3,1,0.158316,1.990241,[42 76] ; [ 8 27],[38.5620915 79.4379085] ; [11.4379085 23.5620915],0
b5,1,0.165959,1.919071,[76 42] ; [18 17],[72.49673203 45.50326797] ; [21.50326797 13.49673203],0
b4,1,0.168442,1.896755,[62 56] ; [23 12],[65.55555556 52.44444444] ; [19.44444444 15.55555556],0
u1,1,0.197598,1.660038,[  4 114] ; [ 3 32],[  5.39869281 112.60130719] ; [ 1.60130719 33.39869281],0
v1,1,0.215551,1.533745,[43 70] ; [ 9 25],[39.97278912 73.02721088] ; [12.02721088 21.97278912],0
d5,1,0.238526,1.389286,[77 41] ; [19 16],[74.03921569 43.96078431] ; [21.96078431 13.03921569],0
s7,1,0.23887,1.387249,[31 81] ; [ 6 28],[28.38356164 83.61643836] ; [ 8.61643836 25.38356164],0
n3,1,0.243206,1.361912,[27 13] ; [7 7],[25.18518519 14.81481481] ; [8.81481481 5.18518519],0
p5,1,0.268236,1.225748,[ 10 107] ; [ 1 33],[  8.52317881 108.47682119] ; [ 2.47682119 31.52317881],0
v2,1,0.349146,0.876558,[37 79] ; [ 8 26],[34.8 81.2] ; [10.2 23.8],0
b3,1,0.350861,0.870339,[19 45] ; [10 15],[20.85393258 43.14606742] ; [ 8.14606742 16.85393258],0
b2,1,0.350861,0.870339,[19 45] ; [10 15],[20.85393258 43.14606742] ; [ 8.14606742 16.85393258],0
a1,1,0.36897,0.80713,[  8 110] ; [ 4 31],[  9.25490196 108.74509804] ; [ 2.74509804 32.25490196],0
d1,1,0.392444,0.731355,[38 80] ; [14 21],[40.10457516 77.89542484] ; [11.89542484 23.10457516],0
n4,1,0.496357,0.462717,[70 48] ; [23 12],[71.7254902 46.2745098] ; [21.2745098 13.7254902],0
a8,1,0.53718,0.380791,[  9 103] ; [ 4 31],[  9.9047619 102.0952381] ; [ 3.0952381 31.9047619],0
n5,1,0.649298,0.206787,[76 42] ; [24 11],[77.12418301 40.87581699] ; [22.87581699 12.12418301],0
a4,1,0.649526,0.206498,[36 82] ; [ 9 25],[34.93421053 83.06578947] ; [10.06578947 23.93421053],0
s4,1,0.675768,0.174929,[24 94] ; [ 6 29],[23.1372549 94.8627451] ; [ 6.8627451 28.1372549],0
a2,1,0.677985,0.172403,[ 13 105] ; [ 3 32],[ 12.33986928 105.66013072] ; [ 3.66013072 31.33986928],0
a5,1,0.679722,0.17044,[62 56] ; [17 18],[60.92810458 57.07189542] ; [18.07189542 16.92810458],0
d4,1,0.723135,0.125509,[78 40] ; [22 13],[77.12418301 40.87581699] ; [22.87581699 12.12418301],0
a6,1,0.769819,0.085622,[64 54] ; [18 17],[63.24183007 54.75816993] ; [18.75816993 16.24183007],0
d3,1,0.813038,0.055936,[58 60] ; [18 17],[58.61437908 59.38562092] ; [17.38562092 17.61437908],0
v3,1,0.843916,0.038765,[25 91] ; [ 7 28],[24.58278146 91.41721854] ; [ 7.41721854 27.58278146],0
b1,1,0.888451,0.019674,[49 69] ; [15 20],[49.35947712 68.64052288] ; [14.64052288 20.35947712],0
a3,1,0.894543,0.017571,[65 52] ; [19 16],[64.65789474 52.34210526] ; [19.34210526 15.65789474],0
