Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,1e-06,24.993196,[98 69] ; [ 82 161],[73.31707317 93.68292683] ; [106.68292683 136.31707317],1
u1,1,0.001246,10.421373,[ 38 135] ; [ 26 222],[ 26.29928741 146.70071259] ; [ 37.70071259 210.29928741],0
r1,1,0.011711,6.354089,[140  32] ; [175  73],[129.  43.] ; [186.  62.],0
d5,1,0.02037,5.379886,[143  30] ; [181  67],[133.14014252  39.85985748] ; [190.85985748  57.14014252],0
d3,1,0.030589,4.675875,[123  50] ; [151  97],[112.59382423  60.40617577] ; [161.40617577  86.59382423],0
d1,1,0.031839,4.607163,[100  73] ; [117 131],[89.17102138 83.82897862] ; [127.82897862 120.17102138],0
a3,1,0.041157,4.16953,[124  49] ; [154  94],[114.23752969  58.76247031] ; [163.76247031  84.23752969],0
a5,1,0.046128,3.976912,[132  41] ; [167  81],[122.86698337  50.13301663] ; [176.13301663  71.86698337],0
n3,1,0.057039,3.62146,[31  5] ; [42 19],[27.09278351  8.90721649] ; [45.90721649 15.09278351],0
n2,1,0.062944,3.458057,[31  5] ; [43 19],[27.18367347  8.81632653] ; [46.81632653 15.18367347],0
a7,1,0.071001,3.259721,[128  45] ; [163  85],[119.57957245  53.42042755] ; [171.42042755  76.57957245],0
d4,1,0.071334,3.252056,[145  28] ; [190  58],[137.66033254  35.33966746] ; [197.33966746  50.66033254],0
r3,1,0.072685,3.221326,[167   5] ; [230  17],[162.96897375   9.03102625] ; [234.03102625  12.96897375],0
p3,1,0.1103,2.549915,[86 86] ; [104 143],[77.99522673 94.00477327] ; [112.00477327 134.99522673],0
p1,1,0.124489,2.359911,[  7 166] ; [ 19 227],[ 10.73508353 162.26491647] ; [ 15.26491647 230.73508353],0
a6,1,0.145187,2.122109,[122  51] ; [158  90],[115.05938242  57.94061758] ; [164.94061758  83.05938242],0
d2,1,0.196934,1.664969,[81 92] ; [100 147],[74.5547619 98.4452381] ; [106.4452381 140.5547619],0
s4,1,0.207879,1.586136,[ 27 145] ; [ 50 193],[ 31.91325301 140.08674699] ; [ 45.08674699 197.91325301],0
p7,1,0.22563,1.468201,[112  58] ; [144  96],[106.14634146  63.85365854] ; [149.85365854  90.14634146],0
s7,1,0.284266,1.146582,[75 94] ; [ 93 145],[69.75921376 99.24078624] ; [ 98.24078624 139.75921376],0
p4,1,0.295674,1.093606,[105  66] ; [139 108],[99.81818182 71.18181818] ; [144.18181818 102.81818182],0
p9,1,0.33789,0.91842,[149  22] ; [206  40],[145.57553957  25.42446043] ; [209.42446043  36.57553957],0
s1,1,0.347933,0.880982,[  3 168] ; [  8 238],[  4.51079137 166.48920863] ; [  6.48920863 239.51079137],0
u2,1,0.403022,0.699291,[23 24] ; [53 41],[25.33333333 21.66666667] ; [50.66666667 43.33333333],0
s3,1,0.444676,0.584186,[84 88] ; [130 117],[87.84725537 84.15274463] ; [126.15274463 120.84725537],0
p2,1,0.451407,0.567117,[143  29] ; [212  35],[145.72792363  26.27207637] ; [209.27207637  37.72792363],0
n4,1,0.470327,0.521208,[131  42] ; [180  68],[127.79809976  45.20190024] ; [183.20190024  64.79809976],0
b1,1,0.486921,0.483322,[ 65 108] ; [ 85 163],[ 61.63895487 111.36104513] ; [ 88.36104513 159.63895487],0
a8,1,0.534431,0.38596,[ 25 136] ; [ 31 202],[ 22.88324873 138.11675127] ; [ 33.11675127 199.88324873],0
b5,1,0.621018,0.24444,[106  67] ; [146 102],[103.55344418  69.44655582] ; [148.44655582  99.55344418],0
p6,1,0.628535,0.234052,[ 63 106] ; [ 86 160],[ 60.67710843 108.32289157] ; [ 88.32289157 157.67710843],0
v4,1,0.6446,0.212776,[157  13] ; [231  16],[158.17745803  11.82254197] ; [229.82254197  17.17745803],0
p10,1,0.649065,0.207081,[142  29] ; [200  46],[140.24460432  30.75539568] ; [201.75539568  44.24460432],0
n6,1,0.662857,0.190072,[144  27] ; [204  43],[142.36363636  28.63636364] ; [205.63636364  41.36363636],0
b2,1,0.683037,0.166728,[37 76] ; [51 94],[38.54263566 74.45736434] ; [49.45736434 95.54263566],0
b3,1,0.683037,0.166728,[37 76] ; [51 94],[38.54263566 74.45736434] ; [49.45736434 95.54263566],0
s6,1,0.692479,0.156414,[112  60] ; [153  89],[110.09661836  61.90338164] ; [154.90338164  87.09661836],0
a1,1,0.706349,0.141952,[  6 167] ; [  7 241],[  5.34204276 167.65795724] ; [  7.65795724 240.34204276],0
s2,1,0.716655,0.13172,[80 92] ; [110 136],[78.18181818 93.81818182] ; [111.81818182 134.18181818],0
u3,1,0.734591,0.114938,[27 22] ; [54 39],[27.95070423 21.04929577] ; [53.04929577 39.95070423],0
a2,1,0.776195,0.080816,[ 34 139] ; [ 46 202],[ 32.87410926 140.12589074] ; [ 47.12589074 200.87410926],0
u4,1,0.783978,0.075152,[  1 172] ; [  2 246],[  1.2327791 171.7672209] ; [  1.7672209 246.2327791],0
s8,1,0.812463,0.056288,[ 65 108] ; [ 90 157],[ 63.8452381 109.1547619] ; [ 91.1547619 155.8452381],0
n1,1,0.829288,0.04649,[12 24] ; [22 40],[12.48979592 23.51020408] ; [21.51020408 40.48979592],0
b4,1,0.919692,0.010165,[102  71] ; [145 103],[101.49881235  71.50118765] ; [145.50118765 102.49881235],0
n5,1,0.934885,0.006675,[121  49] ; [176  70],[121.37019231  48.62980769] ; [175.62980769  70.37019231],0
p5,1,0.937279,0.006192,[ 15 157] ; [ 22 224],[ 15.22488038 156.77511962] ; [ 21.77511962 224.22488038],0
p8,1,0.950199,0.003901,[90 80] ; [131 115],[90.3125 79.6875] ; [130.6875 115.3125],0
r2,1,0.956204,0.003016,[153  14] ; [225  21],[152.84745763  14.15254237] ; [225.15254237  20.84745763],0
s5,1,0.959204,0.002617,[ 52 113] ; [ 76 167],[ 51.76470588 113.23529412] ; [ 76.23529412 166.76470588],0
r4,1,0.961885,0.002284,[149  24] ; [214  34],[149.16627078  23.83372922] ; [213.83372922  34.16627078],0
p12,1,0.97361,0.001094,[  9 163] ; [ 13 232],[  9.07434053 162.92565947] ; [ 12.92565947 232.07434053],0
a4,1,0.996163,2.3e-05,[ 70 103] ; [100 147],[ 70.02380952 102.97619048] ; [ 99.97619048 147.02380952],0
