Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,179.277579,[787  32] ; [16 22],[767.39439907  51.60560093] ; [35.60560093  2.39439907],1
r1,1,8e-06,19.952595,[681 134] ; [21 17],[670.72684642 144.27315358] ; [31.27315358  6.72684642],1
d4,1,1.8e-05,18.361408,[675 140] ; [21 17],[664.99413834 150.00586166] ; [31.00586166  6.99413834],1
p11,1,2.1e-05,18.065637,[649 170] ; [19 19],[638.38039673 180.61960327] ; [29.61960327  8.38039673],1
v2,1,0.00031,13.007206,[447 335] ; [10 27],[436.35409035 345.64590965] ; [20.64590965 16.35409035],1
a6,1,0.000433,12.385625,[565 250] ; [16 22],[555.11723329 259.88276671] ; [25.88276671 12.11723329],1
p2,1,0.001004,10.819616,[676 136] ; [23 14],[668.53710247 143.46289753] ; [30.46289753  6.53710247],0
p7,1,0.001128,10.604351,[511 284] ; [13 22],[501.90361446 293.09638554] ; [22.09638554 12.90361446],0
d5,1,0.001433,10.163208,[664 151] ; [23 15],[656.3950762 158.6049238] ; [30.6049238  7.3950762],0
d1,1,0.001814,9.729155,[489 330] ; [13 25],[479.74095683 339.25904317] ; [22.25904317 15.74095683],0
d3,1,0.003569,8.491207,[568 246] ; [18 20],[559.86384977 254.13615023] ; [26.13615023 11.86384977],0
p4,1,0.005536,7.695379,[481 327] ; [14 24],[472.76595745 335.23404255] ; [22.23404255 15.76595745],0
b1,1,0.00775,7.09039,[299 520] ; [22 16],[306.76662777 512.23337223] ; [14.23337223 23.76662777],0
a7,1,0.012737,6.205263,[601 215] ; [21 17],[594.32318501 221.67681499] ; [27.67681499 10.32318501],0
s6,1,0.01405,6.031858,[545 256] ; [18 19],[538.14200477 262.85799523] ; [24.85799523 12.14200477],0
n1,1,0.014424,5.985485,[ 64 111] ; [14  8],[ 69.2893401 105.7106599] ; [ 8.7106599 13.2893401],0
p9,1,0.01445,5.982316,[681 123] ; [25 11],[675.74285714 128.25714286] ; [30.25714286  5.74285714],0
n6,1,0.02048,5.37052,[692 122] ; [27 11],[686.93192488 127.06807512] ; [32.06807512  5.93192488],0
s2,1,0.027718,4.845537,[425 385] ; [13 25],[418.37264151 391.62735849] ; [19.62735849 18.37264151],0
v1,1,0.02796,4.83051,[438 358] ; [14 24],[431.40527578 364.59472422] ; [20.59472422 17.40527578],0
u1,1,0.036894,4.355302,[152 667] ; [ 2 36],[147.17152859 671.82847141] ; [ 6.82847141 31.17152859],0
a2,1,0.044674,4.03092,[203 616] ; [ 4 34],[197.82147025 621.17852975] ; [ 9.17852975 28.82147025],0
v3,1,0.045454,4.00172,[320 464] ; [ 9 28],[314.17295981 469.82704019] ; [14.82704019 22.17295981],0
s3,1,0.045475,4.000949,[461 346] ; [14 21],[455.25534442 351.74465558] ; [19.74465558 15.25534442],0
p10,1,0.050511,3.82443,[654 151] ; [26 12],[649.34756821 155.65243179] ; [30.65243179  7.34756821],0
s7,1,0.056011,3.651716,[388 394] ; [12 24],[382.39608802 399.60391198] ; [17.60391198 18.39608802],0
p3,1,0.074538,3.180147,[407 405] ; [13 24],[401.69611307 410.30388693] ; [18.30388693 18.69611307],0
s1,1,0.107416,2.591837,[ 25 780] ; [ 3 35],[ 26.73784104 778.26215896] ; [ 1.26215896 36.73784104],0
a4,1,0.115671,2.474979,[372 444] ; [12 25],[367.34349355 448.65650645] ; [16.65650645 20.34349355],0
n4,1,0.11719,2.454482,[627 189] ; [25 13],[622.9882904 193.0117096] ; [29.0117096  8.9882904],0
s8,1,0.135601,2.227179,[365 448] ; [12 25],[360.58941176 452.41058824] ; [16.41058824 20.58941176],0
p6,1,0.183141,1.771948,[296 505] ; [10 28],[292.14064362 508.85935638] ; [13.85935638 24.14064362],0
a5,1,0.271857,1.207355,[604 214] ; [25 13],[601.0771028 216.9228972] ; [27.9228972 10.0771028],0
p5,1,0.298946,1.078891,[ 87 722] ; [ 6 31],[ 88.93262411 720.06737589] ; [ 4.06737589 32.93262411],0
a1,1,0.334666,0.930758,[ 37 782] ; [ 3 35],[ 38.22637106 780.77362894] ; [ 1.77362894 36.22637106],0
b4,1,0.355817,0.852604,[477 342] ; [25 13],[479.74095683 339.25904317] ; [22.25904317 15.74095683],0
d2,1,0.425718,0.634478,[397 418] ; [16 22],[394.6014068 420.3985932] ; [18.3985932 19.6014068],0
u2,1,0.466178,0.53102,[131 101] ; [6 7],[129.73061224 102.26938776] ; [7.26938776 5.73061224],0
n3,1,0.472296,0.5166,[131  46] ; [14  7],[129.62121212  47.37878788] ; [15.37878788  5.62121212],0
s5,1,0.498773,0.457546,[268 514] ; [11 27],[266.07073171 515.92926829] ; [12.92926829 25.07073171],0
b2,1,0.546844,0.363001,[185 302] ; [ 8 17],[183.57617188 303.42382812] ; [ 9.42382812 15.57617188],0
b3,1,0.546844,0.363001,[185 302] ; [ 8 17],[183.57617188 303.42382812] ; [ 9.42382812 15.57617188],0
p12,1,0.565271,0.330659,[ 63 744] ; [ 2 36],[ 62.07692308 744.92307692] ; [ 2.92307692 35.07692308],0
u3,1,0.601621,0.272558,[143  91] ; [7 6],[142.10526316  91.89473684] ; [7.89473684 5.10526316],0
a3,1,0.601709,0.272426,[583 232] ; [25 12],[581.59624413 233.40375587] ; [26.40375587 10.59624413],0
p1,1,0.662651,0.19032,[ 69 743] ; [ 4 34],[ 69.73647059 742.26352941] ; [ 3.26352941 34.73647059],0
p8,1,0.690411,0.15864,[417 385] ; [18 19],[415.81644815 386.18355185] ; [19.18355185 17.81644815],0
n2,1,0.837628,0.041996,[134  44] ; [17  5],[134.39  43.61] ; [16.61  5.39],0
s4,1,0.864007,0.029335,[136 671] ; [ 6 32],[135.61420118 671.38579882] ; [ 6.38579882 31.61420118],0
n5,1,0.93316,0.007034,[604 209] ; [28 10],[603.77908343 209.22091657] ; [28.22091657  9.77908343],0
