Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.052563,3.757764,[7 5] ; [16  2],[9.2 2.8] ; [13.8  4.2],0
n2,1,0.094264,2.8,[4 1] ; [3 6],[2.5 2.5] ; [4.5 4.5],0
v2,1,0.094362,2.798336,[6 5] ; [ 4 13],[3.92857143 7.07142857] ; [ 6.07142857 10.92857143],0
a4,1,0.113846,2.5,[ 2 10] ; [ 8 10],[4. 8.] ; [ 6. 12.],0
v1,1,0.113846,2.5,[ 2 10] ; [ 8 10],[4. 8.] ; [ 6. 12.],0
s4,1,0.136037,2.222222,[4 8] ; [ 2 16],[2.4 9.6] ; [ 3.6 14.4],0
b5,1,0.136037,2.222222,[4 8] ; [11  7],[6. 6.] ; [9. 9.],0
d5,1,0.136037,2.222222,[8 4] ; [ 7 11],[6. 6.] ; [9. 9.],0
n1,1,0.157504,1.998025,[3 2] ; [2 7],[1.78571429 3.21428571] ; [3.21428571 5.78571429],0
n5,1,0.175823,1.832579,[7 5] ; [ 6 12],[5.2 6.8] ; [ 7.8 10.2],0
u3,1,0.196667,1.666955,[1 6] ; [4 5],[2.1875 4.8125] ; [2.8125 6.1875],0
a7,1,0.295642,1.09375,[5 7] ; [11  7],[6.4 5.6] ; [9.6 8.4],0
b4,1,0.295642,1.09375,[7 5] ; [ 7 11],[5.6 6.4] ; [8.4 9.6],0
s7,1,0.307434,1.041667,[1 9] ; [ 4 11],[2. 8.] ; [ 3. 12.],0
s2,1,0.317311,1.0,[ 1 11] ; [ 4 14],[ 2. 10.] ; [ 3. 15.],0
a1,1,0.320316,0.987654,[ 2 10] ; [ 1 17],[ 1.2 10.8] ; [ 1.8 16.2],0
a6,1,0.366799,0.81448,[4 8] ; [9 9],[5.2 6.8] ; [ 7.8 10.2],0
b2,1,0.396144,0.72,[2 6] ; [1 9],[1.33333333 6.66666667] ; [1.66666667 8.33333333],0
b3,1,0.396144,0.72,[2 6] ; [1 9],[1.33333333 6.66666667] ; [1.66666667 8.33333333],0
p4,1,0.429195,0.625,[3 9] ; [ 7 11],[4. 8.] ; [ 6. 12.],0
p2,1,0.456057,0.555556,[7 5] ; [ 8 10],[6. 6.] ; [9. 9.],0
p10,1,0.473701,0.51333,[4 7] ; [9 9],[4.93103448 6.06896552] ; [8.06896552 9.93103448],0
s3,1,0.523094,0.407788,[3 8] ; [ 7 11],[3.79310345 7.20689655] ; [ 6.20689655 11.79310345],0
p7,1,0.542802,0.37037,[8 4] ; [10  8],[7.2 4.8] ; [10.8  7.2],0
d3,1,0.542802,0.37037,[4 8] ; [ 8 10],[4.8 7.2] ; [ 7.2 10.8],0
r3,1,0.547403,0.361991,[6 6] ; [11  7],[6.8 5.2] ; [10.2  7.8],0
r4,1,0.57615,0.3125,[3 9] ; [ 3 15],[2.4 9.6] ; [ 3.6 14.4],0
p3,1,0.630209,0.231777,[3 9] ; [ 3 14],[2.48275862 9.51724138] ; [ 3.51724138 13.48275862],0
s6,1,0.642636,0.215311,[5 7] ; [ 6 12],[4.4 7.6] ; [ 6.6 11.4],0
r1,1,0.642636,0.215311,[5 7] ; [ 6 12],[4.4 7.6] ; [ 6.6 11.4],0
p11,1,0.654001,0.200893,[5 7] ; [9 9],[5.6 6.4] ; [8.4 9.6],0
v4,1,0.654001,0.200893,[7 5] ; [9 9],[6.4 5.6] ; [9.6 8.4],0
a5,1,0.654001,0.200893,[5 7] ; [9 9],[5.6 6.4] ; [8.4 9.6],0
s5,1,0.661003,0.192308,[ 2 10] ; [ 2 16],[ 1.6 10.4] ; [ 2.4 15.6],0
a8,1,0.706146,0.142157,[ 2 10] ; [ 2 15],[ 1.65517241 10.34482759] ; [ 2.34482759 14.65517241],0
d1,1,0.709388,0.138889,[ 2 10] ; [ 4 14],[2.4 9.6] ; [ 3.6 14.4],0
d4,1,0.75706,0.095694,[8 4] ; [11  7],[7.6 4.4] ; [11.4  6.6],0
s1,1,0.803785,0.061728,[ 1 11] ; [ 2 16],[ 1.2 10.8] ; [ 1.8 16.2],0
a2,1,0.803785,0.061728,[ 1 11] ; [ 2 16],[ 1.2 10.8] ; [ 1.8 16.2],0
a3,1,0.812126,0.056494,[5 6] ; [9 9],[5.31034483 5.68965517] ; [8.68965517 9.31034483],0
u2,1,0.838464,0.041558,[5 2] ; [6 3],[4.8125 2.1875] ; [6.1875 2.8125],0
d2,1,0.866151,0.028409,[3 9] ; [ 5 13],[3.2 8.8] ; [ 4.8 13.2],0
n3,1,0.872081,0.025926,[3 2] ; [5 4],[2.85714286 2.14285714] ; [5.14285714 3.85714286],0
p8,1,0.912875,0.011971,[4 8] ; [ 6 11],[4.13793103 7.86206897] ; [ 5.86206897 11.13793103],0
p6,1,0.927375,0.008308,[3 9] ; [ 4 13],[2.89655172 9.10344828] ; [ 4.10344828 12.89655172],0
p9,1,0.957675,0.002817,[5 6] ; [ 8 10],[4.93103448 6.06896552] ; [8.06896552 9.93103448],0
s8,1,1.0,0.0,[ 2 10] ; [ 3 15],[ 2. 10.] ; [ 3. 15.],0
v3,1,1.0,0.0,[ 2 10] ; [ 3 15],[ 2. 10.] ; [ 3. 15.],0
