Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.430193,[14 26] ; [88 33],[25.34161491 14.65838509] ; [76.65838509 44.34161491],1
n5,1,0.000307,13.029022,[16 23] ; [88 33],[25.35 13.65] ; [78.65 42.35],1
s6,1,0.003926,8.317797,[15 24] ; [77 42],[22.70886076 16.29113924] ; [69.29113924 49.70886076],0
r4,1,0.00587,7.589842,[29 11] ; [109  12],[34.28571429  5.71428571] ; [103.71428571  17.28571429],0
u3,1,0.015155,5.898316,[12  1] ; [25 20],[8.29310345 4.70689655] ; [28.70689655 16.29310345],0
s5,1,0.015898,5.814173,[ 4 31] ; [37 78],[ 9.56666667 25.43333333] ; [31.43333333 83.56666667],0
u2,1,0.018526,5.545667,[11  2] ; [21 23],[7.29824561 5.70175439] ; [24.70175439 19.29824561],0
r2,1,0.019024,5.499288,[34  6] ; [115   5],[37.25  2.75] ; [111.75   8.25],0
p3,1,0.025678,4.977538,[ 7 32] ; [45 76],[12.675 26.325] ; [39.325 81.675],0
u1,1,0.042428,4.118035,[ 2 38] ; [22 99],[ 5.96273292 34.03726708] ; [ 18.03726708 102.96273292],0
s8,1,0.059346,3.555556,[10 30] ; [50 70],[15. 25.] ; [45. 75.],0
s4,1,0.064848,3.408852,[ 4 36] ; [28 91],[ 8.05031447 31.94968553] ; [23.94968553 95.05031447],0
p11,1,0.071353,3.251607,[19 21] ; [77 44],[23.85093168 16.14906832] ; [72.14906832 48.85093168],0
a8,1,0.086085,2.946102,[ 6 34] ; [  7 106],[ 3.39869281 36.60130719] ; [  9.60130719 103.39869281],0
p4,1,0.110639,2.54507,[ 9 30] ; [44 75],[13.08227848 25.91772152] ; [39.91772152 79.08227848],0
a7,1,0.122595,2.383849,[21 19] ; [80 41],[25.0931677 14.9068323] ; [75.9068323 45.0931677],0
p6,1,0.131003,2.280584,[ 5 33] ; [30 91],[ 8.36477987 29.63522013] ; [26.63522013 94.36477987],0
v3,1,0.136797,2.213628,[ 9 27] ; [44 70],[12.72 23.28] ; [40.28 73.72],0
p5,1,0.168484,1.896377,[ 1 38] ; [ 11 107],[ 2.98089172 36.01910828] ; [  9.01910828 108.98089172],0
p10,1,0.189882,1.718533,[21 18] ; [78 41],[24.43670886 14.56329114] ; [74.56329114 44.43670886],0
p9,1,0.208473,1.581998,[22 17] ; [79 38],[25.25 13.75] ; [75.75 41.25],0
b4,1,0.217074,1.523611,[19 21] ; [71 50],[22.36024845 17.63975155] ; [67.63975155 53.36024845],0
p12,1,0.221147,1.49691,[ 1 38] ; [ 10 111],[ 2.68125 36.31875] ; [  8.31875 112.68125],0
s3,1,0.231137,1.433849,[22 18] ; [52 66],[18.73417722 21.26582278] ; [55.26582278 62.73417722],0
n2,1,0.239963,1.380814,[14  7] ; [29  7],[15.84210526  5.15789474] ; [27.15789474  8.84210526],0
d1,1,0.254433,1.298798,[17 23] ; [64 57],[20.1242236 19.8757764] ; [60.8757764 60.1242236],0
s7,1,0.266847,1.232882,[11 25] ; [47 68],[13.82781457 22.17218543] ; [44.17218543 70.82781457],0
a6,1,0.275114,1.191067,[21 18] ; [77 44],[23.8875 15.1125] ; [74.1125 46.8875],0
d2,1,0.282487,1.155085,[15 24] ; [58 62],[17.90566038 21.09433962] ; [55.09433962 64.90566038],0
b5,1,0.330508,0.946905,[22 18] ; [77 44],[24.59627329 15.40372671] ; [74.40372671 46.59627329],0
a2,1,0.372739,0.794511,[ 6 34] ; [26 95],[ 7.95031056 32.04968944] ; [24.04968944 96.95031056],0
r3,1,0.376511,0.782064,[34  6] ; [109  12],[35.52795031  4.47204969] ; [107.47204969  13.52795031],0
v2,1,0.418245,0.655242,[16 20] ; [60 55],[18.1192053 17.8807947] ; [57.8807947 57.1192053],0
s1,1,0.460949,0.54359,[ 4 35] ; [  8 112],[ 2.94339623 36.05660377] ; [  9.05660377 110.94339623],0
b3,1,0.552841,0.352252,[ 7 16] ; [29 49],[ 8.1980198 14.8019802] ; [27.8019802 50.1980198],0
b2,1,0.552841,0.352252,[ 7 16] ; [29 49],[ 8.1980198 14.8019802] ; [27.8019802 50.1980198],0
v1,1,0.588344,0.292937,[15 25] ; [50 68],[16.4556962 23.5443038] ; [48.5443038 69.4556962],0
p1,1,0.596235,0.280712,[ 2 38] ; [  9 112],[ 2.73291925 37.26708075] ; [  8.26708075 112.73291925],0
b1,1,0.616514,0.250798,[21 19] ; [58 63],[19.62732919 20.37267081] ; [59.37267081 61.62732919],0
a3,1,0.633679,0.227105,[27 13] ; [76 44],[25.75 14.25] ; [77.25 42.75],0
d4,1,0.67126,0.180132,[28 11] ; [91 30],[29.00625  9.99375] ; [89.99375 31.00625],0
a5,1,0.677237,0.173252,[25 15] ; [80 41],[26.08695652 13.91304348] ; [78.91304348 42.08695652],0
a4,1,0.713628,0.13468,[17 23] ; [55 65],[18. 22.] ; [54. 66.],0
s2,1,0.744725,0.106017,[19 21] ; [53 66],[18.11320755 21.88679245] ; [53.88679245 65.11320755],0
d5,1,0.826012,0.048321,[27 12] ; [86 35],[27.54375 11.45625] ; [85.45625 35.54375],0
n1,1,0.836288,0.042702,[ 8 12] ; [15 20],[ 8.36363636 11.63636364] ; [14.63636364 20.36363636],0
n3,1,0.840309,0.040602,[13  6] ; [23 12],[12.66666667  6.33333333] ; [23.33333333 11.66666667],0
d3,1,0.874216,0.025061,[22 17] ; [70 51],[22.425 16.575] ; [69.575 51.425],0
p7,1,0.889938,0.01915,[13 24] ; [40 78],[12.6516129 24.3483871] ; [40.3483871 77.6516129],0
r1,1,0.896106,0.017052,[29 11] ; [89 32],[29.31677019 10.68322981] ; [88.68322981 32.31677019],0
p8,1,0.979085,0.000687,[10 30] ; [30 91],[ 9.9378882 30.0621118] ; [30.0621118 90.9378882],0
a1,1,0.989676,0.000167,[ 3 37] ; [  9 112],[ 2.98136646 37.01863354] ; [  9.01863354 111.98136646],0
