Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.4e-05,18.907767,[114  11] ; [2 4],[110.6870229  14.3129771] ; [5.3129771 0.6870229],1
s6,1,0.000485,12.172075,[104  16] ; [2 4],[100.95238095  19.04761905] ; [5.04761905 0.95238095],1
r1,1,0.011177,6.436974,[98 27] ; [2 4],[95.41984733 29.58015267] ; [4.58015267 1.41984733],0
b4,1,0.039669,4.231965,[74 51] ; [1 5],[71.5648855 53.4351145] ; [3.4351145 2.5648855],0
s3,1,0.044774,4.027138,[89 35] ; [2 4],[86.8 37.2] ; [4.2 1.8],0
p6,1,0.055914,3.654631,[54 70] ; [5 1],[56.27692308 67.72307692] ; [2.72307692 3.27692308],0
b1,1,0.079042,3.0845,[40 85] ; [4 2],[41.98473282 83.01526718] ; [2.01526718 3.98473282],0
v4,1,0.094518,2.795699,[120   4] ; [5 1],[119.23076923   4.76923077] ; [5.76923077 0.23076923],0
p9,1,0.147124,2.101822,[120   5] ; [5 1],[119.27480916   5.72519084] ; [5.72519084 0.27480916],0
s1,1,0.149713,2.075168,[  5 119] ; [1 5],[  5.72307692 118.27692308] ; [0.27692308 5.72307692],0
p8,1,0.182504,1.777117,[68 54] ; [5 1],[69.578125 52.421875] ; [3.421875 2.578125],0
p4,1,0.252201,1.31107,[75 50] ; [5 1],[76.33587786 48.66412214] ; [3.66412214 2.33587786],0
s2,1,0.258287,1.277917,[88 35] ; [3 3],[86.76744186 36.23255814] ; [4.23255814 1.76744186],0
r2,1,0.268803,1.222844,[118   7] ; [5 1],[117.36641221   7.63358779] ; [5.63358779 0.36641221],0
s5,1,0.304299,1.055257,[63 52] ; [2 4],[61.7768595 53.2231405] ; [3.2231405 2.7768595],0
a3,1,0.31184,1.022865,[87 38] ; [3 3],[85.8778626 39.1221374] ; [4.1221374 1.8778626],0
s8,1,0.331427,0.943314,[67 58] ; [2 4],[65.83969466 59.16030534] ; [3.16030534 2.83969466],0
n4,1,0.359039,0.841253,[85 40] ; [3 3],[83.96946565 41.03053435] ; [4.03053435 1.96946565],0
v1,1,0.403145,0.698925,[63 61] ; [2 4],[62. 62.] ; [3. 3.],0
d5,1,0.403145,0.698925,[100  24] ; [4 2],[99.2 24.8] ; [4.8 1.2],0
v2,1,0.425498,0.635081,[60 60] ; [2 4],[59.04761905 60.95238095] ; [2.95238095 3.04761905],0
v3,1,0.451832,0.566052,[38 84] ; [1 5],[37.171875 84.828125] ; [1.828125 4.171875],0
a6,1,0.460325,0.545103,[81 44] ; [3 3],[80.15267176 44.84732824] ; [3.84732824 2.15267176],0
p11,1,0.464452,0.535144,[99 26] ; [4 2],[98.28244275 26.71755725] ; [4.71755725 1.28244275],0
n5,1,0.472358,0.516454,[87 38] ; [5 1],[87.78625954 37.21374046] ; [4.21374046 1.78625954],0
d2,1,0.482134,0.494031,[60 65] ; [2 4],[59.16030534 65.83969466] ; [2.83969466 3.16030534],0
n1,1,0.499405,0.4562,[ 8 21] ; [1 1],[ 8.41935484 20.58064516] ; [0.58064516 1.41935484],0
a5,1,0.568956,0.324433,[91 34] ; [5 1],[91.60305344 33.39694656] ; [4.39694656 1.60305344],0
d1,1,0.569194,0.324032,[77 48] ; [3 3],[76.33587786 48.66412214] ; [3.66412214 2.33587786],0
u2,1,0.578216,0.309127,[19 19] ; [2 1],[19.46341463 18.53658537] ; [1.53658537 1.46341463],0
p7,1,0.621094,0.244333,[85 37] ; [4 1],[85.49606299 36.50393701] ; [3.50393701 1.49606299],0
a4,1,0.687801,0.161476,[52 73] ; [2 4],[51.52671756 73.47328244] ; [2.47328244 3.52671756],0
b5,1,0.715854,0.1325,[74 51] ; [4 2],[74.42748092 50.57251908] ; [3.57251908 2.42748092],0
s7,1,0.750347,0.10124,[74 49] ; [4 2],[74.37209302 48.62790698] ; [3.62790698 2.37209302],0
n6,1,0.789437,0.071311,[108  16] ; [5 1],[107.78461538  16.21538462] ; [5.21538462 0.78461538],0
u3,1,0.833748,0.044057,[23 15] ; [2 1],[23.17073171 14.82926829] ; [1.82926829 1.17073171],0
d4,1,0.841504,0.039988,[100  25] ; [5 1],[100.19083969  24.80916031] ; [4.80916031 1.19083969],0
a7,1,0.922823,0.009385,[85 39] ; [4 2],[84.89230769 39.10769231] ; [4.10769231 1.89230769],0
p3,1,0.954194,0.003299,[64 61] ; [3 3],[63.93129771 61.06870229] ; [3.06870229 2.93129771],0
