Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4e-06,21.293862,[25 44] ; [26  4],[35.54545455 33.45454545] ; [15.45454545 14.54545455],1
p5,1,0.006476,7.412838,[ 7 62] ; [10 21],[11.73 57.27] ; [ 5.27 25.73],0
p12,1,0.01646,5.753083,[ 3 65] ; [ 6 25],[ 6.18181818 61.81818182] ; [ 2.81818182 28.18181818],0
u1,1,0.03937,4.244829,[ 7 63] ; [ 8 23],[10.3960396 59.6039604] ; [ 4.6039604 26.3960396],0
p4,1,0.04172,4.146522,[33 36] ; [21  9],[37.63636364 31.36363636] ; [16.36363636 13.63636364],0
p1,1,0.073487,3.203362,[ 5 64] ; [ 6 25],[ 7.59 61.41] ; [ 3.41 27.59],0
r4,1,0.099846,2.708002,[60 10] ; [30  1],[62.37623762  7.62376238] ; [27.62376238  3.37623762],0
b3,1,0.10018,2.702674,[13 27] ; [9 7],[15.71428571 24.28571429] ; [6.28571429 9.71428571],0
b2,1,0.10018,2.702674,[13 27] ; [9 7],[15.71428571 24.28571429] ; [6.28571429 9.71428571],0
v1,1,0.114615,2.489406,[36 32] ; [21  9],[39.55102041 28.44897959] ; [17.44897959 12.55102041],0
a7,1,0.126374,2.336486,[40 30] ; [22  8],[43.4 26.6] ; [18.6 11.4],0
p3,1,0.130144,2.29079,[31 38] ; [19 12],[34.5 34.5] ; [15.5 15.5],0
a3,1,0.170751,1.876341,[39 30] ; [22  9],[42.09 26.91] ; [18.91 12.09],0
d2,1,0.193998,1.686995,[31 39] ; [17 12],[33.93939394 36.06060606] ; [14.06060606 14.93939394],0
r3,1,0.194881,1.68033,[62  8] ; [29  1],[63.7  6.3] ; [27.3  2.7],0
d4,1,0.198102,1.656315,[66  4] ; [26  4],[64.4  5.6] ; [27.6  2.4],0
p8,1,0.21261,1.553566,[33 36] ; [19 12],[35.88 33.12] ; [16.12 14.88],0
n1,1,0.235246,1.408861,[5 6] ; [1 5],[3.88235294 7.11764706] ; [2.11764706 3.88235294],0
a6,1,0.235583,1.406831,[41 29] ; [22  9],[43.66336634 26.33663366] ; [19.33663366 11.66336634],0
b1,1,0.266155,1.236454,[26 44] ; [ 8 23],[23.56435644 46.43564356] ; [10.43564356 20.56435644],0
n4,1,0.266155,1.236454,[44 26] ; [23  8],[46.43564356 23.56435644] ; [20.56435644 10.43564356],0
r1,1,0.297557,1.085111,[54 15] ; [27  4],[55.89 13.11] ; [25.11  5.89],0
d5,1,0.311941,1.02244,[55 15] ; [27  4],[56.83168317 13.16831683] ; [25.16831683  5.83168317],0
d1,1,0.315122,1.009084,[40 30] ; [21 10],[42.27722772 27.72277228] ; [18.72277228 12.27722772],0
s2,1,0.342224,0.902081,[29 41] ; [16 15],[31.18811881 38.81188119] ; [13.81188119 17.18811881],0
s4,1,0.392647,0.73073,[14 54] ; [ 4 26],[12.48979592 55.51020408] ; [ 5.51020408 24.48979592],0
a5,1,0.402901,0.699651,[51 19] ; [25  6],[52.67326733 17.32673267] ; [23.32673267  7.67326733],0
a2,1,0.405605,0.691646,[11 59] ; [ 7 24],[12.47524752 57.52475248] ; [ 5.52475248 25.47524752],0
p10,1,0.40952,0.680193,[55 14] ; [26  4],[56.45454545 12.54545455] ; [24.54545455  5.45454545],0
r2,1,0.433636,0.613066,[64  5] ; [30  1],[64.86  4.14] ; [29.14  1.86],0
b4,1,0.458838,0.548727,[42 28] ; [21 10],[43.66336634 26.33663366] ; [19.33663366 11.66336634],0
s6,1,0.478047,0.503315,[50 17] ; [21 10],[48.54081633 18.45918367] ; [22.45918367  8.54081633],0
n3,1,0.502335,0.45,[6 4] ; [6 2],[6.66666667 3.33333333] ; [5.33333333 2.66666667],0
n6,1,0.507832,0.438532,[59 10] ; [28  3],[60.03  8.97] ; [26.97  4.03],0
n2,1,0.518217,0.41744,[8 3] ; [6 1],[8.55555556 2.44444444] ; [5.44444444 1.55555556],0
s1,1,0.549875,0.357541,[ 1 69] ; [ 1 30],[ 1.38613861 68.61386139] ; [ 0.61386139 30.38613861],0
p7,1,0.566397,0.328748,[42 26] ; [21 10],[43.27272727 24.72727273] ; [19.72727273 11.27272727],0
s8,1,0.628467,0.234146,[15 55] ; [ 8 23],[15.94059406 54.05940594] ; [ 7.05940594 23.94059406],0
n5,1,0.669791,0.181847,[46 23] ; [22  9],[46.92 22.08] ; [21.08  9.92],0
u2,1,0.674012,0.176944,[11 19] ; [4 5],[11.53846154 18.46153846] ; [3.46153846 5.53846154],0
a4,1,0.702659,0.145721,[31 39] ; [15 16],[31.88118812 38.11881188] ; [14.11881188 16.88118812],0
s3,1,0.740059,0.110074,[32 37] ; [15 15],[32.75757576 36.24242424] ; [14.24242424 15.75757576],0
p9,1,0.781595,0.076863,[56 12] ; [24  6],[55.51020408 12.48979592] ; [24.48979592  5.51020408],0
p11,1,0.812767,0.056102,[55 15] ; [25  6],[55.44554455 14.55445545] ; [24.55445545  6.44554455],0
p6,1,0.817435,0.05329,[22 46] ; [ 9 21],[21.51020408 46.48979592] ; [ 9.48979592 20.51020408],0
u3,1,0.834828,0.043478,[16 15] ; [5 4],[16.275 14.725] ; [4.725 4.275],0
b5,1,0.881135,0.022359,[35 35] ; [16 15],[35.34653465 34.65346535] ; [15.65346535 15.34653465],0
a1,1,0.899608,0.015915,[ 5 65] ; [ 2 29],[ 4.85148515 65.14851485] ; [ 2.14851485 28.85148515],0
p2,1,0.951656,0.003676,[56 13] ; [25  6],[55.89 13.11] ; [25.11  5.89],0
d3,1,0.982209,0.000497,[45 25] ; [20 11],[45.04950495 24.95049505] ; [19.95049505 11.04950495],0
a8,1,0.994001,5.7e-05,[ 7 61] ; [ 3 26],[ 7.01030928 60.98969072] ; [ 2.98969072 26.01030928],0
