Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.281374,[26 55] ; [112  47],[46.575 34.425] ; [91.425 67.575],1
d5,1,0.0,27.547892,[40 41] ; [131  29],[57.47302905 23.52697095] ; [113.52697095  46.47302905],1
d4,1,0.0,26.633523,[42 38] ; [134  26],[58.66666667 21.33333333] ; [117.33333333  42.66666667],1
a6,1,5e-06,20.66189,[35 46] ; [117  43],[51.08713693 29.91286307] ; [100.91286307  59.08713693],1
r1,1,9.6e-05,15.216624,[40 41] ; [120  41],[53.55371901 27.44628099] ; [106.44628099  54.55371901],1
a2,1,9.9e-05,15.163494,[ 3 78] ; [ 38 123],[13.7231405 67.2768595] ; [ 27.2768595 133.7231405],1
r3,1,0.000152,14.344868,[59 22] ; [146  14],[68.90041494 12.09958506] ; [136.09958506  23.90041494],1
d1,1,0.000646,11.639438,[25 56] ; [87 74],[37.48760331 43.51239669] ; [74.51239669 86.48760331],1
p10,1,0.000809,11.220936,[39 41] ; [112  46],[50.75630252 29.24369748] ; [100.24369748  57.75630252],1
v2,1,0.002079,9.478373,[17 59] ; [66 87],[27.54585153 48.45414847] ; [55.45414847 97.54585153],0
b5,1,0.00387,8.344042,[35 46] ; [101  60],[45.52066116 35.47933884] ; [90.47933884 70.52066116],0
s2,1,0.005001,7.879118,[17 62] ; [64 97],[26.6625 52.3375] ; [ 54.3375 106.6625],0
p9,1,0.011272,6.421947,[44 34] ; [113  42],[52.55793991 25.44206009] ; [104.44206009  50.55793991],0
v4,1,0.012185,6.283787,[61 19] ; [141  18],[67.61506276 12.38493724] ; [134.38493724  24.61506276],0
a3,1,0.018758,5.523899,[41 40] ; [106  54],[49.406639 31.593361] ; [97.593361 62.406639],0
r4,1,0.021403,5.293655,[54 27] ; [129  32],[61.25206612 19.74793388] ; [121.74793388  39.25206612],0
r2,1,0.033268,4.531945,[64 16] ; [143  16],[69.28870293 10.71129707] ; [137.71129707  21.28870293],0
u3,1,0.041553,4.153306,[12 28] ; [28 27],[16.84210526 23.15789474] ; [23.15789474 31.84210526],0
b1,1,0.057214,3.616367,[40 41] ; [ 59 102],[33.13636364 47.86363636] ; [65.86363636 95.13636364],0
s6,1,0.076963,3.127906,[28 51] ; [76 84],[34.37656904 44.62343096] ; [69.62343096 90.37656904],0
n3,1,0.087823,2.913834,[17 16] ; [37 16],[20.72093023 12.27906977] ; [33.27906977 19.72093023],0
n5,1,0.109361,2.563432,[55 26] ; [91 68],[49.275 31.725] ; [96.725 62.275],0
a8,1,0.11164,2.530852,[ 5 70] ; [ 21 131],[ 8.59030837 66.40969163] ; [ 17.40969163 134.59030837],0
p6,1,0.116165,2.468273,[15 65] ; [ 18 141],[11.0460251 68.9539749] ; [ 21.9539749 137.0460251],0
b3,1,0.131732,2.271979,[17 30] ; [20 64],[13.27480916 33.72519084] ; [23.72519084 60.27480916],0
b2,1,0.131732,2.271979,[17 30] ; [20 64],[13.27480916 33.72519084] ; [23.72519084 60.27480916],0
s3,1,0.135901,2.223771,[29 50] ; [75 85],[34.37656904 44.62343096] ; [69.62343096 90.37656904],0
p1,1,0.138417,2.195472,[ 6 75] ; [  5 153],[ 3.72803347 77.27196653] ; [  7.27196653 150.72803347],0
p12,1,0.149443,2.077922,[ 5 75] ; [  4 156],[ 3. 77.] ; [  6. 154.],0
u1,1,0.151,2.062115,[ 6 75] ; [ 22 139],[ 9.37190083 71.62809917] ; [ 18.62809917 142.37190083],0
p2,1,0.183994,1.765061,[45 36] ; [103  57],[49.74273859 31.25726141] ; [98.25726141 61.74273859],0
s8,1,0.188918,1.726035,[16 65] ; [ 44 116],[20.1659751 60.8340249] ; [ 39.8340249 120.1659751],0
s7,1,0.208255,1.583517,[19 57] ; [ 51 103],[23.13043478 52.86956522] ; [ 46.86956522 107.13043478],0
a5,1,0.21253,1.554106,[42 39] ; [97 64],[46.52479339 34.47520661] ; [92.47520661 68.52479339],0
a4,1,0.264892,1.243008,[24 56] ; [ 60 101],[27.88381743 52.11618257] ; [ 56.11618257 104.88381743],0
v3,1,0.27271,1.203067,[16 62] ; [ 42 113],[19.41630901 58.58369099] ; [ 38.58369099 116.41630901],0
n1,1,0.298551,1.080656,[10 26] ; [20 32],[12.27272727 23.72727273] ; [17.72727273 34.27272727],0
s1,1,0.318246,0.996142,[ 4 76] ; [  4 154],[ 2.68907563 77.31092437] ; [  5.31092437 152.68907563],0
p3,1,0.338176,0.917334,[16 65] ; [ 24 137],[13.38842975 67.61157025] ; [ 26.61157025 134.38842975],0
n4,1,0.427961,0.628349,[55 26] ; [101  60],[52.21487603 28.78512397] ; [103.78512397  57.21487603],0
p8,1,0.498137,0.458903,[22 59] ; [ 49 107],[24.26582278 56.73417722] ; [ 46.73417722 109.26582278],0
a1,1,0.537151,0.380846,[ 5 76] ; [  7 154],[ 4.01652893 76.98347107] ; [  7.98347107 153.01652893],0
p7,1,0.586435,0.295945,[31 50] ; [65 90],[32.94915254 48.05084746] ; [63.05084746 91.94915254],0
b4,1,0.607965,0.263149,[45 36] ; [95 66],[46.85950413 34.14049587] ; [93.14049587 67.85950413],0
u4,1,0.618894,0.247425,[ 1 80] ; [  1 160],[ 0.66942149 80.33057851] ; [  1.33057851 159.66942149],0
p11,1,0.750558,0.101063,[53 28] ; [102  59],[51.88016529 29.11983471] ; [103.11983471  57.88016529],0
d2,1,0.768825,0.086385,[32 47] ; [68 92],[33.05439331 45.94560669] ; [66.94560669 93.05439331],0
n2,1,0.785867,0.073811,[23 13] ; [36 18],[23.6 12.4] ; [35.4 18.6],0
n6,1,0.794795,0.067647,[60 21] ; [116  44],[59.15352697 21.84647303] ; [116.84647303  43.15352697],0
s4,1,0.795303,0.067304,[15 65] ; [ 28 133],[14.27385892 65.72614108] ; [ 28.72614108 132.27385892],0
s5,1,0.799576,0.064463,[15 63] ; [ 32 123],[15.73390558 62.26609442] ; [ 31.26609442 123.73390558],0
u2,1,0.800857,0.063624,[16 24] ; [23 31],[16.59574468 23.40425532] ; [22.40425532 31.59574468],0
p5,1,0.98256,0.000478,[ 2 79] ; [  4 155],[ 2.025 78.975] ; [  3.975 155.025],0
