Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2e-06,22.27426,[523  14] ; [97 14],[513.7962963  23.2037037] ; [106.2037037   4.7962963],1
p8,1,3.8e-05,16.987485,[298 232] ; [39 73],[278.20872274 251.79127726] ; [58.79127726 53.20872274],1
n5,1,0.000253,13.390397,[424 111] ; [70 41],[409.11764706 125.88235294] ; [84.88235294 26.11764706],1
n4,1,0.000267,13.286589,[428 111] ; [71 41],[413.15053763 125.84946237] ; [85.84946237 26.15053763],1
p2,1,0.000275,13.234132,[470  67] ; [83 29],[457.56702619  79.43297381] ; [95.43297381 16.56702619],1
r4,1,0.000672,11.563808,[495  44] ; [91 21],[485.1827957  53.8172043] ; [100.8172043  11.1827957],1
b1,1,0.000761,11.333035,[179 360] ; [56 56],[194.56989247 344.43010753] ; [40.43010753 71.56989247],1
n6,1,0.0011,10.650487,[469  67] ; [83 27],[458.00619195  77.99380805] ; [93.99380805 16.00619195],0
p4,1,0.007008,7.270973,[326 211] ; [52 59],[313.25 223.75] ; [64.75 46.25],0
p9,1,0.007256,7.208477,[508  30] ; [97 14],[501.52542373  36.47457627] ; [103.47457627   7.52542373],0
p3,1,0.011874,6.32955,[272 266] ; [42 70],[259.89538462 278.10461538] ; [54.10461538 57.89538462],0
s5,1,0.01457,5.967766,[159 366] ; [45 61],[169.73058637 355.26941363] ; [34.26941363 71.73058637],0
a5,1,0.03086,4.660737,[409 130] ; [74 38],[399.90322581 139.09677419] ; [83.09677419 28.90322581],0
v4,1,0.034362,4.476596,[515  19] ; [103   9],[510.85448916  23.14551084] ; [107.14551084   4.85448916],0
p7,1,0.039553,4.236952,[350 175] ; [62 48],[340.62992126 184.37007874] ; [71.37007874 38.62992126],0
v1,1,0.044799,4.026192,[288 235] ; [50 62],[278.38425197 244.61574803] ; [59.61574803 52.38425197],0
s1,1,0.067266,3.348496,[ 12 520] ; [  6 105],[ 14.89269051 517.10730949] ; [  3.10730949 107.89269051],0
p12,1,0.091822,2.84214,[ 37 500] ; [  3 109],[ 33.09707242 503.90292758] ; [  6.90292758 105.09707242],0
u2,1,0.096036,2.770166,[95 60] ; [14 17],[90.83333333 64.16666667] ; [18.16666667 12.83333333],0
a6,1,0.097854,2.740179,[379 159] ; [70 42],[371.63384615 166.36615385] ; [77.36615385 34.63384615],0
s4,1,0.150079,2.071447,[ 93 441] ; [26 86],[ 98.36842105 435.63157895] ; [20.63157895 91.36842105],0
a8,1,0.170967,1.87444,[ 70 427] ; [ 9 91],[ 65.76716918 431.23283082] ; [13.23283082 86.76716918],0
s2,1,0.207729,1.587181,[275 259] ; [65 47],[281.05263158 252.94736842] ; [58.94736842 53.05263158],0
d2,1,0.220514,1.501025,[244 293] ; [58 54],[249.88289676 287.11710324] ; [52.11710324 59.88289676],0
v2,1,0.262261,1.256783,[302 213] ; [57 51],[296.76565008 218.23434992] ; [62.23434992 45.76565008],0
s7,1,0.389835,0.739458,[249 272] ; [54 49],[252.98557692 268.01442308] ; [50.01442308 52.98557692],0
s3,1,0.462384,0.540117,[304 226] ; [60 52],[300.49844237 229.50155763] ; [63.50155763 48.49844237],0
p6,1,0.482037,0.494252,[181 351] ; [42 70],[184.2173913 347.7826087] ; [38.7826087 73.2173913],0
n1,1,0.483824,0.490231,[36 61] ; [12 27],[34.23529412 62.76470588] ; [13.76470588 25.23529412],0
a1,1,0.485005,0.487589,[ 17 522] ; [  5 107],[ 18.21505376 520.78494624] ; [  3.78494624 108.21505376],0
v3,1,0.488175,0.480546,[201 319] ; [39 72],[197.78129952 322.21870048] ; [42.21870048 68.78129952],0
b3,1,0.490732,0.474921,[120 204] ; [16 34],[117.81818182 206.18181818] ; [18.18181818 31.81818182],0
b2,1,0.490732,0.474921,[120 204] ; [16 34],[117.81818182 206.18181818] ; [18.18181818 31.81818182],0
r1,1,0.511436,0.431129,[431 105] ; [87 25],[428.4691358 107.5308642] ; [89.5308642 22.4691358],0
r2,1,0.523241,0.407499,[506  26] ; [103   7],[504.65420561  27.34579439] ; [104.34579439   5.65420561],0
b4,1,0.547428,0.361944,[315 224] ; [62 50],[312.13978495 226.86021505] ; [64.86021505 47.13978495],0
d4,1,0.585177,0.29794,[444  94] ; [90 22],[441.98769231  96.01230769] ; [92.01230769 19.98769231],0
d5,1,0.623121,0.241505,[442  96] ; [89 22],[440.18181818  97.81818182] ; [90.81818182 20.18181818],0
b5,1,0.664049,0.188643,[325 214] ; [70 42],[327.04301075 211.95698925] ; [67.95698925 44.04301075],0
n3,1,0.676122,0.174524,[73 24] ; [28 11],[72.03676471 24.96323529] ; [28.96323529 10.03676471],0
d1,1,0.689651,0.159464,[319 220] ; [64 48],[317.10752688 221.89247312] ; [65.89247312 46.10752688],0
p1,1,0.732989,0.116385,[ 34 503] ; [  8 103],[ 34.80555556 502.19444444] ; [  7.19444444 103.80555556],0
n2,1,0.766057,0.088528,[73 25] ; [30  9],[73.67883212 24.32116788] ; [29.32116788  9.67883212],0
a7,1,0.770358,0.08521,[395 143] ; [80 31],[393.7596302 144.2403698] ; [81.2403698 29.7596302],0
s8,1,0.799052,0.064808,[242 295] ; [49 63],[240.78120185 296.21879815] ; [50.21879815 61.78120185],0
s6,1,0.829889,0.046158,[358 173] ; [73 37],[357.0374415 173.9625585] ; [73.9625585 36.0374415],0
a3,1,0.851495,0.035048,[383 155] ; [80 31],[383.81201849 154.18798151] ; [79.18798151 31.81201849],0
u3,1,0.865465,0.028704,[91 65] ; [17 13],[90.58064516 65.41935484] ; [17.41935484 12.58064516],0
u1,1,0.867005,0.028044,[ 95 444] ; [19 93],[ 94.38709677 444.61290323] ; [19.61290323 92.38709677],0
a2,1,0.903797,0.014609,[128 411] ; [26 86],[127.50537634 411.49462366] ; [26.49462366 85.50537634],0
a4,1,0.937441,0.00616,[238 300] ; [50 62],[238.37538462 299.62461538] ; [49.62461538 62.37538462],0
d3,1,0.978368,0.000735,[378 161] ; [77 33],[377.88135593 161.11864407] ; [77.11864407 32.88135593],0
