Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1.4e-05,18.81425,[535  44] ; [56 17],[524.8297546  54.1702454] ; [66.1702454  6.8297546],1
d1,1,3.6e-05,17.073002,[365 216] ; [28 46],[348.6 232.4] ; [44.4 29.6],1
a5,1,0.000339,12.839462,[448 132] ; [43 31],[435.44342508 144.55657492] ; [55.55657492 18.44342508],1
d5,1,0.00067,11.571103,[484  94] ; [50 24],[473.39263804 104.60736196] ; [60.60736196 13.39263804],1
v3,1,0.000722,11.431886,[258 303] ; [18 54],[244.60663507 316.39336493] ; [31.39336493 40.60663507],1
d2,1,0.000937,10.948481,[305 272] ; [24 50],[291.60215054 285.39784946] ; [37.39784946 36.60215054],1
p3,1,0.001247,10.418932,[317 259] ; [26 48],[303.95076923 272.04923077] ; [39.04923077 34.95076923],0
p4,1,0.00137,10.245551,[381 194] ; [35 39],[368.56702619 206.43297381] ; [47.43297381 26.56702619],0
s7,1,0.001924,9.620559,[305 246] ; [25 45],[292.80193237 258.19806763] ; [37.19806763 32.80193237],0
r1,1,0.002345,9.258004,[483  96] ; [51 23],[473.48545176 105.51454824] ; [60.51454824 13.48545176],0
s4,1,0.00434,8.135986,[ 81 489] ; [20 54],[ 89.39440994 480.60559006] ; [11.60559006 62.39440994],0
p5,1,0.004409,8.10718,[ 84 490] ; [ 2 72],[ 76.17901235 497.82098765] ; [ 9.82098765 64.17901235],0
a3,1,0.005931,7.571032,[431 147] ; [44 30],[421.08895706 156.91104294] ; [53.91104294 20.08895706],0
n1,1,0.00707,7.255128,[49 52] ; [ 5 21],[42.94488189 58.05511811] ; [11.05511811 14.94488189],0
u1,1,0.007789,7.081287,[123 458] ; [ 6 68],[114.4259542 466.5740458] ; [14.5740458 59.4259542],0
p2,1,0.007899,7.056212,[496  80] ; [55 19],[488.27076923  87.72923077] ; [62.72923077 11.27076923],0
a4,1,0.007941,7.04677,[282 296] ; [24 50],[271.26993865 306.73006135] ; [34.73006135 39.26993865],0
r2,1,0.009581,6.711167,[553  23] ; [66  8],[548.52923077  27.47076923] ; [70.47076923  3.52923077],0
p6,1,0.010494,6.549022,[234 335] ; [19 55],[223.88335925 345.11664075] ; [29.11664075 44.88335925],0
p12,1,0.014849,5.934303,[ 57 516] ; [ 1 73],[ 51.36630603 521.63369397] ; [ 6.63369397 67.36630603],0
p10,1,0.02196,5.24895,[498  75] ; [57 17],[491.52241113  81.47758887] ; [63.47758887 10.52241113],0
d4,1,0.026546,4.92013,[480  97] ; [53 20],[473.14 103.86] ; [59.86 13.14],0
a8,1,0.032019,4.597477,[ 92 431] ; [ 5 63],[ 85.8392555 437.1607445] ; [11.1607445 56.8392555],0
s5,1,0.03633,4.381529,[201 356] ; [17 55],[193.04610493 363.95389507] ; [24.95389507 47.04610493],0
a2,1,0.075768,3.153427,[158 423] ; [13 61],[151.68091603 429.31908397] ; [19.31908397 54.68091603],0
v1,1,0.08093,3.04613,[339 226] ; [36 37],[332.09247649 232.90752351] ; [42.90752351 30.09247649],0
r4,1,0.135301,2.230606,[545  36] ; [66  8],[541.97099237  39.02900763] ; [69.02900763  4.97099237],0
p8,1,0.136853,2.212991,[320 247] ; [35 39],[314.01716069 252.98283931] ; [40.98283931 33.01716069],0
p1,1,0.138315,2.196611,[ 53 524] ; [ 3 71],[ 49.6344086 527.3655914] ; [ 6.3655914 67.6344086],0
v2,1,0.144009,2.134594,[330 228] ; [35 35],[324.31528662 233.68471338] ; [40.68471338 29.31528662],0
s3,1,0.178176,1.812771,[340 231] ; [38 36],[334.63255814 236.36744186] ; [43.36744186 30.63255814],0
s8,1,0.19071,1.712125,[280 296] ; [30 44],[274.70769231 301.29230769] ; [35.29230769 38.70769231],0
s2,1,0.193932,1.687488,[313 260] ; [34 39],[307.7879257 265.2120743] ; [39.2120743 33.7879257],0
d3,1,0.201567,1.630987,[399 179] ; [45 28],[394.21198157 183.78801843] ; [49.78801843 23.21198157],0
p7,1,0.242919,1.363573,[382 184] ; [43 28],[377.62951334 188.37048666] ; [47.37048666 23.62951334],0
s6,1,0.243442,1.360552,[405 162] ; [48 26],[400.70358814 166.29641186] ; [52.29641186 21.70358814],0
b5,1,0.269828,1.217621,[346 235] ; [49 25],[350.3740458 230.6259542] ; [44.6259542 29.3740458],0
n3,1,0.340252,0.90948,[78 25] ; [18  9],[76.06153846 26.93846154] ; [19.93846154  7.06153846],0
u3,1,0.419547,0.651584,[87 63] ; [15 15],[85. 65.] ; [17. 13.],0
p9,1,0.433654,0.613018,[505  67] ; [63 11],[502.93498452  69.06501548] ; [65.06501548  8.93498452],0
b3,1,0.49127,0.473744,[145 218] ; [13 25],[143.02743142 219.97256858] ; [14.97256858 23.02743142],0
b2,1,0.49127,0.473744,[145 218] ; [13 25],[143.02743142 219.97256858] ; [14.97256858 23.02743142],0
b4,1,0.547673,0.361502,[332 249] ; [45 29],[334.40763359 246.59236641] ; [42.59236641 31.40763359],0
p11,1,0.603601,0.269599,[485  96] ; [60 14],[483.42748092  97.57251908] ; [61.57251908 12.42748092],0
b1,1,0.793583,0.068466,[229 352] ; [28 46],[227.9648855 353.0351145] ; [29.0351145 44.9648855],0
a7,1,0.825239,0.048758,[414 165] ; [52 22],[413.1914242 165.8085758] ; [52.8085758 21.1914242],0
u2,1,0.845806,0.03782,[81 67] ; [17 13],[81.48314607 66.51685393] ; [16.51685393 13.48314607],0
n2,1,0.903961,0.014559,[82 22] ; [21  6],[81.77099237 22.22900763] ; [21.22900763  5.77099237],0
a6,1,0.935882,0.006472,[395 182] ; [51 23],[395.30261137 181.69738863] ; [50.69738863 23.30261137],0
u4,1,0.979769,0.000643,[ 16 565] ; [ 2 72],[ 15.96641221 565.03358779] ; [ 2.03358779 71.96641221],0
v4,1,0.990854,0.000131,[556  24] ; [70  3],[556.01837672  23.98162328] ; [69.98162328  3.01837672],0
