Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.831363,[ 1 12] ; [36  9],[8.29310345 4.70689655] ; [28.70689655 16.29310345],1
s2,1,0.001412,10.190672,[4 8] ; [37  9],[8.48275862 3.51724138] ; [32.51724138 13.48275862],0
s3,1,0.004586,8.035794,[5 7] ; [37  8],[8.84210526 3.15789474] ; [33.15789474 11.84210526],0
b5,1,0.02646,4.925682,[9 4] ; [16 30],[5.50847458 7.49152542] ; [19.49152542 26.50847458],0
n4,1,0.032276,4.583773,[10  3] ; [44  2],[11.89830508  1.10169492] ; [42.10169492  3.89830508],0
n5,1,0.055561,3.665184,[11  2] ; [45  1],[12.33898305  0.66101695] ; [43.66101695  2.33898305],0
d1,1,0.058965,3.566257,[5 8] ; [31 15],[7.93220339 5.06779661] ; [28.06779661 17.93220339],0
d3,1,0.065889,3.382581,[6 7] ; [33 12],[8.74137931 4.25862069] ; [30.25862069 14.74137931],0
a3,1,0.065997,3.37988,[8 5] ; [39  7],[10.3559322  2.6440678] ; [36.6440678  9.3559322],0
p12,1,0.084802,2.970375,[ 2 11] ; [19 27],[4.62711864 8.37288136] ; [16.37288136 29.62711864],0
s6,1,0.141645,2.16,[7 2] ; [42  3],[8.16666667 0.83333333] ; [40.83333333  4.16666667],0
v3,1,0.152995,2.042136,[5 7] ; [29 16],[7.15789474 4.84210526] ; [26.84210526 18.15789474],0
a2,1,0.157329,1.999711,[5 8] ; [ 9 37],[3.08474576 9.91525424] ; [10.91525424 35.08474576],0
u1,1,0.157329,1.999711,[5 8] ; [ 9 37],[3.08474576 9.91525424] ; [10.91525424 35.08474576],0
r4,1,0.162209,1.953512,[11  2] ; [44  2],[12.11864407  0.88135593] ; [42.88135593  3.11864407],0
p8,1,0.162209,1.953512,[11  2] ; [44  2],[12.11864407  0.88135593] ; [42.88135593  3.11864407],0
d4,1,0.217769,1.519013,[9 4] ; [38  7],[10.53448276  2.46551724] ; [36.46551724  8.53448276],0
a6,1,0.263436,1.250609,[10  3] ; [27 18],[8.29310345 4.70689655] ; [28.70689655 16.29310345],0
b4,1,0.274049,1.196366,[9 4] ; [24 22],[7.27118644 5.72881356] ; [25.72881356 20.27118644],0
u2,1,0.276278,1.185306,[2 3] ; [5 2],[2.91666667 2.08333333] ; [4.08333333 2.91666667],0
v4,1,0.297694,1.084498,[11  1] ; [45  1],[11.5862069  0.4137931] ; [44.4137931  1.5862069],0
s4,1,0.34498,0.891838,[3 8] ; [ 7 39],[1.92982456 9.07017544] ; [ 8.07017544 37.92982456],0
b2,1,0.382942,0.761236,[4 7] ; [18 17],[5.26086957 5.73913043] ; [16.73913043 18.26086957],0
b3,1,0.382942,0.761236,[4 7] ; [18 17],[5.26086957 5.73913043] ; [16.73913043 18.26086957],0
a5,1,0.38946,0.740627,[9 4] ; [37  9],[10.13559322  2.86440678] ; [35.86440678 10.13559322],0
v1,1,0.397498,0.715883,[7 5] ; [32 13],[8.21052632 3.78947368] ; [30.78947368 14.21052632],0
d5,1,0.412125,0.672663,[9 4] ; [36  9],[10.0862069  2.9137931] ; [34.9137931 10.0862069],0
a8,1,0.433664,0.612991,[ 1 10] ; [ 8 34],[1.86792453 9.13207547] ; [ 7.13207547 34.86792453],0
b1,1,0.454075,0.56046,[6 7] ; [16 30],[4.84745763 8.15254237] ; [17.15254237 28.84745763],0
s5,1,0.551147,0.355267,[6 4] ; [30 13],[6.79245283 3.20754717] ; [29.20754717 13.79245283],0
r3,1,0.578779,0.308213,[11  1] ; [44  2],[11.37931034  0.62068966] ; [43.62068966  2.37931034],0
r2,1,0.578779,0.308213,[11  1] ; [44  2],[11.37931034  0.62068966] ; [43.62068966  2.37931034],0
r1,1,0.583016,0.301384,[10  2] ; [41  5],[10.55172414  1.44827586] ; [40.44827586  5.55172414],0
a4,1,0.601385,0.272912,[7 6] ; [21 25],[6.16949153 6.83050847] ; [21.83050847 24.16949153],0
a1,1,0.615248,0.252603,[ 2 11] ; [10 36],[ 2.6440678 10.3559322] ; [ 9.3559322 36.6440678],0
p7,1,0.641398,0.216918,[12  1] ; [43  2],[12.32758621  0.67241379] ; [42.67241379  2.32758621],0
p11,1,0.656669,0.197595,[11  2] ; [41  5],[11.45762712  1.54237288] ; [40.54237288  5.45762712],0
u3,1,0.678845,0.171429,[3 2] ; [5 2],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
p1,1,0.680771,0.169259,[4 9] ; [17 29],[4.62711864 8.37288136] ; [16.37288136 29.62711864],0
a7,1,0.737395,0.112429,[9 4] ; [34 12],[9.47457627 3.52542373] ; [33.52542373 12.47457627],0
p3,1,0.850152,0.035692,[11  2] ; [39  6],[11.20689655  1.79310345] ; [38.79310345  6.20689655],0
d2,1,0.862002,0.030216,[7 6] ; [23 22],[6.72413793 6.27586207] ; [23.27586207 21.72413793],0
p2,1,0.908687,0.013155,[12  1] ; [42  4],[11.89830508  1.10169492] ; [42.10169492  3.89830508],0
v2,1,0.972372,0.001199,[7 5] ; [26 19],[6.94736842 5.05263158] ; [26.05263158 18.94736842],0
