Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,3e-06,21.899676,[33 17] ; [20 61],[20.22900763 29.77099237] ; [32.77099237 48.22900763],1
r3,1,0.000568,11.87816,[36 14] ; [76  5],[42.7480916  7.2519084] ; [69.2519084 11.7480916],1
p10,1,0.000626,11.69743,[20 29] ; [57 23],[29.24806202 19.75193798] ; [47.75193798 32.24806202],1
p9,1,0.000729,11.41292,[22 26] ; [61 20],[30.88372093 17.11627907] ; [52.11627907 28.88372093],1
p2,1,0.00102,10.791076,[28 22] ; [66 14],[36.15384615 13.84615385] ; [57.84615385 22.15384615],0
r4,1,0.001117,10.622615,[30 20] ; [69 12],[37.78625954 12.21374046] ; [61.21374046 19.78625954],0
v4,1,0.008518,6.921106,[39 11] ; [74  5],[43.79844961  6.20155039] ; [69.20155039  9.79844961],0
p8,1,0.011835,6.335352,[13 37] ; [39 42],[19.84732824 30.15267176] ; [32.15267176 48.84732824],0
s8,1,0.016627,5.735294,[ 7 42] ; [27 54],[12.81538462 36.18461538] ; [21.18461538 59.81538462],0
n4,1,0.018311,5.566185,[12 38] ; [36 45],[18.32061069 31.67938931] ; [29.67938931 51.32061069],0
n6,1,0.0235,5.131169,[22 28] ; [52 29],[28.24427481 21.75572519] ; [45.75572519 35.24427481],0
p7,1,0.025175,5.011814,[20 30] ; [47 31],[26.171875 23.828125] ; [40.828125 37.171875],0
a5,1,0.039259,4.249639,[21 29] ; [49 32],[26.71755725 23.28244275] ; [43.28244275 37.71755725],0
s6,1,0.043877,4.061282,[18 31] ; [44 36],[23.5503876 25.4496124] ; [38.4496124 41.5503876],0
a8,1,0.060924,3.512048,[ 1 49] ; [ 8 65],[ 3.65853659 46.34146341] ; [ 5.34146341 67.65853659],0
p6,1,0.065417,3.394436,[ 8 42] ; [24 55],[12.40310078 37.59689922] ; [19.59689922 59.40310078],0
s1,1,0.068202,3.325772,[ 6 44] ; [ 3 78],[ 3.4351145 46.5648855] ; [ 5.5648855 75.4351145],0
r1,1,0.068762,3.312325,[26 24] ; [55 26],[30.91603053 19.08396947] ; [50.08396947 30.91603053],0
