Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.605181,[74  5] ; [4 6],[69.23595506  9.76404494] ; [8.76404494 1.23595506],1
s6,1,7.6e-05,15.648726,[59 22] ; [1 9],[53.40659341 27.59340659] ; [6.59340659 3.40659341],1
p2,1,0.007547,7.138023,[59 23] ; [3 7],[55.26086957 26.73913043] ; [6.73913043 3.26086957],0
s2,1,0.010091,6.618741,[58 24] ; [3 7],[54.36956522 27.63043478] ; [6.63043478 3.36956522],0
r1,1,0.019709,5.437531,[61 20] ; [4 6],[57.85714286 23.14285714] ; [7.14285714 2.85714286],0
b1,1,0.037247,4.33906,[37 45] ; [8 2],[40.10869565 41.89130435] ; [4.89130435 5.10869565],0
p11,1,0.041902,4.139145,[52 30] ; [3 7],[49.02173913 32.97826087] ; [5.97826087 4.02173913],0
r2,1,0.043805,4.064063,[73  7] ; [7 3],[71.11111111  8.88888889] ; [8.88888889 1.11111111],0
u2,1,0.058777,3.571566,[26  6] ; [1 2],[24.68571429  7.31428571] ; [2.31428571 0.68571429],0
a4,1,0.062315,3.474667,[25 57] ; [6 4],[27.63043478 54.36956522] ; [3.36956522 6.63043478],0
n1,1,0.069868,3.286111,[11 19] ; [4 1],[12.85714286 17.14285714] ; [2.14285714 2.85714286],0
n5,1,0.092869,2.823932,[34 47] ; [7 3],[36.49450549 44.50549451] ; [4.50549451 5.49450549],0
a6,1,0.116778,2.460011,[53 28] ; [4 6],[50.73626374 30.26373626] ; [6.26373626 3.73626374],0
d2,1,0.116778,2.460011,[28 53] ; [6 4],[30.26373626 50.73626374] ; [3.73626374 6.26373626],0
a1,1,0.117482,2.450568,[ 5 77] ; [2 8],[ 6.23913043 75.76086957] ; [0.76086957 9.23913043],0
s1,1,0.125852,2.342943,[ 5 75] ; [2 8],[ 6.22222222 73.77777778] ; [0.77777778 9.22222222],0
p10,1,0.137834,2.201975,[52 29] ; [4 6],[49.84615385 31.15384615] ; [6.15384615 3.84615385],0
p4,1,0.13919,2.186892,[36 45] ; [2 8],[33.82417582 47.17582418] ; [4.17582418 5.82417582],0
p5,1,0.170631,1.877395,[ 2 79] ; [1 8],[ 2.7 78.3] ; [0.3 8.7],0
b5,1,0.176575,1.826217,[51 31] ; [4 6],[49.02173913 32.97826087] ; [5.97826087 4.02173913],0
n2,1,0.195602,1.674911,[27  5] ; [3 2],[25.94594595  6.05405405] ; [4.05405405 0.94594595],0
s5,1,0.203182,1.619353,[22 54] ; [1 9],[20.3255814 55.6744186] ; [2.6744186 7.3255814],0
s8,1,0.239324,1.384574,[32 50] ; [2 8],[30.30434783 51.69565217] ; [3.69565217 6.30434783],0
v3,1,0.251026,1.317584,[20 55] ; [1 9],[18.52941176 56.47058824] ; [2.47058824 7.52941176],0
s7,1,0.253911,1.301656,[35 41] ; [2 6],[33.47619048 42.52380952] ; [3.52380952 4.47619048],0
d5,1,0.25978,1.269929,[55 26] ; [5 5],[53.40659341 27.59340659] ; [6.59340659 3.40659341],0
p9,1,0.25978,1.269929,[55 26] ; [5 5],[53.40659341 27.59340659] ; [6.59340659 3.40659341],0
p7,1,0.273405,1.199582,[45 33] ; [3 5],[43.53488372 34.46511628] ; [4.46511628 3.53488372],0
p6,1,0.282492,1.155062,[20 59] ; [1 9],[18.64044944 60.35955056] ; [2.35955056 7.64044944],0
p8,1,0.416008,0.661564,[29 52] ; [2 7],[27.9 53.1] ; [3.1 5.9],0
v1,1,0.45611,0.555424,[33 45] ; [3 7],[31.90909091 46.09090909] ; [4.09090909 5.90909091],0
p3,1,0.512251,0.429467,[33 48] ; [3 7],[32.04395604 48.95604396] ; [3.95604396 6.04395604],0
a3,1,0.530893,0.392683,[49 33] ; [7 3],[49.91304348 32.08695652] ; [6.08695652 3.91304348],0
a5,1,0.530893,0.392683,[49 33] ; [7 3],[49.91304348 32.08695652] ; [6.08695652 3.91304348],0
d1,1,0.55035,0.35669,[41 41] ; [4 6],[40.10869565 41.89130435] ; [4.89130435 5.10869565],0
a7,1,0.554155,0.349926,[49 33] ; [5 5],[48.13043478 33.86956522] ; [5.86956522 4.13043478],0
b2,1,0.652609,0.202627,[12 36] ; [1 5],[11.55555556 36.44444444] ; [1.44444444 4.55555556],0
b3,1,0.652609,0.202627,[12 36] ; [1 5],[11.55555556 36.44444444] ; [1.44444444 4.55555556],0
b4,1,0.659457,0.194184,[47 35] ; [5 5],[46.34782609 35.65217391] ; [5.65217391 4.34782609],0
d3,1,0.674721,0.176129,[54 27] ; [6 4],[53.40659341 27.59340659] ; [6.59340659 3.40659341],0
n3,1,0.733271,0.116129,[21 10] ; [3 2],[20.66666667 10.33333333] ; [3.33333333 1.66666667],0
u3,1,0.752172,0.099715,[24  8] ; [2 1],[23.77142857  8.22857143] ; [2.22857143 0.77142857],0
s4,1,0.758633,0.094419,[20 62] ; [2 8],[19.60869565 62.39130435] ; [2.39130435 7.60869565],0
d4,1,0.764177,0.09,[67 13] ; [8 2],[66.66666667 13.33333333] ; [8.33333333 1.66666667],0
p1,1,0.876779,0.024042,[ 7 75] ; [1 9],[ 7.13043478 74.86956522] ; [0.86956522 9.13043478],0
a2,1,0.925445,0.008757,[ 9 73] ; [1 9],[ 8.91304348 73.08695652] ; [1.08695652 8.91304348],0
a8,1,0.936459,0.006355,[ 8 70] ; [1 8],[ 8.06896552 69.93103448] ; [0.93103448 8.06896552],0
n4,1,0.941939,0.005305,[40 42] ; [5 5],[40.10869565 41.89130435] ; [4.89130435 5.10869565],0
