Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.6e-05,18.581975,[50 17] ; [12 26],[39.56190476 27.43809524] ; [22.43809524 15.56190476],1
d3,1,2e-05,18.200054,[54 13] ; [15 23],[44.02857143 22.97142857] ; [24.97142857 13.02857143],1
d5,1,0.00193,9.614853,[57 10] ; [22 16],[50.40952381 16.59047619] ; [28.59047619  9.40952381],0
n1,1,0.003098,8.748818,[ 3 19] ; [9 6],[ 7.13513514 14.86486486] ; [ 4.86486486 10.13513514],0
p2,1,0.003385,8.587255,[50 16] ; [18 20],[43.15384615 22.84615385] ; [24.84615385 13.15384615],0
a2,1,0.010167,6.60546,[14 53] ; [ 1 37],[ 9.57142857 57.42857143] ; [ 5.42857143 32.57142857],0
d4,1,0.015646,5.842261,[60  7] ; [27 11],[55.51428571 11.48571429] ; [31.48571429  6.51428571],0
b5,1,0.016204,5.780636,[46 21] ; [17 21],[40.2 26.8] ; [22.8 15.2],0
d1,1,0.0181,5.586427,[39 28] ; [13 25],[33.18095238 33.81904762] ; [18.81904762 19.18095238],0
b1,1,0.0181,5.586427,[28 39] ; [25 13],[33.81904762 33.18095238] ; [19.18095238 18.81904762],0
p9,1,0.031046,4.650444,[43 23] ; [16 21],[37.80582524 28.19417476] ; [21.19417476 15.80582524],0
s3,1,0.032642,4.564483,[27 40] ; [23 14],[32.21153846 34.78846154] ; [17.78846154 19.21153846],0
s4,1,0.051711,3.78509,[ 9 58] ; [11 27],[12.76190476 54.23809524] ; [ 7.23809524 30.76190476],0
n2,1,0.064695,3.412733,[11 11] ; [12  3],[13.67567568  8.32432432] ; [9.32432432 5.67567568],0
p10,1,0.070509,3.271132,[39 27] ; [15 22],[34.60194175 31.39805825] ; [19.39805825 17.60194175],0
u2,1,0.088508,2.901297,[16 10] ; [13  2],[18.3902439  7.6097561] ; [10.6097561  4.3902439],0
b2,1,0.173955,1.848524,[ 9 27] ; [10 14],[11.4 24.6] ; [ 7.6 16.4],0
b3,1,0.173955,1.848524,[ 9 27] ; [10 14],[11.4 24.6] ; [ 7.6 16.4],0
a1,1,0.256272,1.288786,[ 2 65] ; [ 3 35],[ 3.19047619 63.80952381] ; [ 1.80952381 36.19047619],0
