Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.2e-05,16.050226,[112  13] ; [2 4],[108.77862595  16.22137405] ; [5.22137405 0.77862595],1
r3,1,7.4e-05,15.706589,[116   7] ; [3 3],[113.46511628   9.53488372] ; [5.53488372 0.46511628],1
n6,1,0.002538,9.112647,[103  21] ; [2 4],[100.15384615  23.84615385] ; [4.84615385 1.15384615],0
r1,1,0.016584,5.739912,[96 29] ; [2 4],[93.51145038 31.48854962] ; [4.48854962 1.51145038],0
b5,1,0.019735,5.435152,[80 45] ; [1 5],[77.29007634 47.70992366] ; [3.70992366 2.29007634],0
s6,1,0.022847,5.180065,[104  18] ; [3 3],[101.984375  20.015625] ; [5.015625 0.984375],0
b1,1,0.025314,5.002278,[47 78] ; [5 1],[49.61832061 75.38167939] ; [2.38167939 3.61832061],0
p10,1,0.034998,4.445272,[103  20] ; [3 3],[101.06976744  21.93023256] ; [4.93023256 1.06976744],0
a7,1,0.043034,4.094054,[90 35] ; [2 4],[87.78625954 37.21374046] ; [4.21374046 1.78625954],0
n5,1,0.079042,3.0845,[85 40] ; [2 4],[83.01526718 41.98473282] ; [3.98473282 2.01526718],0
p2,1,0.079943,3.066054,[100  25] ; [3 3],[98.28244275 26.71755725] ; [4.71755725 1.28244275],0
n2,1,0.12663,2.333333,[24  8] ; [1 2],[22.85714286  9.14285714] ; [2.14285714 0.85714286],0
a6,1,0.129406,2.299618,[80 45] ; [2 4],[78.24427481 46.75572519] ; [3.75572519 2.24427481],0
d2,1,0.132839,2.259009,[65 60] ; [5 1],[66.79389313 58.20610687] ; [3.20610687 2.79389313],0
b3,1,0.135744,2.225558,[18 46] ; [3 2],[19.47826087 44.52173913] ; [1.52173913 3.47826087],0
b2,1,0.135744,2.225558,[18 46] ; [3 2],[19.47826087 44.52173913] ; [1.52173913 3.47826087],0
s1,1,0.149713,2.075168,[  5 119] ; [1 5],[  5.72307692 118.27692308] ; [0.27692308 5.72307692],0
p8,1,0.154694,2.025346,[64 58] ; [1 4],[62.44094488 59.55905512] ; [2.55905512 2.44094488],0
p9,1,0.164273,1.934448,[106  16] ; [4 2],[104.84375  17.15625] ; [5.15625 0.84375],0
n1,1,0.21656,1.527023,[10 22] ; [2 1],[10.97142857 21.02857143] ; [1.02857143 1.97142857],0
s2,1,0.246051,1.345586,[90 35] ; [3 3],[88.74045802 36.25954198] ; [4.25954198 1.74045802],0
p11,1,0.289211,1.123289,[88 37] ; [3 3],[86.83206107 38.16793893] ; [4.16793893 1.83206107],0
s7,1,0.376632,0.781668,[73 48] ; [4 1],[73.94444444 47.05555556] ; [3.05555556 1.94444444],0
p1,1,0.393636,0.727682,[  9 116] ; [1 5],[  9.54198473 115.45801527] ; [0.45801527 5.54198473],0
d1,1,0.472358,0.516454,[87 38] ; [5 1],[87.78625954 37.21374046] ; [4.21374046 1.78625954],0
p7,1,0.481814,0.494755,[77 43] ; [3 3],[76.19047619 43.80952381] ; [3.80952381 2.19047619],0
p6,1,0.48325,0.491521,[59 64] ; [2 4],[58.1627907 64.8372093] ; [2.8372093 3.1627907],0
p3,1,0.50595,0.442434,[66 59] ; [4 2],[66.79389313 58.20610687] ; [3.20610687 2.79389313],0
n4,1,0.513929,0.42606,[79 46] ; [3 3],[78.24427481 46.75572519] ; [3.75572519 2.24427481],0
p4,1,0.541368,0.37301,[78 47] ; [3 3],[77.29007634 47.70992366] ; [3.70992366 2.29007634],0
v3,1,0.579824,0.306519,[39 84] ; [1 4],[38.4375 84.5625] ; [1.5625 3.4375],0
a5,1,0.595242,0.282231,[92 33] ; [5 1],[92.55725191 32.44274809] ; [4.44274809 1.55725191],0
b4,1,0.625899,0.237663,[75 50] ; [3 3],[74.42748092 50.57251908] ; [3.57251908 2.42748092],0
s3,1,0.742354,0.108069,[91 34] ; [4 2],[90.64885496 34.35114504] ; [4.35114504 1.64885496],0
d5,1,0.783076,0.075797,[109  16] ; [5 1],[108.77862595  16.22137405] ; [5.22137405 0.77862595],0
s5,1,0.833544,0.044166,[62 52] ; [3 3],[61.75 52.25] ; [3.25 2.75],0
n3,1,0.848572,0.036458,[23  9] ; [2 1],[22.85714286  9.14285714] ; [2.14285714 0.85714286],0
v1,1,0.907748,0.013428,[59 65] ; [3 3],[59.13846154 64.86153846] ; [2.86153846 3.13846154],0
a4,1,0.923696,0.009174,[60 65] ; [3 3],[60.11450382 64.88549618] ; [2.88549618 3.11450382],0
v2,1,0.937474,0.006154,[63 59] ; [3 3],[62.90625 59.09375] ; [3.09375 2.90625],0
d3,1,0.993191,7.3e-05,[104  21] ; [5 1],[104.00763359  20.99236641] ; [4.99236641 1.00763359],0
