Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.003307,8.630008,[4 5] ; [ 1 24],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
a7,1,0.004229,8.182667,[6 3] ; [ 4 21],[2.64705882 6.35294118] ; [ 7.35294118 17.64705882],0
s4,1,0.013922,6.048042,[4 5] ; [ 2 23],[1.58823529 7.41176471] ; [ 4.41176471 20.58823529],0
s5,1,0.019177,5.485333,[3 6] ; [ 1 24],[1.05882353 7.94117647] ; [ 2.94117647 22.05882353],0
v4,1,0.032577,4.567873,[8 1] ; [12 13],[5.29411765 3.70588235] ; [14.70588235 10.29411765],0
s8,1,0.065755,3.385931,[3 6] ; [ 2 23],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
n6,1,0.069983,3.283429,[6 3] ; [ 8 17],[3.70588235 5.29411765] ; [10.29411765 14.70588235],0
r1,1,0.137987,2.200269,[5 4] ; [ 7 18],[3.17647059 5.82352941] ; [ 8.82352941 16.17647059],0
d2,1,0.154058,2.031605,[4 5] ; [ 5 20],[2.38235294 6.61764706] ; [ 6.61764706 18.38235294],0
s7,1,0.186122,1.748049,[3 6] ; [ 3 20],[1.6875 7.3125] ; [ 4.3125 18.6875],0
p3,1,0.27013,1.216085,[3 6] ; [ 4 21],[1.85294118 7.14705882] ; [ 5.14705882 19.85294118],0
u2,1,0.28255,1.154783,[4 2] ; [ 7 10],[2.86956522 3.13043478] ; [8.13043478 8.86956522],0
b1,1,0.33602,0.925556,[6 3] ; [12 13],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
n4,1,0.33602,0.925556,[6 3] ; [12 13],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
p9,1,0.349963,0.87359,[5 4] ; [ 9 15],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
n1,1,0.357197,0.847724,[3 3] ; [ 4 10],[2.1 3.9] ; [4.9 9.1],0
u3,1,0.362656,0.828676,[3 3] ; [ 5 12],[2.08695652 3.91304348] ; [ 5.91304348 11.08695652],0
a4,1,0.380492,0.769113,[1 7] ; [ 1 24],[0.48484848 7.51515152] ; [ 1.51515152 23.48484848],0
b2,1,0.386876,0.748739,[1 4] ; [ 7 10],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
b3,1,0.386876,0.748739,[1 4] ; [ 7 10],[1.81818182 3.18181818] ; [ 6.18181818 10.81818182],0
v1,1,0.418741,0.653846,[3 6] ; [ 5 20],[2.11764706 6.88235294] ; [ 5.88235294 19.11764706],0
d4,1,0.420287,0.649513,[5 4] ; [10 15],[3.97058824 5.02941176] ; [11.02941176 13.97058824],0
p12,1,0.436887,0.604444,[1 8] ; [ 1 24],[0.52941176 8.47058824] ; [ 1.47058824 23.52941176],0
s2,1,0.457789,0.551295,[2 7] ; [ 3 22],[1.32352941 7.67647059] ; [ 3.67647059 21.32352941],0
d5,1,0.502927,0.448754,[4 5] ; [ 8 17],[3.17647059 5.82352941] ; [ 8.82352941 16.17647059],0
p10,1,0.517585,0.418703,[3 6] ; [11 13],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
p2,1,0.551469,0.354691,[5 4] ; [11 14],[4.23529412 4.76470588] ; [11.76470588 13.23529412],0
p8,1,0.580926,0.304741,[2 7] ; [ 8 17],[2.64705882 6.35294118] ; [ 7.35294118 17.64705882],0
s3,1,0.63893,0.220145,[2 6] ; [ 4 19],[1.5483871 6.4516129] ; [ 4.4516129 18.5483871],0
p7,1,0.642238,0.215828,[2 7] ; [ 7 16],[2.53125 6.46875] ; [ 6.46875 16.53125],0
p1,1,0.674576,0.176296,[2 7] ; [ 4 21],[1.58823529 7.41176471] ; [ 4.41176471 20.58823529],0
d1,1,0.674576,0.176296,[2 7] ; [ 4 21],[1.58823529 7.41176471] ; [ 4.41176471 20.58823529],0
p4,1,0.71249,0.135802,[2 7] ; [ 4 20],[1.63636364 7.36363636] ; [ 4.36363636 19.63636364],0
